Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	30	3	99	21	18	7	0	7	15	9	79
V2	2	46	0	38	5	0	0	72	0	83	7
V3	15	46	45	0	0	0	0	63	66	6	14
V4	1	3	17	75	79	13	54	117	11	0	0
V5	29	0	155	16	25	13	0	0	34	0	0
V6	1	25	23	0	0	0	0	0	15	0	0
V7	16	75	0	13	23	102	0	9	0	5	6
V8	162	78	18	8	3	8	2	1	0	2	0
V9	15	129	18	0	2	1	0	0	62	0	0
V10	5	0	170	2	1	9	0	40	0	0	13
V11	12	7	32	64	32	0	61	6	55	23	0
V12	1	87	153	83	46	27	54	20	0	25	3
V13	104	16	4	11	31	2	17	19	0	5	9
V14	73	3	92	157	234	0	2	0	16	0	0
V15	18	67	1	4	1	62	26	13	3	11	0
V16	91	29	16	53	48	61	10	13	4	6	62
V17	24	3	43	68	36	0	0	11	40	142	23
V18	20	47	9	111	51	0	0	2	10	0	0
V19	31	27	5	65	57	0	26	5	19	20	0
V20	63	167	0	8	12	58	61	0	0	0	0
V21	1	0	84	24	36	12	0	87	25	72	6
V22	140	5	36	11	8	0	22	0	38	0	30
V23	7	3	3	62	83	16	2	3	16	4	0
V24	19	3	8	3	0	0	0	27	2	13	0
V25	39	93	12	6	11	12	7	1	1	15	0
V26	162	0	135	13	6	0	0	2	6	0	40
V27	0	5	3	5	0	53	57	9	0	16	0
V28	0	0	75	36	92	39	3	11	75	1	27
V29	9	0	0	120	59	17	4	22	2	65	22
V30	0	7	0	4	4	1	0	22	2	6	3
V31	14	156	32	19	2	338	98	6	11	0	0
V32	6	8	4	297	112	0	22	28	0	5	0
V33	50	1	7	10	0	0	0	25	22	56	29
V34	198	2	18	5	9	7	0	0	31	0	0
V35	25	265	8	10	43	1	21	97	3	19	29
V36	19	154	2	4	1	19	105	5	3	0	0
V37	2	0	3	1	0	97	177	40	1	24	0
V38	26	46	9	35	34	11	2	14	0	1	17
V39	28	79	21	36	45	0	0	76	0	109	15
V40	11	29	7	10	20	8	0	11	0	14	0
V41	38	64	0	17	0	0	18	90	0	38	50
V42	64	165	17	5	10	55	127	83	43	21	19
V43	50	1	93	50	17	1	0	56	0	40	23
V44	148	103	113	0	9	2	0	33	40	44	0
V45	0	85	0	36	57	17	71	1	0	30	23
V46	15	0	121	0	1	3	7	1	2	5	0
V47	80	12	3	118	204	0	0	2	7	10	8
V48	54	194	13	30	7	0	18	10	26	12	14
V49	11	6	153	19	13	0	24	52	4	86	36
V50	0	25	52	9	5	12	47	5	42	5	7
V51	3	20	0	179	72	1	0	2	4	5	4
V52	35	0	5	68	173	22	7	6	0	8	4
V53	6	541	15	3	2	0	0	20	8	19	91
V54	0	47	91	42	96	1	2	8	10	6	8
V55	291	42	5	27	24	0	0	3	9	13	7
V56	0	0	260	0	6	103	43	14	330	0	18
V57	13	0	0	6	9	139	77	16	0	16	0
V58	20	2	12	6	10	3	85	4	0	0	0
V59	13	0	273	0	0	0	0	0	275	0	0
V60	41	3	25	1	0	13	0	9	0	3	6
V61	13	48	6	2	18	29	56	6	10	20	0
V62	69	1	55	7	0	0	0	9	15	19	0
V63	217	35	2	19	49	2	0	41	0	5	0
V64	33	21	107	0	7	222	119	2	38	0	0
V65	4	0	26	2	0	8	21	6	0	13	0
V66	0	1	24	6	0	0	0	47	0	93	0
V67	3	8	1	39	48	0	0	1	6	12	0
V68	185	191	62	10	19	13	9	14	36	11	11
V69	12	7	31	10	13	40	76	0	37	0	2
V70	92	0	0	0	4	32	0	4	0	0	22
V71	111	16	0	83	32	0	0	17	7	7	0
V72	20	1	0	21	32	0	159	26	9	44	0
V73	3	20	1	13	0	13	3	57	22	69	0
V74	4	53	131	0	0	0	2	73	58	14	30
V75	4	0	0	3	0	3	0	8	0	35	7
V76	42	102	11	10	5	70	0	19	11	0	0
V77	14	99	17	72	63	4	3	44	1	10	0
V78	7	6	7	13	11	76	35	5	3	2	0
V79	82	98	0	27	41	58	15	1	0	8	18
V80	10	0	3	34	22	0	0	14	0	9	12
V81	1	0	0	0	1	0	0	0	3	3	0
V82	7	0	8	10	6	0	0	0	18	0	0
V83	3	5	25	7	0	7	6	57	3	27	20
V84	72	6	11	14	13	0	0	16	0	10	18
V85	0	108	1	1	0	0	7	2	6	0	4
V86	23	0	14	60	7	37	9	30	5	23	1
V87	400	0	50	0	1	2	0	0	0	0	59
V88	33	12	23	47	7	24	39	18	0	13	0
V89	63	19	11	11	6	75	19	8	1	3	56
V90	123	67	0	8	0	13	24	1	0	0	46
V91	23	69	0	73	29	29	14	91	0	14	0
V92	0	0	12	28	33	16	19	26	18	3	2
V93	0	0	18	27	11	22	5	6	4	27	0
V94	0	6	1	10	14	28	0	87	10	63	17
V95	43	58	2	1	3	18	12	1	9	11	4
V96	0	62	1	28	179	23	17	2	0	0	2
V97	66	22	7	8	0	76	60	16	0	4	31
V98	36	12	60	69	66	0	16	7	21	25	17
V99	8	3	32	28	33	4	61	2	22	0	27
V100	34	0	27	2	4	40	40	11	0	2	0
