NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	158.007	28.09	31.745	17.023	0.136	0.977	30000.0
2	157.033	28.28	31.672	17.11	0.142	0.977	50000.0
3	157.876	28.173	31.943	17.252	0.134	0.978	30000.0
4	159.114	28.56	32.222	17.535	0.138	0.976	60000.0
5	156.37	28.152	31.575	17.004	0.14	0.977	50000.0
6	156.56	28.46	31.484	17.484	0.141	0.975	30000.0
7	157.028	28.346	31.512	17.175	0.139	0.976	30000.0
8	158.498	28.517	31.961	17.517	0.139	0.976	50000.0
9	158.434	28.497	31.702	17.316	0.142	0.976	30000.0
10	158.63	28.476	32.235	17.35	0.139	0.977	20000.0
