NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	106.226	41.267	29.732	30.112	0.253	0.938	30000.0
2	107.106	40.636	29.504	29.024	0.243	0.943	30000.0
3	106.365	40.695	29.714	29.787	0.243	0.939	40000.0
4	108.644	41.367	30.289	30.284	0.247	0.938	20000.0
5	109.24	41.501	30.582	30.154	0.248	0.939	30000.0
6	107.57	40.966	29.898	29.853	0.248	0.937	30000.0
7	109.522	41.989	30.535	30.481	0.252	0.936	20000.0
8	108.002	41.329	30.053	30.277	0.248	0.935	20000.0
9	109.943	42.02	30.814	30.551	0.251	0.937	30000.0
10	110.069	42.165	30.539	31.077	0.253	0.935	20000.0
