NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	52.637	18.832	12.863	11.009	0.11	0.991	60000.0
2	47.683	17.521	10.928	9.762	0.107	0.993	40000.0
3	49.526	18.284	11.731	10.464	0.111	0.992	40000.0
4	51.51	19.039	11.752	10.447	0.115	0.992	30000.0
5	49.025	18.136	11.227	10.043	0.112	0.993	20000.0
6	49.973	18.479	11.519	10.357	0.111	0.992	30000.0
7	48.359	17.921	10.899	9.893	0.113	0.993	50000.0
8	51.511	18.696	12.382	10.911	0.111	0.991	30000.0
9	52.112	19.174	12.562	10.927	0.113	0.991	40000.0
10	53.938	19.782	13.385	11.851	0.116	0.988	30000.0
