NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	60.118	21.193	14.077	12.341	0.118	0.989	90000.0
2	60.84	22.234	14.696	13.39	0.124	0.987	40000.0
3	61.308	21.86	14.763	12.843	0.119	0.989	60000.0
4	54.54	19.702	12.391	11.325	0.119	0.99	90000.0
5	58.925	21.045	13.662	11.976	0.114	0.99	60000.0
6	58.86	21.175	14.006	12.619	0.113	0.989	30000.0
7	54.258	19.892	12.93	11.868	0.114	0.987	50000.0
8	58.219	21.278	13.654	12.4	0.117	0.987	50000.0
9	59.682	20.963	14.204	12.149	0.114	0.99	40000.0
10	55.406	20.014	13.181	11.82	0.12	0.989	30000.0
