MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	0.00E+00	1.40E-03	7.98E-05	1.40E-46	2.91E-02	2.68E-02	3.32E-02	1.65E-02	3.92E-38	2.34E-02	6.28E-03	1.21E-02	3.55E-02	5.66E-03	5.09E-02	2.51E-02
1:Del:C:1	4.61E-04	1.38E-03	1.34E-04	0.00E+00	1.52E-02	9.69E-03	3.03E-02	3.43E-03	6.17E-03	1.69E-02	1.62E-03	3.52E-03	6.02E-03	1.96E-03	1.41E-02	5.65E-02
1:Del:C:2	1.06E-08	3.43E-09	1.23E-07	1.55E-07	7.59E-04	3.51E-08	7.83E-04	1.42E-04	5.61E-04	8.06E-04	2.87E-07	2.09E-03	2.08E-03	2.92E-07	7.72E-04	2.30E-04
1:Del:C:3	4.23E-04	3.12E-04	8.96E-09	1.45E-03	3.50E-03	1.34E-04	2.29E-03	5.36E-04	2.68E-03	5.58E-03	1.23E-04	3.13E-03	7.86E-03	6.03E-03	9.58E-04	6.13E-03
1:Del:C:4	0.00E+00	1.78E-04	2.23E-08	1.16E-03	3.51E-03	7.20E-04	5.67E-03	0.00E+00	6.94E-04	8.04E-03	9.12E-04	6.22E-04	5.54E-03	1.50E-03	4.30E-03	1.42E-03
1:Del:C:5	1.31E-03	0.00E+00	1.73E-08	2.12E-03	9.96E-04	1.02E-03	2.86E-04	0.00E+00	0.00E+00	2.24E-04	2.40E-07	8.18E-04	1.66E-03	6.18E-03	2.92E-03	4.15E-03
1:Del:T:0	8.07E-04	1.67E-03	3.71E-04	1.60E-04	1.51E-02	3.71E-03	1.22E-02	9.00E-03	1.08E-02	3.12E-02	1.59E-02	5.91E-03	3.01E-02	7.39E-03	1.38E-02	1.22E-02
1:Del:T:1	7.02E-05	1.27E-03	8.20E-04	3.55E-04	9.32E-03	9.89E-04	1.72E-02	2.54E-03	2.11E-03	1.02E-02	0.00E+00	6.15E-04	1.32E-02	3.61E-04	9.67E-03	2.02E-02
1:Del:T:2	0.00E+00	5.55E-04	0.00E+00	2.04E-03	1.58E-02	2.33E-03	1.31E-02	1.86E-03	4.32E-03	1.03E-02	1.74E-03	2.07E-03	3.46E-02	1.12E-02	1.23E-02	6.20E-03
1:Del:T:3	3.90E-04	1.56E-03	4.60E-03	2.38E-03	1.49E-02	4.29E-03	1.54E-02	6.39E-03	1.38E-03	1.53E-02	3.94E-03	5.24E-03	2.37E-02	4.93E-03	9.37E-03	1.22E-02
1:Del:T:4	5.98E-04	1.37E-03	9.41E-04	5.58E-03	2.11E-02	1.96E-03	6.32E-03	1.40E-46	2.65E-03	2.08E-02	2.95E-03	5.25E-03	6.65E-02	1.67E-02	2.36E-02	2.36E-02
1:Del:T:5	1.55E-07	2.96E-06	1.83E-04	1.13E-02	2.80E-46	7.87E-07	3.51E-07	6.63E-07	2.96E-06	2.10E-06	1.72E-03	2.05E-02	1.11E-06	5.37E-07	5.43E-07	9.49E-02
1:Ins:C:0	1.95E-04	1.74E-05	6.52E-04	1.93E-08	2.79E-08	4.72E-04	1.72E-04	6.51E-04	1.09E-03	1.52E-03	9.25E-04	6.37E-04	9.38E-05	1.66E-03	2.32E-07	2.96E-03
1:Ins:C:1	1.16E-04	2.16E-05	2.63E-08	2.06E-04	7.32E-10	5.22E-04	7.01E-08	3.84E-04	2.59E-04	9.03E-08	9.56E-08	1.13E-03	1.09E-07	8.39E-04	1.82E-04	3.05E-03
1:Ins:C:2	3.00E-08	1.81E-08	1.45E-04	1.60E-04	3.58E-04	1.15E-03	1.15E-05	1.24E-03	1.87E-03	6.32E-04	3.96E-07	3.16E-04	3.16E-07	8.78E-04	8.71E-04	1.05E-03
1:Ins:C:3	1.17E-04	1.88E-08	1.26E-03	5.12E-08	1.28E-08	1.52E-03	1.39E-04	5.48E-04	4.56E-05	4.16E-08	2.10E-04	7.43E-05	1.98E-08	3.46E-04	1.15E-04	3.38E-05
1:Ins:C:4	2.14E-04	2.07E-04	2.32E-07	8.82E-05	1.88E-04	2.79E-03	3.79E-08	0.00E+00	3.68E-04	6.62E-04	3.89E-08	1.82E-03	1.21E-03	2.74E-03	1.25E-07	2.60E-04
1:Ins:C:5	3.56E-03	2.26E-04	5.51E-04	7.05E-04	5.56E-04	4.44E-02	0.00E+00	1.99E-04	6.81E-04	2.46E-02	5.80E-03	3.45E-03	7.11E-04	3.37E-02	1.54E-03	6.33E-03
1:Ins:T:0	5.92E-04	2.16E-08	2.64E-03	0.00E+00	5.64E-03	7.76E-04	3.71E-03	1.34E-03	3.51E-03	9.31E-03	8.00E-04	2.52E-03	2.37E-02	5.67E-03	1.62E-03	1.34E-03
1:Ins:T:1	3.97E-05	5.21E-05	0.00E+00	0.00E+00	1.55E-03	3.68E-09	6.63E-03	1.64E-03	3.35E-03	3.98E-03	5.96E-04	4.23E-09	4.11E-03	8.55E-03	2.99E-04	3.00E-03
1:Ins:T:2	2.55E-08	5.09E-08	1.48E-07	6.14E-09	1.23E-03	2.20E-04	1.25E-03	5.05E-04	3.42E-03	5.58E-04	6.20E-05	2.35E-03	2.10E-03	8.29E-04	2.33E-03	6.94E-04
1:Ins:T:3	5.71E-04	3.05E-04	1.76E-03	1.57E-03	2.92E-04	8.64E-03	2.93E-05	2.36E-03	3.42E-03	4.74E-03	1.80E-03	5.88E-04	3.12E-04	2.76E-03	4.31E-04	2.55E-03
1:Ins:T:4	3.38E-03	2.88E-04	6.61E-05	2.35E-08	4.84E-04	5.88E-03	4.35E-04	2.92E-03	1.09E-03	1.51E-02	2.66E-03	2.14E-03	1.39E-02	9.01E-03	6.77E-02	5.24E-03
1:Ins:T:5	7.72E-03	8.11E-08	1.21E-02	1.34E-10	2.83E-07	2.66E-02	7.89E-07	4.15E-03	1.30E-03	1.62E-08	4.16E-02	1.03E-01	9.73E-07	5.38E-02	4.80E-02	1.56E-02
2:Del:R:0	1.79E-04	6.18E-05	5.85E-07	1.61E-03	2.81E-03	2.27E-03	4.60E-03	1.77E-03	2.80E-03	6.20E-03	0.00E+00	5.63E-04	1.04E-02	3.47E-03	3.54E-03	1.13E-02
2:Del:R:1	7.10E-04	3.44E-04	6.22E-04	1.66E-03	1.35E-04	2.21E-03	3.54E-03	6.98E-03	6.83E-03	1.36E-03	1.29E-03	2.24E-03	8.27E-04	9.80E-04	6.34E-03	1.11E-02
2:Del:R:2	0.00E+00	1.97E-08	2.54E-04	3.31E-04	8.11E-04	2.07E-04	8.49E-05	7.00E-04	1.63E-03	6.50E-04	1.38E-03	1.19E-03	1.29E-03	5.14E-04	1.65E-03	6.70E-04
2:Del:R:3	1.84E-04	1.53E-04	5.51E-08	1.74E-04	7.48E-08	1.79E-04	7.10E-08	7.98E-05	1.38E-04	3.04E-07	4.72E-08	1.73E-04	1.40E-46	8.72E-04	1.60E-08	7.16E-04
2:Del:R:4	2.28E-08	6.46E-08	7.66E-08	8.18E-05	3.47E-08	1.77E-05	2.02E-07	3.60E-08	2.38E-04	9.39E-08	1.49E-07	2.13E-07	8.03E-08	3.65E-08	1.57E-07	4.42E-04
2:Del:R:5	5.02E-08	2.61E-02	2.48E-03	6.54E-08	1.42E-08	1.46E-02	2.67E-08	5.19E-08	7.24E-04	8.33E-08	9.59E-02	3.62E-03	4.32E-08	1.07E-06	4.33E-04	2.72E-07
3:Del:R:0	8.45E-06	7.71E-04	0.00E+00	1.29E-03	3.31E-03	3.92E-04	3.02E-03	2.56E-03	2.73E-03	1.60E-03	0.00E+00	9.64E-04	3.57E-03	0.00E+00	4.03E-03	1.01E-02
