Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	8.27E-01	1.98E+00	2.53E+00	1.02E+00	3.12E+00	8.03E-01	1.96E+00	1.57E+00	4.58E-01	3.22E+00	4.78E+00
V2	2.74E+00	1.77E+00	4.64E+00	0.00E+00	0.00E+00	1.73E+00	2.72E+00	5.29E+00	1.12E+00	2.56E+00	2.45E+00
V3	3.27E-01	1.31E+01	3.18E+00	1.32E+00	1.84E+00	1.50E+00	8.75E-01	2.29E+00	9.07E-01	1.32E+01	1.64E+00
V4	1.13E+01	5.16E-01	0.00E+00	3.07E-01	6.16E-01	1.21E+00	0.00E+00	4.23E-01	2.24E+00	1.11E+00	1.05E+01
V5	3.73E+00	2.21E+00	2.43E+00	1.03E+00	1.38E+00	4.90E+00	1.32E+00	2.88E+00	2.53E+00	2.61E+00	4.73E+00
V6	3.10E+00	9.48E+00	5.12E-01	2.00E+00	0.00E+00	2.12E+00	0.00E+00	0.00E+00	2.15E+00	1.15E+01	1.82E+00
V7	3.94E-01	2.94E+01	1.12E+00	4.42E-01	8.72E-01	8.36E+00	3.67E-01	9.71E-01	6.44E+00	3.26E+01	2.03E+00
V8	6.90E-01	4.78E+00	5.67E-01	7.18E-01	0.00E+00	6.63E+00	3.89E-01	0.00E+00	3.47E+00	5.82E+00	4.73E-01
V9	9.83E-01	2.77E-01	4.72E+00	2.85E+00	1.64E+00	5.84E+00	1.40E+00	5.24E+00	5.33E+00	1.24E+00	1.28E+00
V10	4.78E+00	1.13E+00	0.00E+00	0.00E+00	2.43E+00	7.52E+00	2.42E+00	1.62E+00	6.42E+00	2.28E+00	3.80E+00
V11	0.00E+00	4.27E+01	1.27E+00	1.77E+00	8.59E-01	2.82E+00	1.31E+00	5.78E-01	7.18E-01	4.29E+01	1.71E+00
V12	3.42E+00	1.67E+01	7.48E-01	1.87E+00	2.82E+00	2.65E+00	1.29E+00	1.07E+00	1.15E+00	1.85E+01	3.55E+00
V13	2.31E+00	2.21E-01	1.58E+01	3.35E-01	4.51E+00	2.00E-01	4.92E+00	1.50E+01	1.13E+00	2.13E+00	3.21E+00
V14	2.01E+00	3.96E-01	7.98E+00	3.34E+00	2.41E+00	4.91E+00	3.88E+00	7.78E+00	1.50E+00	3.78E+00	2.41E+00
V15	2.25E+00	1.55E+01	1.34E+01	1.11E+00	1.66E+00	2.46E+00	5.33E+00	1.28E+01	9.20E-01	1.65E+01	1.65E+00
V16	9.21E-01	1.41E+00	2.69E+01	1.88E+00	0.00E+00	1.91E+00	6.93E+00	2.95E+01	1.04E+00	1.63E+00	0.00E+00
V17	4.26E+00	1.98E+00	5.07E+00	8.92E-01	3.95E+00	6.07E+00	2.40E+00	5.49E+00	2.38E+00	4.19E+00	3.35E+00
V18	1.76E+00	1.40E+00	3.07E+00	2.09E+00	5.96E-01	3.79E+00	2.36E+00	5.22E+00	4.23E+00	1.29E+00	3.03E+00
V19	5.63E-01	0.00E+00	8.54E-01	2.91E-01	9.64E-01	2.15E+00	9.94E-01	1.19E+00	1.41E+00	1.38E+00	1.44E+00
V20	8.70E-01	1.51E+00	4.84E+00	2.20E+00	2.76E+00	3.42E-01	2.20E+00	5.20E+00	1.09E+00	0.00E+00	1.45E+00
V21	3.41E+00	2.84E+00	6.50E-01	1.98E+00	1.56E+00	4.00E-01	1.19E+00	6.54E-01	0.00E+00	3.18E+00	3.28E+00
V22	7.46E-01	6.53E-01	0.00E+00	6.40E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.37E-01	6.74E-01	5.00E-01
V23	1.67E+00	1.21E+00	0.00E+00	1.88E+00	3.27E-01	1.72E+00	0.00E+00	0.00E+00	3.03E+00	1.76E+00	2.86E+00
V24	2.27E+00	7.19E-01	7.27E-01	8.00E-01	4.58E-01	4.92E+00	1.33E-01	3.73E-01	3.07E+00	3.71E+00	2.24E+00
V25	1.42E+00	2.47E+00	8.36E+00	2.21E-01	0.00E+00	1.68E+00	1.55E+00	9.38E+00	8.70E-01	3.21E+00	5.00E-01
V26	0.00E+00	8.51E+00	4.18E+00	1.42E+00	4.94E-01	0.00E+00	1.18E+00	4.58E+00	3.71E-01	8.84E+00	0.00E+00
V27	6.11E-01	2.21E-01	1.29E+00	0.00E+00	1.83E+00	1.23E+01	1.08E+00	2.08E+00	4.83E+00	9.08E+00	8.14E-01
V28	2.52E+00	1.42E+00	2.95E+00	6.23E-01	6.40E-01	1.18E+00	9.07E-01	3.31E+00	7.33E-01	1.24E+00	1.40E+00
V29	1.74E+00	4.23E-01	5.47E-01	1.35E+00	4.06E+00	1.45E+00	2.74E+00	3.20E+00	1.21E+00	1.31E+00	2.79E+00
V30	2.68E+00	1.86E+00	3.27E-01	6.05E-01	0.00E+00	2.93E+00	3.48E-01	0.00E+00	3.15E+00	2.51E+00	2.04E+00
V31	2.25E+00	1.78E+00	4.98E+00	8.46E-01	0.00E+00	0.00E+00	2.67E-01	4.71E+00	0.00E+00	1.60E+00	5.17E-01
V32	6.71E-01	3.09E+00	8.88E-01	2.69E+00	1.03E+00	8.24E+00	9.57E-01	7.27E-01	6.95E+00	3.79E+00	4.39E+00
V33	3.28E+00	7.89E+00	4.57E+00	2.66E+00	6.74E+00	4.79E+00	8.40E+00	3.94E+00	2.20E+00	9.41E+00	1.02E+01
V34	7.12E-01	4.83E+00	5.88E+00	0.00E+00	8.75E-01	5.20E+00	7.18E-01	5.02E+00	4.43E+00	5.85E+00	4.86E+00
V35	1.68E+00	8.31E-01	2.20E+00	1.69E+00	2.25E+00	3.04E+00	1.01E+00	2.14E+00	2.29E+00	2.08E+00	3.61E+00
V36	1.04E+00	1.23E+01	2.28E+00	7.81E-01	8.46E-01	1.17E+00	1.06E+00	2.09E+00	0.00E+00	1.05E+01	9.80E-01
V37	7.48E-01	3.45E+00	8.88E-01	1.26E+00	2.25E+00	3.50E+00	2.33E+00	1.11E+00	2.53E+00	5.77E+00	5.31E+00
V38	0.00E+00	1.92E+00	2.51E+00	6.00E-01	0.00E+00	1.18E+00	6.05E-01	1.79E+00	2.30E+00	1.25E+00	2.21E-01
V39	8.03E-01	4.61E+00	4.22E-01	1.30E+00	5.26E-01	1.22E+00	0.00E+00	1.00E-01	1.86E+00	2.75E+00	7.31E-01
