NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	156.475	28.247	31.605	17.24	0.139	0.976	80000.0
2	157.435	28.406	31.864	17.424	0.139	0.976	80000.0
3	157.433	28.322	31.706	17.357	0.137	0.977	20000.0
4	156.242	28.108	31.52	16.994	0.137	0.977	30000.0
5	158.6	28.609	31.849	17.288	0.139	0.977	50000.0
6	156.67	28.205	31.726	17.409	0.135	0.976	60000.0
7	158.345	28.247	32.353	17.336	0.14	0.976	30000.0
8	155.789	28.097	31.238	16.905	0.137	0.977	40000.0
9	158.756	28.497	32.015	17.33	0.139	0.976	20000.0
10	156.893	28.303	31.62	17.205	0.14	0.976	50000.0
11	156.729	28.022	31.58	16.982	0.137	0.978	50000.0
12	157.286	28.388	31.676	17.393	0.139	0.976	30000.0
13	156.719	28.126	31.816	17.261	0.137	0.977	50000.0
14	158.569	28.307	31.922	17.208	0.137	0.977	20000.0
15	157.854	28.223	31.899	17.329	0.138	0.977	40000.0
16	158.471	28.409	32.023	17.384	0.138	0.976	30000.0
17	157.423	28.194	31.773	17.21	0.137	0.977	40000.0
18	156.236	28.301	31.38	17.167	0.138	0.976	50000.0
19	157.934	28.487	31.724	17.439	0.138	0.976	50000.0
20	158.215	28.417	32.196	17.521	0.139	0.976	40000.0
21	159.022	28.652	32.226	17.534	0.14	0.976	30000.0
22	157.675	28.468	32.286	17.715	0.138	0.975	30000.0
23	156.901	28.319	31.694	17.327	0.138	0.976	30000.0
24	158.795	28.236	32.363	17.288	0.137	0.977	30000.0
25	157.387	28.239	31.946	17.262	0.137	0.976	40000.0
