Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	66	4	15	12	106	38	83
V2	54	8	49	210	50	4	11
V3	75	96	77	0	44	144	35
V4	19	24	52	28	51	16	49
V5	57	128	8	8	11	16	0
V6	48	0	103	5	30	10	0
V7	9	7	31	0	1	75	91
V8	67	1	18	0	67	20	23
V9	202	45	4	25	90	2	0
V10	58	42	76	4	124	27	29
V11	4	54	0	0	47	2	2
V12	43	57	4	4	26	35	41
V13	0	54	39	3	2	0	17
V14	21	11	113	22	15	21	0
V15	80	36	1	93	48	0	34
V16	12	18	3	73	49	60	15
V17	14	24	29	0	15	4	45
V18	196	92	27	50	7	16	56
V19	116	15	3	2	3	89	11
V20	12	3	37	0	162	4	0
V21	272	14	23	35	66	0	3
V22	75	206	57	110	97	129	54
V23	25	95	49	12	72	0	43
V24	194	22	2	78	59	0	57
V25	4	30	41	0	95	55	100
V26	12	70	3	0	50	11	9
V27	14	17	2	10	151	0	38
V28	202	1	136	0	0	5	41
V29	6	39	148	105	46	0	142
V30	31	9	10	23	69	159	46
V31	3	55	9	4	24	0	0
V32	4	50	33	1	48	0	12
V33	87	71	3	9	22	19	24
V34	10	43	50	15	2	1	20
V35	41	27	0	1	89	42	0
V36	83	12	53	47	5	0	18
V37	177	583	6	0	6	26	40
V38	139	17	1	24	1	13	0
V39	23	4	9	95	25	2	29
V40	7	6	21	40	195	21	0
V41	56	3	170	252	10	24	0
V42	0	23	162	15	19	6	6
V43	68	45	35	129	17	58	24
V44	130	29	1	3	1	54	15
V45	0	31	219	6	65	0	2
V46	10	244	42	0	54	14	27
V47	14	118	78	32	26	15	113
V48	4	42	114	106	20	0	17
V49	19	194	47	18	19	51	0
V50	17	15	19	2	8	8	8
V51	190	349	17	25	8	100	185
V52	184	2	153	23	8	12	78
V53	262	8	2	3	63	91	0
V54	157	1	35	75	5	75	15
V55	104	6	50	52	4	18	0
V56	3	72	7	0	25	3	16
V57	178	215	133	23	6	42	12
V58	294	0	75	12	6	70	0
V59	13	10	89	91	48	30	0
V60	45	62	120	2	0	0	12
V61	267	99	12	337	22	17	0
V62	2	0	63	21	3	7	7
V63	1	48	21	36	91	170	1
V64	4	1	4	0	17	36	24
V65	33	32	75	36	10	19	25
V66	58	3	0	0	25	60	226
V67	8	46	134	87	13	31	31
V68	0	3	3	0	133	0	0
V69	4	8	15	0	6	18	0
V70	475	48	49	0	85	0	0
V71	63	54	0	20	55	19	0
V72	14	293	157	4	1	0	0
V73	28	113	7	160	77	0	16
V74	5	7	77	0	48	2	0
V75	29	1	118	210	0	0	51
V76	95	9	32	137	28	8	0
V77	18	43	2	43	29	23	0
V78	69	64	17	2	32	5	0
V79	58	70	24	25	57	61	71
V80	91	30	138	43	3	0	0
V81	39	2	32	244	24	77	0
V82	121	75	6	35	13	31	47
V83	23	0	4	0	6	8	21
V84	13	209	1	84	1	75	11
V85	330	39	53	93	37	7	36
V86	91	3	40	104	32	7	21
V87	188	80	70	105	14	10	6
V88	72	0	1	30	19	1	0
V89	40	105	19	14	5	2	7
V90	194	1	20	0	35	0	0
V91	10	119	121	21	5	64	11
V92	151	18	12	23	4	195	14
V93	19	30	67	65	15	0	0
V94	18	22	4	21	0	0	13
V95	2	171	2	127	1	4	13
V96	4	5	117	74	51	0	60
V97	17	14	3	18	3	13	32
V98	199	49	57	5	1	6	41
V99	30	4	25	67	37	0	0
V100	360	4	2	14	29	61	35
