NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	57.354	21.977	13.061	13.369	0.12	0.988	50000.0
2	57.468	22.687	13.646	14.624	0.121	0.985	70000.0
3	57.218	21.525	12.769	12.994	0.119	0.989	40000.0
4	62.247	23.081	14.737	14.781	0.118	0.986	30000.0
5	57.006	21.533	13.276	13.415	0.112	0.988	80000.0
6	60.508	23.121	14.342	14.6	0.115	0.986	40000.0
7	58.894	22.973	13.728	14.15	0.121	0.987	50000.0
8	59.508	22.979	14.086	14.885	0.117	0.984	40000.0
9	57.308	21.81	13.126	13.595	0.114	0.988	60000.0
10	59.882	23.092	14.484	14.979	0.117	0.985	40000.0
