NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	50.268	18.53	11.814	12.039	0.091	0.99	40000.0
2	51.931	19.542	12.271	12.879	0.092	0.988	50000.0
3	50.802	18.128	11.896	11.696	0.087	0.991	50000.0
4	47.988	17.126	11.498	11.375	0.086	0.991	60000.0
5	50.251	18.293	12.169	12.335	0.083	0.989	40000.0
6	52.394	19.177	12.41	12.792	0.093	0.988	40000.0
7	51.789	19.239	12.151	12.369	0.095	0.99	60000.0
8	53.747	19.822	12.711	12.968	0.091	0.988	50000.0
9	52.105	19.043	12.344	12.207	0.089	0.99	70000.0
10	50.2	18.679	11.858	12.158	0.088	0.99	50000.0
