NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	101.545	38.068	25.984	28.103	0.226	0.937	20000.0
2	98.266	37.964	27.964	30.318	0.214	0.932	20000.0
3	105.34	40.663	33.085	34.124	0.235	0.914	30000.0
4	100.599	38.573	25.382	27.952	0.233	0.937	30000.0
5	125.857	45.569	42.647	38.205	0.243	0.901	30000.0
6	105.016	39.958	33.085	33.328	0.229	0.917	30000.0
7	104.387	40.127	32.157	32.691	0.236	0.919	20000.0
8	99.92	37.609	26.035	28.042	0.22	0.939	20000.0
9	98.236	37.011	25.075	27.244	0.226	0.939	30000.0
10	100.692	37.488	25.718	27.371	0.222	0.941	20000.0
