MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	8.93E-04	0.00E+00	1.71E-06	2.02E-03	1.60E-03	5.89E-03	6.49E-05	5.99E-02	5.28E-02	7.91E-02	9.34E-03	1.49E-02	3.78E-02	2.44E-03	1.62E-02	2.22E-03	1.38E-02
1:Del:C:1	4.92E-04	1.58E-03	1.23E-03	2.87E-03	7.53E-04	7.20E-03	5.15E-03	1.07E-02	4.69E-02	1.34E-02	4.17E-03	1.28E-02	4.12E-02	1.21E-02	1.38E-02	5.47E-03	8.04E-03
1:Del:C:2	1.61E-07	2.91E-04	3.01E-04	7.39E-04	1.60E-06	7.59E-04	7.00E-04	2.60E-03	4.28E-03	1.98E-03	2.94E-03	1.24E-03	6.76E-04	0.00E+00	1.92E-03	3.13E-04	3.14E-03
1:Del:C:3	2.19E-04	7.89E-05	1.69E-03	5.38E-04	6.06E-04	7.75E-04	1.58E-03	1.11E-03	8.67E-03	5.23E-03	6.26E-04	1.79E-03	1.34E-02	5.21E-03	0.00E+00	2.71E-03	3.82E-03
1:Del:C:4	0.00E+00	1.13E-03	0.00E+00	0.00E+00	1.38E-07	1.47E-03	7.22E-04	2.94E-03	8.59E-03	1.00E-02	1.64E-03	2.05E-03	1.10E-02	1.75E-04	5.60E-03	2.07E-08	7.95E-03
1:Del:C:5	1.79E-04	3.56E-03	2.41E-09	8.11E-04	2.95E-03	1.14E-04	4.45E-04	6.81E-04	0.00E+00	0.00E+00	4.33E-03	1.05E-02	1.21E-03	6.31E-03	1.75E-02	4.58E-03	6.94E-03
1:Del:T:0	1.45E-04	4.29E-04	2.10E-03	6.08E-07	4.56E-04	1.32E-02	6.64E-03	1.59E-02	1.65E-02	2.41E-02	4.78E-03	3.78E-03	5.51E-02	2.07E-02	1.57E-02	7.00E-03	1.60E-02
1:Del:T:1	4.42E-05	5.39E-08	1.37E-03	2.41E-07	1.75E-03	2.16E-03	9.78E-04	3.69E-03	2.22E-02	1.17E-02	6.92E-04	5.60E-03	1.51E-02	3.77E-03	5.96E-04	3.47E-03	4.33E-03
1:Del:T:2	9.34E-04	1.40E-03	6.98E-08	0.00E+00	1.42E-07	2.93E-03	0.00E+00	3.31E-02	1.46E-02	9.33E-03	2.46E-03	1.09E-03	5.48E-02	4.52E-03	1.01E-02	7.37E-03	1.87E-02
1:Del:T:3	1.08E-03	2.32E-03	4.86E-03	1.06E-02	4.44E-03	0.00E+00	7.33E-04	1.59E-03	1.60E-02	5.06E-02	4.53E-03	5.93E-03	2.38E-02	6.11E-03	1.03E-02	2.83E-02	2.31E-02
1:Del:T:4	4.45E-04	4.48E-03	2.73E-07	1.07E-02	2.13E-03	9.20E-08	2.58E-03	8.47E-03	8.86E-02	1.50E-02	1.11E-02	1.62E-03	2.57E-02	4.73E-03	3.34E-02	4.71E-07	2.59E-02
1:Del:T:5	1.22E-07	1.48E-02	8.34E-06	2.17E-07	1.72E-07	1.10E-06	4.22E-02	7.19E-07	1.82E-07	6.30E-06	7.82E-02	2.14E-02	1.09E-45	8.12E-07	8.60E-02	7.62E-07	1.41E-02
1:Ins:C:0	2.38E-07	4.59E-04	2.60E-08	9.85E-08	3.57E-04	2.35E-04	5.09E-04	4.02E-04	3.37E-07	7.34E-09	1.02E-03	2.17E-03	2.04E-07	2.14E-04	1.08E-04	5.15E-04	1.34E-03
1:Ins:C:1	5.10E-05	1.28E-04	4.67E-08	1.00E-07	6.81E-08	3.72E-04	3.63E-04	1.76E-03	1.62E-07	8.08E-08	1.28E-03	1.71E-07	2.29E-04	3.67E-03	1.67E-03	9.26E-08	3.56E-03
1:Ins:C:2	7.19E-05	2.19E-08	4.33E-03	2.32E-07	2.59E-04	1.40E-03	6.25E-04	8.54E-04	1.46E-03	2.28E-04	6.19E-09	3.46E-03	8.77E-04	1.11E-08	4.95E-03	9.25E-07	7.52E-04
1:Ins:C:3	4.44E-05	8.22E-08	1.46E-04	3.79E-04	1.46E-07	9.48E-08	4.96E-08	6.21E-04	2.18E-04	2.12E-08	6.58E-08	5.87E-04	4.51E-04	3.83E-04	0.00E+00	0.00E+00	9.10E-04
1:Ins:C:4	5.81E-08	1.24E-03	5.09E-05	6.46E-04	2.85E-08	1.29E-06	1.89E-03	8.90E-04	9.06E-08	3.94E-08	1.29E-03	0.00E+00	2.89E-07	1.28E-07	5.05E-03	4.39E-03	1.06E-03
1:Ins:C:5	4.57E-03	1.31E-03	0.00E+00	2.75E-04	5.35E-08	2.47E-03	7.06E-04	3.58E-03	1.17E-07	1.40E-46	1.88E-03	1.55E-03	1.01E-03	1.51E-02	9.30E-03	1.31E-02	5.84E-03
1:Ins:T:0	0.00E+00	8.81E-08	1.45E-02	5.45E-04	1.05E-03	3.05E-03	4.35E-04	1.87E-03	1.36E-02	4.50E-03	1.47E-03	7.96E-03	8.58E-03	1.04E-02	3.96E-08	5.00E-03	8.86E-04
1:Ins:T:1	7.19E-09	9.84E-04	2.81E-03	1.06E-02	1.50E-04	1.71E-03	3.99E-03	2.09E-02	2.50E-03	6.80E-03	7.71E-03	2.78E-04	6.25E-03	0.00E+00	4.61E-04	4.97E-02	1.12E-02
1:Ins:T:2	1.07E-04	5.05E-04	1.46E-04	5.63E-05	3.41E-04	6.66E-04	1.52E-03	9.92E-04	3.64E-08	4.21E-04	2.19E-03	3.65E-03	2.26E-03	3.24E-03	1.86E-03	4.35E-04	4.23E-03
1:Ins:T:3	8.26E-04	5.68E-08	1.60E-04	9.87E-08	3.75E-04	3.37E-04	1.81E-04	5.06E-03	3.90E-03	2.12E-03	1.11E-07	1.40E-46	2.48E-03	5.67E-03	3.05E-03	2.10E-09	2.01E-03
1:Ins:T:4	3.60E-03	4.05E-04	0.00E+00	1.19E-03	5.24E-04	0.00E+00	0.00E+00	4.20E-46	3.24E-03	1.08E-03	7.11E-04	3.24E-02	7.54E-03	4.25E-02	3.79E-03	3.33E-03	2.90E-03
1:Ins:T:5	7.90E-03	5.40E-40	1.88E-06	7.75E-04	1.04E-07	3.33E-03	5.22E-06	2.71E-02	2.01E-07	2.18E-07	2.16E-03	5.46E-02	1.25E-02	1.01E-01	2.02E-02	3.93E-02	4.81E-03
2:Del:R:0	1.76E-04	2.72E-04	5.62E-08	0.00E+00	2.66E-03	2.86E-03	2.14E-03	4.34E-03	4.61E-03	1.41E-03	7.95E-04	5.08E-04	8.55E-03	1.02E-03	3.21E-03	1.15E-04	2.38E-02
2:Del:R:1	1.19E-04	3.84E-04	3.34E-05	1.95E-04	1.53E-04	5.01E-03	4.20E-03	6.22E-03	7.69E-04	3.57E-08	4.05E-03	2.13E-03	1.19E-03	7.19E-03	7.84E-03	0.00E+00	1.51E-03
2:Del:R:2	2.16E-04	4.75E-04	1.97E-04	1.57E-08	0.00E+00	2.45E-04	0.00E+00	0.00E+00	3.86E-04	2.88E-04	6.36E-04	4.00E-03	1.03E-03	2.14E-03	3.55E-08	1.44E-04	3.03E-04
2:Del:R:3	8.97E-08	2.05E-04	6.93E-08	5.38E-09	8.74E-05	0.00E+00	2.75E-04	4.67E-04	6.46E-08	7.92E-08	2.62E-04	4.10E-04	1.88E-07	1.17E-07	5.50E-04	0.00E+00	3.90E-04
2:Del:R:4	6.95E-05	9.60E-05	6.47E-08	2.93E-08	1.88E-04	7.79E-05	7.69E-08	1.68E-04	1.10E-05	2.34E-08	2.57E-04	1.05E-03	4.08E-07	1.04E-03	1.56E-03	1.46E-07	4.17E-04
2:Del:R:5	2.74E-08	9.48E-08	3.36E-02	2.31E-02	3.51E-07	1.44E-02	1.09E-07	5.59E-07	3.92E-07	1.73E-02	1.84E-07	1.76E-02	1.10E-06	7.00E-08	4.31E-08	1.10E-01	3.87E-06
3:Del:R:0	1.10E-07	1.13E-02	1.65E-07	1.85E-07	9.87E-03	1.69E-07	1.44E-06	1.08E-02	2.39E-06	3.06E-07	1.86E-03	9.27E-02	1.61E-07	4.21E-03	1.70E-02	1.72E-06	4.12E-02
3:Del:R:1	1.34E-03	9.47E-04	9.43E-03	1.19E-02	1.27E-03	0.00E+00	7.76E-03	2.01E-02	1.56E-07	3.99E-03	1.49E-03	1.19E-03	2.72E-03	1.58E-03	9.61E-02	2.29E-02	1.25E-02
3:Del:R:2	1.74E-04	1.41E-04	0.00E+00	1.55E-08	5.08E-08	2.88E-04	8.61E-04	3.64E-04	3.45E-05	4.42E-03	1.11E-03	1.05E-03	1.47E-03	1.05E-03	2.02E-03	8.33E-04	3.02E-04
3:Del:R:3	8.42E-05	0.00E+00	1.21E-04	0.00E+00	1.21E-02	2.57E-04	6.10E-07	1.69E-07	7.21E-08	1.35E-06	2.53E-03	2.26E-02	8.75E-03	1.29E-02	6.42E-03	2.25E-02	4.49E-02
3:Del:R:4	2.74E-08	3.29E-08	6.92E-08	1.10E-07	1.16E-07	8.19E-08	6.57E-08	1.04E-07	1.34E-07	1.96E-07	7.33E-08	1.88E-07	2.85E-07	1.72E-07	1.65E-07	1.61E-07	3.13E-07
