MutationType	ID1	ID2	ID8	ID9	ID83A	ID83E
1:Del:C:0	0.00015989	0.00482412	0.03982756	0.33493988	0.00063445	0.01075891
1:Del:C:1	0.00077352	0.00002210	0.02391594	0.09999423	0.00098590	0.00000001
1:Del:C:2	0.00000000	0.00000311	0.00333055	0.00269066	0.00021877	0.00000000
1:Del:C:3	0.00190761	0.00247208	0.00540315	0.01062542	0.00010771	0.00068548
1:Del:C:4	0.00070599	0.00385698	0.00127571	0.01249690	0.00086860	0.00000000
1:Del:C:5	0.00337011	0.01461542	0.00093373	0.00004480	0.00252487	0.00000000
1:Del:T:0	0.00131160	0.00790597	0.03424369	0.10510537	0.00236986	0.00180350
1:Del:T:1	0.00000000	0.00000000	0.01045208	0.04429364	0.00178684	0.00105751
1:Del:T:2	0.00093645	0.00703642	0.00899203	0.08586196	0.35047265	0.00000000
1:Del:T:3	0.00229585	0.02023474	0.00982504	0.11325066	0.00582578	0.00020177
1:Del:T:4	0.00429142	0.04711993	0.00127378	0.09441274	0.00445510	0.00000000
1:Del:T:5	0.00000000	0.81469723	0.01062034	0.00092983	0.00059858	0.00000016
1:Ins:C:0	0.00000000	0.00000000	0.00276427	0.00000000	0.00000018	0.00011520
1:Ins:C:1	0.00000000	0.00022703	0.00216912	0.00000193	0.00032714	0.00035822
1:Ins:C:2	0.00000000	0.00002620	0.00152700	0.00035262	0.00000001	0.00000002
1:Ins:C:3	0.00084599	0.00043005	0.00011652	0.00000000	0.00016058	0.00007133
1:Ins:C:4	0.00178553	0.00291185	0.00055418	0.00000216	0.00175510	0.04149465
1:Ins:C:5	0.02429654	0.00901754	0.00048949	0.00007370	0.00305275	0.00000000
1:Ins:T:0	0.00228382	0.00132856	0.00450798	0.01261448	0.00106819	0.15981663
1:Ins:T:1	0.00004030	0.00000000	0.00486870	0.01038527	0.04873760	0.00678516
1:Ins:T:2	0.00019286	0.00064703	0.00142964	0.00231466	0.00112200	0.00021467
1:Ins:T:3	0.00424327	0.00108288	0.00108729	0.00160089	0.00110993	0.00385092
1:Ins:T:4	0.01664913	0.00348746	0.00082262	0.00158536	0.00033377	0.00000000
1:Ins:T:5	0.89090647	0.00313258	0.02016125	0.00577248	0.00000000	0.01132571
2:Del:R:0	0.00068605	0.00016381	0.00876922	0.01317475	0.00272766	0.00015791
2:Del:R:1	0.00121997	0.00356888	0.01030715	0.00319854	0.00019683	0.00010964
2:Del:R:2	0.00047275	0.00184957	0.00053203	0.00118970	0.00092417	0.00046981
2:Del:R:3	0.00042672	0.00073904	0.00002710	0.00009590	0.00089469	0.11519911
2:Del:R:4	0.00005460	0.00088193	0.00027403	0.00000000	0.43526269	0.00972549
2:Del:R:5	0.00000000	0.00000000	0.00083308	0.00000000	0.00000004	0.00000002
3:Del:R:0	0.00012804	0.00001250	0.01096410	0.00285810	0.00028146	0.00000000
3:Del:R:1	0.00501109	0.00500326	0.00134887	0.00430191	0.00013318	0.00029041
3:Del:R:2	0.00076938	0.00228989	0.00037657	0.00127572	0.00000000	0.00104152
3:Del:R:3	0.00037126	0.00040259	0.00025351	0.00030211	0.00000000	0.00000000
3:Del:R:4	0.00000000	0.00000000	0.00000268	0.00000000	0.00000026	0.46141443
3:Del:R:5	0.00000000	0.00000000	0.00009100	0.00000000	0.00000031	0.00000027
4:Del:R:0	0.00009970	0.00001210	0.00669131	0.00143277	0.00012330	0.00044724
4:Del:R:1	0.00090050	0.00211579	0.00162295	0.00459422	0.00025861	0.00002078
4:Del:R:2	0.00000323	0.00054329	0.00027262	0.00089602	0.00005737	0.00009248
4:Del:R:3	0.00000000	0.00000727	0.00002880	0.00002380	0.00000031	0.00000027
4:Del:R:4	0.00000000	0.00000000	0.00009730	0.00000000	0.00000031	0.00000027
4:Del:R:5	0.00002890	0.00021041	0.00000634	0.00001370	0.00000031	0.00000027
5:Del:R:0	0.00000835	0.00003850	0.23797886	0.00077205	0.00000001	0.00574016
5:Del:R:1	0.00019068	0.00297751	0.00057226	0.00047955	0.00040366	0.12522737
5:Del:R:2	0.00012636	0.00039753	0.00051684	0.00026497	0.00018949	0.00000004
5:Del:R:3	0.00001890	0.00015815	0.00000816	0.00000612	0.00000031	0.00000027
5:Del:R:4	0.00000311	0.00008470	0.00011290	0.00000725	0.00000031	0.00000027
5:Del:R:5	0.00003130	0.00002120	0.00004430	0.00002990	0.00000022	0.00030551
2:Ins:R:0	0.00040204	0.00033185	0.00191671	0.00116234	0.00087752	0.00003302
2:Ins:R:1	0.00000788	0.00027166	0.00166182	0.00210019	0.00035886	0.00003934
2:Ins:R:2	0.00022135	0.00103534	0.00030459	0.00076094	0.00000000	0.00038801
2:Ins:R:3	0.00051427	0.00038133	0.00017758	0.00035163	0.00000000	0.00000000
2:Ins:R:4	0.00291310	0.00197742	0.00001660	0.00003070	0.00013092	0.00000000
2:Ins:R:5	0.01812158	0.01363338	0.00176438	0.00000000	0.00032307	0.00051647
