Samples	ID1	ID2	ID8	ID9	ID83A	ID83C
V1	26	181	0	0	34	120
V2	0	0	621	0	117	150
V3	38	34	138	49	23	0
V4	24	17	31	0	44	95
V5	28	47	171	72	50	0
V6	0	49	0	36	88	92
V7	0	0	0	0	587	0
V8	0	27	0	77	23	29
V9	0	185	0	0	74	350
V10	0	0	175	0	294	0
V11	0	90	0	0	20	106
V12	337	0	150	0	52	0
V13	0	0	0	160	175	0
V14	0	121	0	191	0	65
V15	73	0	0	0	526	0
V16	26	0	0	40	97	38
V17	0	0	58	0	82	0
V18	27	43	0	0	28	0
V19	0	19	36	110	0	33
V20	0	0	0	0	52	94
V21	0	0	91	0	78	19
V22	30	25	53	140	0	0
V23	51	79	0	90	0	206
V24	198	126	0	0	0	63
V25	0	11	0	0	50	38
V26	0	0	0	136	0	153
V27	117	0	0	0	339	0
V28	542	0	0	0	0	0
V29	0	77	0	102	131	137
V30	7	8	0	0	48	0
V31	0	105	0	50	0	142
V32	0	0	0	0	39	88
V33	0	52	0	83	0	0
V34	167	47	122	0	0	158
V35	28	132	59	0	0	23
V36	0	68	0	0	0	403
V37	0	0	123	0	21	0
V38	21	0	0	0	48	83
V39	0	18	0	45	87	47
V40	19	70	0	34	26	52
V41	0	0	94	160	107	0
V42	39	54	0	36	13	0
V43	0	0	0	133	369	0
V44	0	0	0	80	0	101
V45	0	58	0	0	28	74
V46	26	133	92	0	76	0
V47	0	0	60	0	173	0
V48	0	66	43	0	0	110
V49	80	0	0	0	553	0
V50	0	48	0	0	128	66
V51	21	0	0	150	0	45
V52	155	0	0	0	29	142
V53	0	67	394	0	0	182
V54	114	189	0	0	0	0
V55	0	0	0	0	77	80
V56	164	81	0	75	0	0
V57	71	90	0	0	23	0
V58	82	41	0	82	273	38
V59	0	33	90	85	0	136
V60	74	0	211	0	89	0
V61	0	221	0	0	0	150
V62	116	90	0	0	137	56
V63	21	0	0	30	19	43
V64	96	0	0	79	63	32
V65	506	0	164	0	0	78
V66	87	0	40	29	44	48
V67	22	0	225	0	0	52
V68	0	23	0	0	45	17
V69	19	0	80	55	33	0
V70	136	0	0	0	0	0
V71	0	39	15	0	0	0
V72	0	273	0	74	0	0
V73	0	125	0	148	0	0
V74	65	58	0	0	133	46
V75	0	0	0	0	47	156
V76	12	7	0	40	15	0
V77	0	0	237	55	56	0
V78	47	37	70	0	167	0
V79	155	107	0	0	0	0
V80	25	73	0	0	174	179
V81	0	0	85	0	149	51
V82	51	21	0	0	0	0
V83	0	161	99	0	107	0
V84	26	9	0	0	0	39
V85	0	118	0	0	0	0
V86	53	65	33	0	83	31
V87	776	0	0	0	0	0
V88	11	16	36	0	17	29
V89	0	0	218	0	44	0
V90	106	0	84	0	123	212
V91	0	0	0	0	63	50
V92	28	0	0	313	0	0
V93	380	0	0	0	0	0
V94	28	167	0	0	22	79
V95	0	127	0	0	0	18
V96	218	0	161	0	54	85
V97	45	20	51	93	0	22
V98	0	0	127	103	38	0
V99	0	0	0	0	0	501
V100	21	0	36	0	0	0
