Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	6.85E+00	9.78E-01	3.54E+00	1.53E+00	1.76E+01	1.00E-01	1.80E+01	5.54E+00	7.26E+00	2.90E+00	3.79E+00	2.53E+00
V2	0.00E+00	2.28E+00	9.65E+00	1.88E+00	1.27E+01	2.16E+00	1.51E+01	1.79E+00	9.22E+00	5.81E+00	9.95E+00	2.96E+00
V3	1.07E+01	3.27E+00	5.09E+00	2.54E+00	2.18E+00	2.17E+00	2.63E+00	1.12E+01	3.81E+00	1.76E+00	4.10E+00	4.14E+00
V4	1.64E+00	2.15E+00	1.02E+01	6.57E-01	1.91E+01	1.29E+00	1.82E+01	5.00E+00	1.46E+01	5.20E+00	1.16E+01	1.41E+00
V5	9.48E-01	4.77E+00	3.76E+00	2.06E+00	3.39E+00	5.97E-01	2.77E+00	1.37E+00	1.65E+00	5.88E+00	4.48E+00	3.94E+00
V6	1.37E+00	1.80E+00	2.28E+01	8.25E+00	3.31E+00	9.33E-01	3.59E+00	2.80E+00	2.36E+01	3.40E+00	1.39E+01	7.70E+00
V7	9.41E+00	5.00E-01	3.37E+01	1.46E+01	4.18E+00	1.57E+00	6.29E+00	1.06E+01	3.21E+01	6.13E+00	2.57E+01	2.00E+01
V8	9.83E-01	6.77E+00	4.44E+00	4.96E+00	1.20E+01	2.33E+00	1.35E+01	2.10E+00	1.04E+01	9.68E+00	5.94E+00	1.08E+01
V9	0.00E+00	2.98E+00	2.20E+00	4.04E+00	1.45E+01	2.49E-01	1.84E+01	3.17E+00	7.13E+00	3.75E+00	2.96E+00	8.59E+00
V10	5.01E+00	3.60E+00	1.48E+00	2.02E+00	3.20E+00	9.52E-01	2.13E+00	4.75E+00	1.27E+00	7.06E-01	2.15E+00	2.59E+00
V11	3.90E+00	2.52E+00	8.97E+00	1.97E+00	2.52E+00	0.00E+00	1.98E+00	4.83E+00	7.76E+00	6.05E-01	8.71E+00	2.35E+00
V12	1.05E+01	1.63E+00	1.11E+00	7.12E-01	2.40E+00	9.60E-01	2.13E+00	1.17E+01	6.83E-01	1.37E+00	1.58E+00	0.00E+00
V13	1.90E+00	5.02E+00	3.40E-01	3.84E+00	8.38E+00	1.26E+00	8.30E+00	3.59E+00	1.83E+00	3.00E+00	2.42E+00	8.51E+00
V14	1.81E+00	3.75E+00	1.89E+00	2.65E+00	2.26E+00	7.48E-01	2.07E+00	1.75E+00	5.00E-01	4.24E+00	4.23E-01	3.48E+00
V15	4.45E+00	4.11E+00	2.29E+00	5.43E+00	4.76E+00	1.80E+00	4.99E+00	2.81E+00	5.05E+00	2.25E+00	3.37E+00	1.07E+01
V16	5.25E+00	3.61E+00	1.25E+00	7.20E+00	1.93E+01	0.00E+00	2.35E+01	5.65E+00	8.91E+00	7.69E+00	7.77E-01	1.04E+01
V17	1.33E-01	3.36E+00	6.29E-01	1.75E+00	1.36E+00	1.16E+00	1.48E+00	5.00E-01	1.10E+00	2.23E+00	5.58E-01	2.28E+00
V18	2.77E+00	1.89E+00	1.41E+00	6.48E+00	4.64E+00	0.00E+00	5.45E+00	4.14E+00	1.29E+00	2.86E+00	1.39E+00	1.01E+01
V19	1.76E+00	1.19E+00	1.32E+01	2.58E+00	5.68E+00	1.38E+00	8.63E+00	3.06E+00	8.28E+00	4.92E+00	1.14E+01	4.28E+00
V20	2.93E+00	1.74E+00	1.54E+00	4.99E+00	1.02E+01	3.27E+00	1.07E+01	4.60E+00	7.71E+00	4.01E+00	1.75E+00	5.18E+00
V21	2.41E+00	3.06E+00	1.11E+01	1.16E+00	2.08E+01	3.24E+00	1.85E+01	2.89E+00	1.08E+01	8.85E+00	1.28E+01	8.32E+00
V22	3.03E+00	2.05E+00	9.50E+00	6.80E+00	3.01E+00	7.27E-01	4.55E+00	5.54E-01	3.53E+00	3.34E+00	1.04E+01	7.19E+00
V23	1.77E+00	8.31E-01	1.49E+00	5.24E+00	1.10E+00	3.31E+00	1.46E+00	2.92E+00	3.20E+00	1.99E+00	3.43E+00	5.64E+00
V24	2.92E+00	3.84E+00	1.17E+00	2.12E+00	1.30E+00	5.96E-01	1.84E+00	2.97E+00	8.83E-01	1.00E+00	1.37E+00	5.51E+00
V25	4.18E+00	5.14E+00	4.26E+00	4.72E+00	5.00E-01	2.00E+00	1.99E+00	6.03E+00	3.32E+00	7.02E+00	3.87E+00	8.84E+00
V26	1.80E+00	1.93E+00	2.11E+00	1.05E+00	0.00E+00	1.55E+00	0.00E+00	2.42E+00	0.00E+00	0.00E+00	1.11E+00	1.40E+00
V27	5.62E+00	4.06E+00	4.64E+00	1.47E+00	1.09E+00	2.56E+00	1.52E+00	3.53E+00	2.06E+00	2.48E+00	6.13E+00	1.84E+00
V28	2.45E+00	6.87E+00	2.64E+00	7.19E+00	4.76E+00	3.45E+00	5.59E+00	2.70E+00	4.24E+00	8.55E+00	2.50E+00	1.29E+01
V29	1.37E+01	4.73E-01	3.63E+00	1.33E-01	1.18E+00	7.12E-01	1.05E+00	1.46E+01	3.98E+00	1.46E+00	3.54E+00	3.35E-01
V30	1.01E+01	8.03E-01	3.98E+00	1.06E+00	1.64E+01	3.42E-01	1.53E+01	1.06E+01	7.39E+00	4.77E+00	6.17E+00	1.91E+00
V31	3.47E+00	2.98E+00	1.68E+00	2.66E+00	1.00E-01	1.76E+00	2.00E-01	2.77E+00	1.99E+00	1.92E+00	2.56E+00	4.27E+00
V32	2.84E+00	2.93E+00	6.09E+00	2.07E+00	7.33E+00	2.62E+00	6.43E+00	4.09E+00	2.66E+00	5.73E+00	6.61E+00	3.66E+00
V33	0.00E+00	2.51E+00	3.31E+00	4.47E+00	1.98E+01	1.13E+01	2.08E+01	2.92E+00	1.15E+01	8.77E+00	1.42E+01	4.04E+00
V34	1.92E+00	8.27E-01	1.97E+00	1.47E+00	4.74E+00	2.43E+00	4.67E+00	1.74E+00	1.40E+00	1.91E+00	2.28E+00	1.39E+00
V35	2.58E+00	2.46E+00	1.48E+00	1.45E+00	2.67E-01	6.01E-01	6.83E-01	4.43E+00	9.64E-01	5.00E-01	4.67E-01	3.10E+00
V36	0.00E+00	1.00E+00	4.58E-01	4.01E+00	6.58E+00	1.23E+00	7.61E+00	6.33E-01	5.66E+00	1.80E+00	1.31E+00	3.91E+00
V37	9.36E-01	3.58E+00	5.40E+00	7.66E+00	4.22E+00	7.20E+00	1.77E+00	2.63E+00	8.22E+00	5.76E+00	1.05E+01	8.64E+00
V38	1.36E+01	4.74E+00	7.43E+00	2.36E+00	9.78E-01	1.72E+00	8.00E-01	1.51E+01	2.40E+00	2.39E+00	8.55E+00	7.33E+00
V39	2.34E+01	3.06E-01	1.25E+00	2.88E+00	8.69E+00	1.73E+00	8.77E+00	2.14E+01	6.43E+00	1.47E+00	9.20E-01	5.04E+00
V40	5.54E-01	1.00E+00	1.42E+00	5.87E+00	1.94E+01	2.64E+00	2.02E+01	4.01E+00	1.11E+01	2.46E+00	3.28E+00	1.01E+01
V41	1.95E+00	1.90E+00	2.47E+00	0.00E+00	1.93E+00	0.00E+00	3.27E+00	1.58E+00	2.19E+00	1.74E+00	3.30E+00	0.00E+00
V42	2.97E+00	3.10E+00	1.19E+01	3.37E+00	1.51E+01	3.67E-01	1.23E+01	7.56E+00	1.21E+01	3.46E+00	1.40E+01	5.16E+00
V43	3.48E-01	4.07E-01	3.67E-01	2.15E+00	5.89E+00	1.40E+00	6.69E+00	9.32E-01	1.35E+00	2.13E-01	2.07E+00	1.17E+00
V44	7.24E+00	5.46E+00	6.73E+00	1.67E+00	3.70E+00	0.00E+00	6.46E+00	7.21E+00	6.20E+00	8.05E+00	6.73E+00	7.10E+00
V45	1.06E+00	4.65E+00	1.02E+00	2.24E-01	3.62E+00	2.29E+00	4.86E+00	2.11E+00	1.85E+00	7.76E+00	2.02E+00	9.64E-01
V46	1.47E+00	1.74E+00	6.93E+00	9.89E-01	5.17E-01	2.75E+00	8.03E-01	2.02E+00	1.45E+00	9.24E-01	6.78E+00	1.83E+00
V47	1.07E+00	1.88E+00	8.82E-01	5.70E+00	8.65E+00	6.94E+00	1.27E+01	2.65E+00	8.00E+00	6.41E+00	6.28E+00	9.35E+00
V48	0.00E+00	1.68E+00	2.13E-01	3.52E+00	3.91E+00	1.96E+00	4.52E+00	1.40E+00	1.23E+00	1.98E+00	1.49E+00	5.47E+00
V49	0.00E+00	3.75E+00	8.04E+00	3.45E+00	4.52E+00	1.38E+00	8.23E+00	1.97E+00	5.16E+00	3.42E+00	9.41E+00	5.62E+00
V50	1.30E+00	1.49E+00	8.94E+00	0.00E+00	2.19E+00	1.26E+00	2.01E+00	2.07E+00	1.48E+00	3.14E+00	8.36E+00	6.00E-01
V51	5.99E+00	1.52E+00	1.03E+01	6.20E+00	5.86E+00	1.56E+01	7.32E+00	7.29E+00	2.33E+00	5.23E+00	1.73E+01	8.58E+00
V52	2.30E+00	3.50E+00	1.75E+01	3.39E+00	0.00E+00	2.82E+00	0.00E+00	2.07E+00	5.24E+00	4.63E+00	1.84E+01	4.78E+00
V53	1.22E+00	2.15E+00	1.17E+01	8.41E+00	6.71E+00	3.06E+00	5.25E+00	3.00E-01	1.02E+01	4.99E+00	9.89E+00	9.74E+00
V54	2.13E-01	1.12E+00	5.25E+00	4.35E+00	3.00E-01	1.14E+00	1.47E+00	2.45E+00	3.32E+00	1.32E+00	4.71E+00	3.48E+00
V55	2.60E+00	0.00E+00	4.00E-01	3.85E+00	6.71E+00	5.26E+00	9.78E+00	3.28E+00	7.09E+00	6.64E+00	3.82E+00	2.62E+00
V56	3.25E+00	2.03E+00	1.72E+00	0.00E+00	1.33E+00	1.00E-01	1.36E+00	3.17E+00	2.52E+00	2.38E+00	2.55E+00	0.00E+00
V57	0.00E+00	3.62E+00	4.12E+00	9.80E-01	1.98E+01	3.00E-01	2.36E+01	4.86E+00	1.10E+01	4.85E+00	3.85E+00	2.77E+00
V58	1.81E+00	9.09E-01	1.11E+00	0.00E+00	3.67E-01	1.06E+00	1.27E+00	2.07E+00	2.69E-01	7.31E-01	6.32E-01	0.00E+00
V59	4.22E-01	1.96E+00	1.23E+00	3.05E+00	1.66E+00	1.75E+00	1.34E+00	1.13E+00	3.81E+00	2.24E+00	2.82E+00	3.61E+00
V60	6.55E+00	1.39E+00	1.56E+00	2.40E+00	2.00E-01	2.25E+00	1.10E+00	5.14E+00	2.60E+00	1.69E+00	1.32E+00	3.96E+00
V61	5.82E+00	4.56E+00	1.93E+00	2.21E-01	2.75E+00	8.70E-01	1.77E+00	6.34E+00	1.76E+00	3.08E+00	2.09E+00	3.00E-01
V62	1.59E+00	1.54E+00	8.77E+00	6.03E+00	1.52E+01	2.56E+00	1.83E+01	2.43E+00	5.49E+00	4.08E+00	9.34E+00	9.33E+00
V63	1.61E+01	3.42E-01	7.97E+00	8.27E-01	8.01E+00	3.62E+00	8.67E+00	1.78E+01	3.87E+00	2.34E+00	8.46E+00	6.18E-01
V64	0.00E+00	2.55E+00	2.73E+00	1.05E+01	1.11E+01	2.06E+00	7.66E+00	5.37E-01	1.38E+01	4.98E+00	3.27E+00	1.59E+01
V65	0.00E+00	4.58E-01	1.95E+00	4.71E-01	0.00E+00	1.11E+00	2.00E-01	0.00E+00	5.58E-01	7.03E-01	1.96E+00	4.00E-01
