Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	0	9	0	69	118	0	67	1	0	0	16
V2	0	34	1	58	0	40	91	0	0	9	5
V3	8	29	1	28	0	17	4	5	0	0	14
V4	88	21	22	34	24	104	107	24	0	0	0
V5	1	22	5	24	0	36	36	0	12	0	0
V6	73	1	38	28	0	15	0	0	0	0	0
V7	35	1	0	69	57	0	0	0	0	48	0
V8	18	121	11	7	0	0	0	6	74	0	0
V9	0	0	43	5	11	34	20	0	82	20	5
V10	4	22	15	14	15	141	20	0	45	33	28
V11	154	95	69	0	6	0	0	27	37	5	21
V12	0	74	1	36	25	6	0	6	4	7	0
V13	33	61	40	37	9	0	0	50	73	0	0
V14	13	11	0	6	7	112	38	9	0	0	0
V15	0	0	101	21	0	67	44	47	91	24	0
V16	24	53	0	86	55	0	7	63	0	0	0
V17	277	11	7	65	153	0	13	0	28	6	0
V18	62	49	93	24	7	26	4	0	2	0	30
V19	165	41	25	40	0	67	19	17	47	0	23
V20	2	95	12	85	0	0	0	1	41	0	0
V21	128	0	249	10	0	165	82	86	0	29	0
V22	0	6	2	28	0	0	82	26	56	10	0
V23	0	12	58	35	0	0	0	0	8	5	0
V24	101	369	3	131	6	26	78	0	0	26	0
V25	86	5	233	18	0	0	0	0	0	0	3
V26	89	127	1	0	35	0	0	0	0	39	0
V27	53	72	6	10	5	2	11	25	0	0	0
V28	0	37	177	126	49	0	0	129	0	38	0
V29	33	0	11	1	0	1	0	17	0	0	0
V30	90	193	51	40	0	0	51	10	26	45	0
V31	42	28	28	218	0	63	78	25	16	3	14
V32	1	185	133	69	78	12	37	6	0	0	0
V33	51	53	3	130	0	2	0	0	5	36	0
V34	37	16	4	27	41	0	0	9	0	25	0
V35	289	48	0	167	274	121	80	32	23	0	5
V36	0	0	2	0	75	4	0	0	0	21	10
V37	75	3	2	0	12	153	58	0	0	7	26
V38	17	14	223	4	32	73	376	47	0	0	0
V39	242	122	37	18	0	0	0	20	45	0	2
V40	25	0	2	9	134	0	17	114	0	0	0
V41	0	245	28	4	196	35	57	3	205	0	10
V42	28	0	20	105	3	0	0	0	0	27	8
V43	0	7	62	6	0	0	19	0	27	0	0
V44	0	140	132	25	95	0	4	35	13	9	0
V45	53	54	12	15	10	10	27	0	0	0	0
V46	0	58	8	0	39	0	0	0	5	10	0
V47	58	154	49	52	0	0	32	0	0	0	0
V48	12	3	0	0	32	8	0	20	0	8	21
V49	32	131	13	19	247	2	70	15	0	0	0
V50	55	23	5	0	22	0	0	0	0	9	0
V51	150	23	133	6	40	36	11	0	0	0	16
V52	9	52	132	31	8	69	1	0	0	0	0
V53	64	17	29	27	0	90	38	37	0	0	0
V54	0	83	5	0	8	47	0	0	0	19	2
V55	22	207	22	6	19	0	12	8	2	0	0
V56	0	0	3	8	191	0	0	41	21	10	4
V57	0	21	75	97	0	0	0	0	0	0	0
V58	72	0	0	43	29	40	39	10	0	50	37
V59	118	25	10	208	22	3	59	5	0	117	0
V60	37	238	40	0	182	8	20	27	1	25	0
V61	0	8	2	4	0	2	0	0	0	0	6
V62	202	72	12	0	20	0	0	0	12	7	63
V63	93	85	33	8	28	148	49	7	0	0	0
V64	24	3	26	1	0	1	0	0	0	0	0
V65	20	0	2	101	0	0	5	4	10	0	0
V66	250	44	339	144	0	0	0	31	0	62	0
V67	106	1	285	28	4	55	0	0	0	0	19
V68	0	67	83	123	64	0	12	49	0	11	0
V69	0	22	1	14	4	1	0	0	0	6	0
V70	371	1	233	59	23	19	0	32	0	0	0
V71	34	3	0	3	3	27	32	4	0	12	0
V72	68	2	156	0	13	0	0	0	0	1	4
V73	39	89	0	80	1	0	11	0	0	0	2
V74	15	133	8	1	2	107	2	1	0	0	40
V75	17	0	14	125	40	27	73	46	0	0	13
V76	0	9	0	8	16	18	0	0	12	21	1
V77	91	3	23	2	16	126	0	112	0	2	8
V78	14	9	1	132	12	0	8	15	0	13	20
V79	15	3	113	8	17	0	27	8	0	0	20
V80	1	48	0	4	7	0	0	9	0	0	0
V81	7	12	115	3	12	0	10	0	0	0	18
V82	102	25	0	54	170	1	0	18	0	0	0
V83	0	0	49	2	0	71	36	0	42	0	10
V84	38	27	0	43	28	0	0	34	13	0	35
V85	0	134	0	0	17	0	0	0	64	6	0
V86	2	3	0	195	14	93	0	6	0	0	11
V87	22	31	0	0	90	7	0	20	0	3	0
V88	1	34	26	33	33	0	2	0	88	0	18
V89	1	13	7	39	40	132	58	40	0	27	6
V90	123	27	47	0	82	0	0	120	19	2	0
V91	14	9	17	29	0	8	43	0	0	6	0
V92	0	0	22	3	53	44	85	0	0	36	0
V93	23	158	1	3	11	0	4	8	0	0	0
V94	141	0	5	5	20	105	143	0	0	32	57
V95	69	21	6	63	59	0	0	0	0	17	35
V96	82	0	0	0	62	61	49	0	18	30	0
V97	0	32	0	0	17	188	136	0	0	10	0
V98	17	0	40	11	1	44	54	0	0	0	4
V99	83	22	39	43	0	0	66	0	0	20	28
V100	39	195	129	44	0	85	49	0	0	12	0
