Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.68,0.62,NO,N/A,62.39%,73.46%,133.24%,60.42%,94.75,0.4594,1.2354,0.201,0.628,0.774,0.307
3,0.69,0.38,NO,N/A,48.11%,58.51%,129.87%,45.26%,91.18,0.372,1.1462,0.134,0.575,0.847,0.366
4,0.72,0.29,NO,N/A,38.77%,53.72%,96.82%,37.7%,79.36,0.2862,0.6914,0.093,0.347,0.894,0.585
5,0.91,0.78,NO,N/A,27.75%,31.65%,83.84%,24.07%,81.11,0.1814,0.6057,0.05,0.366,0.943,0.57
6*,1.0,1.0,YES,Most Stab Sigs,9.92%,18.92%,59.32%,12.02%,42.4,0.0968,0.4283,0.011,0.09,0.987,0.897
7,0.76,-0.64,NO,N/A,9.75%,19.16%,58.12%,12.07%,42.84,0.0965,0.4126,0.011,0.092,0.988,0.895
8,0.55,-0.79,NO,N/A,9.29%,19.1%,57.23%,11.51%,41.38,0.0982,0.4202,0.011,0.085,0.988,0.903
9,0.43,-0.86,NO,N/A,9.19%,18.46%,57.29%,11.05%,40.43,0.0963,0.4042,0.01,0.081,0.988,0.908
10,0.33,-0.81,NO,N/A,8.62%,18.54%,57.08%,10.86%,39.33,0.0967,0.3686,0.009,0.073,0.989,0.918
11,0.23,-0.82,NO,N/A,9.09%,18.24%,50.06%,10.95%,34.04,0.0991,0.3632,0.009,0.055,0.99,0.938
12,0.26,-0.73,NO,N/A,8.48%,17.85%,51.6%,10.4%,34.71,0.0962,0.3883,0.008,0.054,0.991,0.941
13,0.16,-0.61,NO,N/A,10.37%,19.4%,52.24%,11.48%,34.55,0.1043,0.3237,0.01,0.057,0.989,0.935
14,0.17,-0.77,NO,N/A,8.56%,17.19%,58.16%,9.88%,38.84,0.0965,0.3792,0.008,0.067,0.991,0.926
15,0.13,-0.8,NO,N/A,8.15%,17.79%,51.46%,9.61%,33.1,0.0957,0.3579,0.007,0.047,0.992,0.948
16,0.11,-0.86,NO,N/A,8.1%,17.07%,48.61%,9.99%,30.83,0.0942,0.3583,0.007,0.04,0.992,0.957
17,0.07,-0.69,NO,N/A,9.2%,17.9%,50.44%,10.36%,31.95,0.0997,0.3688,0.007,0.044,0.992,0.952
18,0.1,-0.69,NO,N/A,8.31%,16.82%,44.26%,9.91%,27.14,0.0925,0.3631,0.006,0.034,0.993,0.958
19,0.12,-0.8,NO,N/A,7.36%,15.82%,44.34%,8.85%,30.9,0.0887,0.3195,0.006,0.043,0.994,0.952
20,0.05,-0.83,NO,N/A,7.33%,16.58%,46.71%,8.86%,29.97,0.0916,0.3379,0.006,0.04,0.994,0.955
