Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	1.20E+01	1.67E+01	0.00E+00	2.00E-01	3.79E+00	2.67E-01	8.43E+00	1.44E+01	3.79E+00	9.74E+00	3.47E+00	1.04E+01	6.98E+00	3.00E+00
V2	1.97E+01	0.00E+00	9.68E-01	1.43E+00	1.81E+01	2.17E+00	2.31E+00	0.00E+00	1.87E+01	1.83E+00	2.29E+00	1.55E+01	1.98E+01	2.96E+00
V3	6.29E+00	1.03E+01	6.11E-01	3.07E+01	3.96E+00	3.52E+01	4.67E-01	1.18E+01	5.35E+00	1.10E+00	5.34E+00	7.50E+00	4.16E+00	1.13E+01
V4	9.72E+00	2.24E+00	1.08E+01	3.00E-01	7.73E+00	1.59E+00	4.94E-01	1.84E+00	5.50E+00	1.53E+01	3.04E+00	7.18E+00	8.76E+00	1.25E+01
V5	2.52E+01	3.82E+00	6.80E+00	6.03E+00	1.20E+01	6.27E+00	9.17E+00	5.33E+00	1.44E+01	8.03E+00	5.46E+00	2.41E+01	1.48E+01	6.25E+00
V6	5.91E+00	5.97E-01	1.25E+00	4.58E+00	2.13E-01	5.22E+00	0.00E+00	4.53E-01	1.27E+00	1.73E+00	1.09E+00	6.01E+00	1.08E+00	1.00E-01
V7	5.50E+00	1.83E+00	1.30E+01	1.53E+01	1.22E+00	1.20E+01	2.34E+00	1.54E+00	0.00E+00	1.76E+01	1.87E+00	8.64E+00	2.43E+00	6.27E+00
V8	5.47E-01	4.10E+00	2.24E-01	8.43E+00	1.27E+01	7.82E+00	0.00E+00	3.83E+00	8.14E+00	8.00E-01	5.77E+00	5.00E-01	3.06E+00	1.52E+00
V9	8.12E+00	1.35E+00	1.75E+00	0.00E+00	3.00E-01	5.26E-01	5.79E+00	1.89E+00	3.00E-01	5.86E+00	1.18E+00	9.57E+00	1.49E+00	1.30E+00
V10	7.08E+00	5.20E+00	3.50E+00	9.63E+00	3.53E+00	1.25E+01	1.78E+00	4.62E+00	3.72E+00	3.83E+00	1.54E+00	8.88E+00	3.45E+00	4.17E+00
V11	1.34E+01	7.74E+00	7.37E-01	2.49E+01	0.00E+00	2.50E+01	4.42E-01	7.18E+00	3.25E+00	1.10E+00	2.74E+00	2.16E+01	9.37E+00	1.91E+01
V12	1.64E+00	2.64E+01	1.47E+00	0.00E+00	9.25E+00	1.00E+00	3.79E-01	2.51E+01	1.02E+01	1.00E+00	4.17E+00	1.63E+00	2.65E+00	8.88E+00
V13	1.19E+01	4.34E+00	2.41E+00	4.82E+00	1.29E+00	4.90E+00	2.61E+00	4.32E+00	2.52E+00	3.24E+00	1.92E+00	1.16E+01	1.03E+01	2.84E+00
V14	3.47E+00	3.97E+00	2.09E+00	1.15E+00	1.38E+00	4.07E+00	4.27E+00	4.50E+00	1.24E+00	3.02E+00	1.20E+00	2.85E+00	4.79E+00	2.28E+00
