NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	49.859	24.648	11.804	14.767	0.143	0.984	30000.0
2	46.5	23.312	10.845	13.51	0.137	0.988	40000.0
3	47.556	23.635	11.195	13.96	0.137	0.986	50000.0
4	49.074	24.603	11.749	14.8	0.139	0.985	30000.0
5	47.203	23.246	11.105	13.783	0.131	0.986	30000.0
6	47.596	23.889	11.263	14.127	0.138	0.986	60000.0
7	49.776	25.237	11.737	14.909	0.144	0.984	40000.0
8	47.309	23.332	11.122	13.774	0.134	0.987	30000.0
9	47.852	23.98	11.173	14.097	0.138	0.986	40000.0
10	46.056	23.516	10.884	13.69	0.135	0.987	40000.0
