MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
4:Ins:R:1	5.26E-05	1.89E-04	1.37E-04	1.84E-04	6.41E-05	2.26E-04
4:Ins:R:2	4.89E-08	9.91E-05	4.82E-05	4.57E-08	8.16E-08	9.11E-08
4:Ins:R:3	5.10E-08	4.92E-05	3.65E-08	4.64E-08	8.10E-08	2.03E-07
4:Ins:R:4	5.57E-09	8.70E-05	1.15E-04	0.00E+00	8.61E-05	2.15E-07
4:Ins:R:5	1.29E-04	2.27E-04	4.40E-04	1.80E-04	2.56E-04	5.85E-04
5:Ins:R:0	5.86E-05	1.07E-08	3.49E-08	3.09E-08	1.01E-07	1.36E-07
5:Ins:R:1	1.74E-04	2.44E-04	2.49E-04	8.94E-04	5.93E-04	6.85E-04
5:Ins:R:2	2.31E-04	1.55E-04	5.63E-05	2.70E-05	1.37E-07	2.12E-14
5:Ins:R:3	3.67E-09	2.89E-09	6.40E-09	6.50E-09	1.29E-08	1.13E-08
5:Ins:R:4	1.94E-05	1.01E-04	3.17E-05	3.48E-08	3.60E-05	1.11E-04
5:Ins:R:5	3.67E-09	2.89E-09	6.40E-09	6.50E-09	1.29E-08	1.13E-08
2:Del:M:1	1.40E-46	1.36E-04	1.39E-08	2.86E-04	7.03E-04	3.03E-04
3:Del:M:1	5.13E-05	1.23E-04	1.88E-04	7.33E-04	1.65E-04	7.12E-04
3:Del:M:2	0.00E+00	2.49E-04	4.43E-04	3.91E-04	4.72E-04	1.94E-04
4:Del:M:1	1.22E-03	1.60E-04	1.50E-04	5.55E-04	1.61E-04	1.30E-03
4:Del:M:2	1.09E-04	1.12E-04	2.06E-04	1.88E-04	3.29E-04	4.19E-04
4:Del:M:3	4.94E-05	1.31E-04	1.68E-04	0.00E+00	1.35E-04	3.31E-04
5:Del:M:1	8.65E-07	2.62E-09	8.41E-08	3.10E-03	1.07E-03	2.30E-07
5:Del:M:2	5.00E-04	4.29E-09	3.80E-04	1.74E-03	9.81E-04	2.68E-04
5:Del:M:3	1.85E-09	4.74E-04	1.63E-05	1.98E-03	7.00E-04	1.21E-07
5:Del:M:4	1.59E-07	6.20E-08	6.18E-05	6.41E-04	3.33E-07	6.06E-04
5:Del:M:5	1.09E-04	3.78E-04	4.61E-04	8.12E-04	3.46E-04	2.00E-05
