MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
3:Del:R:3	1.26E-04	1.87E-08	1.76E-08	2.82E-04	6.38E-05	9.11E-08	9.54E-09	2.10E-07	7.80E-04	3.84E-04	1.43E-07	2.37E-06
3:Del:R:4	9.45E-09	1.28E-08	1.15E-08	3.84E-08	2.24E-08	3.39E-08	3.49E-08	8.59E-08	7.10E-08	4.79E-08	4.27E-08	5.44E-08
3:Del:R:5	9.45E-09	1.28E-08	1.15E-08	3.84E-08	2.24E-08	3.39E-08	3.49E-08	8.59E-08	7.10E-08	4.79E-08	4.27E-08	5.44E-08
4:Del:R:0	0.00E+00	1.63E-04	0.00E+00	1.04E-03	4.99E-04	3.90E-04	6.55E-04	9.91E-04	4.03E-03	2.53E-04	4.68E-08	5.84E-04
4:Del:R:1	2.65E-04	1.27E-04	4.10E-04	1.74E-04	0.00E+00	6.74E-04	4.89E-04	7.62E-03	4.18E-03	1.47E-03	1.51E-03	2.61E-03
4:Del:R:2	1.14E-04	1.40E-46	2.28E-05	2.77E-04	5.42E-09	1.12E-04	6.99E-04	1.55E-03	5.65E-04	1.02E-03	0.00E+00	5.61E-46
4:Del:R:3	2.78E-08	3.28E-08	3.97E-08	4.37E-08	9.23E-05	2.79E-08	1.63E-04	1.10E-04	1.02E-07	4.47E-08	1.11E-07	5.49E-08
4:Del:R:4	9.45E-09	1.28E-08	1.15E-08	3.84E-08	2.24E-08	3.39E-08	3.49E-08	8.59E-08	7.10E-08	4.79E-08	4.27E-08	5.44E-08
4:Del:R:5	1.35E-08	0.00E+00	1.79E-04	1.07E-08	6.70E-05	2.70E-08	0.00E+00	6.76E-05	1.03E-04	4.13E-05	9.24E-05	0.00E+00
5:Del:R:0	5.15E-04	2.49E-05	0.00E+00	4.06E-02	3.45E-03	3.02E-04	2.94E-03	4.14E-07	1.66E-02	2.91E-02	7.01E-07	3.42E-03
5:Del:R:1	2.92E-04	3.88E-05	0.00E+00	0.00E+00	0.00E+00	1.88E-05	8.07E-04	1.49E-04	0.00E+00	1.71E-03	1.89E-04	2.18E-03
5:Del:R:2	2.95E-08	1.85E-04	6.60E-05	5.40E-04	4.39E-08	3.97E-05	1.75E-04	4.28E-04	2.99E-04	3.98E-04	0.00E+00	4.77E-04
5:Del:R:3	9.45E-09	1.28E-08	1.15E-08	3.84E-08	2.24E-08	3.39E-08	3.49E-08	8.59E-08	7.10E-08	4.79E-08	4.27E-08	5.44E-08
5:Del:R:4	9.45E-09	1.28E-08	1.15E-08	3.84E-08	2.24E-08	3.39E-08	3.49E-08	8.59E-08	7.10E-08	4.79E-08	4.27E-08	5.44E-08
5:Del:R:5	9.45E-09	1.28E-08	1.15E-08	3.84E-08	2.24E-08	3.39E-08	3.49E-08	8.59E-08	7.10E-08	4.79E-08	4.27E-08	5.44E-08
2:Ins:R:0	3.80E-09	1.54E-04	8.74E-05	2.53E-04	5.46E-05	6.91E-05	1.51E-04	2.88E-05	1.21E-03	0.00E+00	4.22E-04	3.82E-04
2:Ins:R:1	5.06E-05	0.00E+00	0.00E+00	5.30E-04	1.07E-08	0.00E+00	5.97E-04	8.53E-04	2.39E-04	4.72E-04	4.28E-04	0.00E+00
2:Ins:R:2	1.87E-04	2.58E-08	1.10E-08	5.03E-05	4.26E-08	0.00E+00	1.94E-08	3.00E-04	0.00E+00	2.79E-04	1.73E-08	3.88E-04
2:Ins:R:3	1.73E-05	4.78E-09	2.53E-08	0.00E+00	3.25E-05	4.03E-05	1.75E-04	6.27E-04	7.47E-04	1.53E-07	2.36E-04	5.16E-04
2:Ins:R:4	3.92E-04	0.00E+00	0.00E+00	5.40E-05	7.72E-04	2.84E-05	1.79E-09	7.25E-09	1.49E-03	2.28E-03	7.05E-04	0.00E+00
2:Ins:R:5	1.87E-03	7.98E-08	0.00E+00	2.62E-05	2.27E-03	2.52E-04	5.71E-04	1.86E-03	6.40E-03	1.06E-02	3.75E-03	0.00E+00
3:Ins:R:0	3.33E-08	2.33E-08	9.01E-08	1.05E-06	4.86E-08	1.88E-05	1.46E-04	1.76E-04	2.48E-04	3.46E-04	7.20E-08	0.00E+00
3:Ins:R:1	1.83E-04	5.97E-09	0.00E+00	8.17E-04	1.69E-04	5.00E-05	7.43E-04	4.42E-04	7.13E-04	0.00E+00	7.69E-10	7.91E-04
3:Ins:R:2	2.24E-08	3.02E-08	4.64E-08	6.46E-08	5.06E-08	5.12E-05	2.73E-04	1.06E-04	6.43E-04	9.76E-08	1.02E-07	1.12E-07
3:Ins:R:3	2.47E-08	6.69E-08	4.49E-08	2.38E-07	3.91E-08	3.51E-08	4.54E-05	6.87E-05	4.11E-04	4.73E-08	1.19E-07	1.19E-04
3:Ins:R:4	3.00E-05	2.06E-08	5.37E-05	2.19E-05	6.38E-08	2.15E-08	3.18E-08	5.74E-08	8.58E-05	3.57E-04	6.43E-08	0.00E+00
3:Ins:R:5	3.34E-04	8.04E-09	2.08E-10	0.00E+00	3.28E-08	9.45E-05	1.19E-04	7.23E-05	5.30E-04	7.80E-04	1.54E-04	2.76E-04
4:Ins:R:0	5.59E-09	1.30E-08	1.67E-08	2.17E-04	1.89E-08	2.68E-05	7.29E-09	1.35E-07	1.48E-04	2.69E-04	2.12E-04	0.00E+00
4:Ins:R:1	3.71E-04	0.00E+00	0.00E+00	2.30E-04	4.79E-04	5.51E-04	0.00E+00	1.04E-04	1.42E-03	9.13E-04	1.48E-03	1.45E-07
4:Ins:R:2	2.86E-08	3.35E-08	3.88E-08	2.72E-08	6.07E-05	5.28E-08	4.55E-08	5.39E-08	1.08E-04	1.84E-04	1.06E-07	5.58E-08
4:Ins:R:3	2.79E-08	1.03E-07	2.93E-08	1.05E-07	2.97E-08	6.69E-05	4.46E-05	3.68E-05	3.14E-04	2.61E-04	1.93E-04	9.03E-05
4:Ins:R:4	7.29E-05	1.56E-08	6.79E-09	6.08E-05	1.98E-08	1.01E-08	8.83E-05	1.32E-04	3.29E-05	1.18E-04	1.56E-04	1.12E-04
