De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID1 (100.00%), 5.36,  0.92, 0.048, 1.00, 1.00
Signature 83-B, Signature ID2 (100.00%), 9.53,  1.89, 0.105, 1.00, 1.00
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature ID8 (100.00%), 44.23,  43.81, 0.160, 0.90, 0.89
Signature 83-E, Signature ID9 (100.00%), 17.85,  13.40, 0.203, 0.99, 0.99
Signature 83-F, Signature 83-F, 0, 0, 0, 1, 1
Signature 83-G, Signature 83-G, 0, 0, 0, 1, 1
