NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	78.263	24.462	21.281	16.721	0.136	0.981	140000.0
2	91.533	27.801	27.415	19.56	0.14	0.974	50000.0
3	75.391	23.484	20.434	16.105	0.133	0.982	50000.0
4	78.749	24.496	21.703	17.192	0.134	0.979	50000.0
5	77.357	24.397	21.55	17.176	0.136	0.98	70000.0
6	71.805	22.614	19.173	15.309	0.137	0.984	20000.0
7	77.485	24.28	21.018	16.558	0.136	0.98	40000.0
8	72.914	22.521	19.035	15.015	0.132	0.984	30000.0
9	94.495	28.733	28.435	20.206	0.143	0.974	30000.0
10	75.564	23.497	20.509	15.926	0.128	0.982	30000.0
