Samples	ID83A	ID83B	ID83C
V1	5.91E+00	1.87E+01	1.67E+01
V2	1.52E+01	1.43E+01	8.91E+00
V3	2.44E+01	1.49E+01	2.37E+01
V4	2.25E+00	1.78E+00	1.54E+00
V5	7.39E+00	3.62E+00	5.65E+00
V6	2.16E+01	1.27E+01	2.47E+01
V7	2.35E+01	1.77E+01	1.22E+01
V8	8.31E+01	8.33E+01	5.04E+01
V9	1.67E+01	5.23E+00	1.64E+01
V10	6.67E+00	8.47E+00	5.93E+00
V11	2.66E+00	2.41E+00	3.19E+00
V12	4.41E+00	3.49E+00	2.59E+00
V13	1.60E+01	1.13E+01	1.39E+01
V14	1.78E+01	3.24E+01	2.49E+01
V15	2.05E+01	1.64E+01	1.02E+01
V16	3.67E+00	3.97E+00	1.19E+00
V17	2.03E+01	6.59E+00	1.99E+01
V18	1.66E+01	9.95E+00	1.36E+01
V19	1.70E+01	1.41E+01	6.96E+00
V20	1.90E+01	4.03E+00	2.16E+01
V21	7.17E+00	4.80E+00	4.15E+00
V22	2.29E+01	1.56E+01	1.94E+01
V23	1.03E+01	1.17E+01	6.42E+00
V24	1.17E+01	7.20E+00	1.30E+01
V25	5.37E+00	2.15E+00	4.85E+00
V26	4.18E+01	3.50E+01	1.81E+01
V27	8.23E+00	6.40E+00	4.27E+00
V28	2.16E+01	2.12E+01	9.00E+00
V29	5.66E+00	5.60E+00	3.28E+00
V30	6.40E-01	0.00E+00	6.40E-01
V31	1.55E+01	1.52E+01	1.51E+01
V32	2.14E+01	2.06E+01	5.38E+00
V33	8.44E+00	5.76E+00	4.78E+00
V34	9.60E+00	2.37E+00	8.86E+00
V35	1.87E+01	1.22E+01	2.22E+01
V36	3.32E+00	8.75E-01	2.98E+00
V37	5.18E+00	6.05E+00	3.96E+00
V38	3.90E+00	1.37E+01	1.39E+01
V39	9.66E+00	9.10E+00	1.02E+01
V40	8.43E-01	6.55E+00	7.00E+00
V41	6.69E+01	6.74E+01	1.16E+01
V42	1.34E+01	1.25E+01	1.31E+01
V43	1.31E+01	1.50E+01	1.08E+01
V44	4.83E+00	1.29E+01	1.08E+01
V45	4.01E+01	3.04E+01	3.58E+01
V46	5.92E+01	5.68E+01	3.10E+01
V47	1.48E+01	1.20E+01	1.21E+01
V48	7.23E+00	9.84E+00	1.23E+01
V49	2.39E+01	1.50E+01	2.62E+01
V50	4.16E+01	3.69E+01	3.13E+01
V51	1.46E+01	1.48E+01	8.35E+00
V52	2.76E+01	2.60E+01	4.20E+00
V53	5.22E+01	5.04E+01	6.10E+00
V54	9.55E-01	1.08E+00	7.61E-01
V55	3.96E+00	3.56E+00	3.17E+00
V56	4.58E+00	5.74E+00	3.95E+00
V57	1.23E+01	4.02E+01	3.61E+01
V58	4.99E+00	8.50E+00	5.56E+00
V59	1.21E+01	1.58E+01	1.56E+01
V60	6.61E+00	7.82E+00	1.01E+01
V61	9.23E+00	3.31E+00	7.98E+00
V62	3.68E+01	4.05E+01	2.28E+01
V63	1.26E+01	1.02E+01	9.10E+00
V64	7.98E+00	8.40E+00	6.10E+00
V65	8.75E+00	7.15E+00	5.09E+00
V66	4.49E+01	3.17E+01	3.09E+01
V67	9.19E+00	8.50E+00	2.91E+00
V68	1.59E+01	1.40E+01	1.34E+01
V69	1.38E+01	1.50E+01	1.42E+01
V70	4.51E+00	4.31E+00	2.79E+00
V71	1.03E+01	6.40E+00	8.75E+00
V72	6.82E+00	5.96E+00	4.08E+00
V73	6.45E+00	1.17E+01	1.35E+01
V74	3.67E+01	2.56E+01	3.02E+01
V75	7.01E+01	6.96E+01	9.28E+00
V76	1.80E+01	1.92E+01	1.11E+01
V77	8.07E+01	7.86E+01	4.75E+01
V78	4.66E+01	4.56E+01	2.75E+01
V79	2.70E+01	4.12E+01	3.41E+01
V80	1.21E+01	1.24E+01	1.45E+01
V81	3.55E+00	3.52E+00	2.30E+00
V82	9.10E+00	9.07E+00	5.18E+00
V83	9.23E+00	1.16E+01	1.11E+01
V84	6.64E+00	5.97E+00	2.53E+00
V85	1.88E+01	1.83E+01	1.10E+01
V86	7.02E+00	6.19E+00	8.15E+00
V87	5.93E+00	4.74E+00	4.36E+00
V88	2.71E+00	5.38E+00	5.95E+00
V89	1.07E+00	2.00E+01	1.94E+01
V90	2.32E+00	1.90E+00	2.07E+00
V91	1.51E+01	1.82E+01	1.28E+01
V92	1.03E+01	3.37E+01	3.18E+01
V93	3.14E+00	2.29E+00	2.22E+00
V94	2.62E+01	2.50E+01	5.27E+00
V95	1.04E+01	9.61E+00	1.80E+00
V96	1.47E+01	1.37E+01	1.29E+01
V97	5.30E+00	5.09E+01	5.20E+01
V98	4.75E+01	4.13E+01	2.73E+01
V99	1.22E+01	1.36E+01	8.18E+00
V100	4.53E+01	2.88E+01	4.26E+01
