NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	107.157	38.115	31.286	27.209	0.23	0.947	20000.0
2	106.752	37.922	30.871	26.847	0.226	0.948	20000.0
3	110.369	39.84	33.293	29.056	0.229	0.945	30000.0
4	105.498	37.625	30.919	27.341	0.223	0.944	50000.0
5	109.469	38.476	31.782	27.098	0.226	0.951	30000.0
6	103.437	36.525	30.458	26.011	0.215	0.951	30000.0
7	104.618	37.529	30.111	26.283	0.227	0.95	30000.0
8	116.666	41.551	37.453	31.225	0.246	0.928	20000.0
9	111.246	39.802	33.612	28.777	0.231	0.949	40000.0
10	106.637	38.222	30.854	27.081	0.228	0.945	40000.0
