Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.65,0.56,NO,N/A,63.15%,78.76%,123.75%,60.6%,106.21,0.5221,1.0204,0.221,0.624,0.758,0.291
3,0.64,0.45,NO,N/A,53.34%,64.43%,129.27%,52.12%,85.85,0.409,1.1108,0.156,0.437,0.83,0.526
4,0.77,0.52,NO,N/A,32.64%,48.05%,101.19%,34.28%,89.89,0.2818,0.666,0.08,0.445,0.911,0.493
5,0.92,0.75,NO,N/A,21.87%,32.99%,73.68%,23.33%,67.17,0.1794,0.4715,0.044,0.255,0.951,0.726
6*,1.0,1.0,YES,Most Stab Sigs,16.96%,26.37%,67.75%,18.11%,66.39,0.1271,0.4306,0.024,0.249,0.974,0.732
7,0.79,-0.32,NO,N/A,14.75%,24.03%,65.29%,15.72%,51.94,0.1324,0.3513,0.02,0.14,0.978,0.851
8,0.65,-0.44,NO,N/A,14.74%,23.99%,53.87%,16.03%,55.12,0.1319,0.3107,0.02,0.165,0.978,0.821
9,0.6,-0.63,NO,N/A,12.74%,22.35%,60.04%,13.75%,50.24,0.1283,0.3161,0.015,0.123,0.983,0.87
10,0.56,-0.52,NO,N/A,11.2%,19.89%,46.36%,11.93%,45.76,0.1206,0.2887,0.012,0.111,0.987,0.88
11,0.61,-0.4,NO,N/A,10.25%,19.48%,41.85%,11.11%,41.63,0.1144,0.2843,0.009,0.089,0.99,0.904
12,0.52,-0.48,NO,N/A,9.7%,19.01%,43.75%,10.62%,42.98,0.1111,0.2857,0.009,0.097,0.99,0.895
13,0.52,-0.47,NO,N/A,8.54%,16.99%,45.65%,8.93%,38.03,0.1042,0.2872,0.007,0.069,0.992,0.926
14,0.49,-0.54,NO,N/A,8.11%,16.71%,54.91%,8.45%,33.03,0.1075,0.312,0.005,0.041,0.994,0.958
15,0.53,-0.43,NO,N/A,6.63%,15.56%,37.35%,8.14%,24.1,0.0976,0.2364,0.004,0.023,0.996,0.975
16,0.44,-0.82,NO,N/A,7.57%,14.47%,36.03%,7.63%,39.21,0.0917,0.2235,0.006,0.079,0.994,0.915
17,0.48,-0.65,NO,N/A,5.53%,13.38%,28.64%,5.96%,20.54,0.0876,0.1863,0.003,0.021,0.997,0.976
18,0.44,-0.64,NO,N/A,6.82%,14.22%,36.62%,6.93%,34.62,0.094,0.2648,0.005,0.057,0.994,0.939
19,0.45,-0.75,NO,N/A,5.16%,12.79%,29.55%,6.17%,17.37,0.0844,0.1928,0.002,0.01,0.997,0.989
20,0.46,-0.75,NO,N/A,5.25%,12.02%,30.62%,5.67%,23.86,0.0832,0.2316,0.003,0.025,0.997,0.974
