Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	59	5	17	0	13	0	80	28	0	8	5	34	1	0	0	0	0	7	3	1
V2	21	7	8	0	0	8	3	2	4	1	0	5	2	0	1	0	0	2	0	4
V3	5	13	52	11	5	1	0	0	6	15	11	7	5	3	5	6	0	0	0	3
V4	3	9	0	83	50	12	11	69	97	0	8	0	10	21	0	10	0	0	3	0
V5	145	43	0	72	39	9	3	0	11	2	55	0	28	9	0	15	6	21	0	14
V6	62	0	23	0	4	0	0	8	0	7	8	11	1	4	50	7	0	0	7	3
V7	51	28	336	41	6	5	19	23	0	54	7	41	0	2	17	0	0	3	12	5
V8	26	44	111	19	5	0	20	12	19	15	6	30	3	1	0	0	26	4	0	0
V9	181	25	11	23	68	8	33	28	0	5	19	15	1	48	46	4	34	0	0	8
V10	11	19	20	16	10	5	13	5	35	6	5	23	8	0	0	9	18	0	7	9
V11	45	0	52	0	0	1	1	9	0	26	8	14	1	0	18	1	0	0	0	2
V12	7	77	23	20	0	19	13	0	88	7	0	29	12	0	16	0	1	0	0	0
V13	6	9	1	5	3	39	57	3	24	2	4	4	20	2	0	2	0	0	26	0
V14	21	0	2	263	28	0	15	5	24	0	4	7	35	2	0	19	0	19	5	0
V15	92	1	28	0	2	1	0	0	0	11	3	0	1	5	23	4	0	0	0	8
V16	204	0	0	9	19	1	0	0	7	1	9	0	0	15	0	22	0	0	0	11
V17	5	0	60	0	27	0	0	0	0	25	28	0	0	12	0	0	0	0	1	0
V18	0	11	63	0	78	4	2	7	0	34	9	3	0	13	0	0	10	0	0	0
V19	11	6	58	0	21	3	18	16	0	4	8	18	0	14	0	0	0	6	6	0
V20	12	12	28	123	33	139	3	0	13	7	11	0	8	40	0	5	2	0	0	2
V21	8	163	12	10	0	27	4	7	0	1	1	6	33	0	50	29	15	0	0	0
