MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
2:Del:R:1	1.42E-03	2.93E-04	6.30E-04	3.04E-05	2.60E-03	1.85E-03	1.22E-02	5.80E-03	2.03E-03	6.44E-03	3.88E-03	7.28E-04	3.77E-03	4.20E-03	4.51E-03	9.95E-04
2:Del:R:2	0.00E+00	1.87E-04	3.91E-04	4.61E-05	0.00E+00	2.68E-03	6.76E-04	3.11E-04	1.99E-04	5.10E-03	6.15E-04	3.68E-04	1.40E-46	2.00E-03	3.51E-04	3.26E-04
2:Del:R:3	1.05E-07	2.53E-05	2.66E-05	6.97E-08	1.51E-06	6.32E-04	6.37E-04	2.07E-04	5.10E-08	3.79E-04	8.87E-08	7.67E-08	5.66E-07	1.79E-03	4.67E-04	3.01E-03
2:Del:R:4	3.35E-08	8.03E-05	6.29E-05	3.52E-08	4.09E-07	3.26E-04	5.16E-04	8.95E-08	1.77E-04	5.26E-04	1.29E-07	3.62E-04	5.53E-08	3.55E-04	6.58E-05	1.24E-03
2:Del:R:5	4.93E-08	6.82E-08	1.50E-07	5.65E-08	1.87E-06	9.47E-08	5.19E-08	5.80E-05	3.25E-04	1.23E-07	2.25E-04	1.12E-07	6.88E-04	7.52E-05	8.19E-04	1.81E-04
3:Del:R:0	7.99E-06	3.21E-07	1.55E-04	0.00E+00	6.89E-03	2.50E-03	3.32E-04	6.25E-03	1.14E-03	3.82E-03	1.20E-02	1.69E-03	3.63E-07	8.88E-04	1.99E-02	4.04E-03
3:Del:R:1	0.00E+00	1.06E-03	7.30E-04	3.64E-08	6.64E-03	8.55E-03	2.51E-03	1.47E-03	1.40E-46	5.93E-04	5.94E-03	6.91E-03	3.91E-04	4.87E-03	7.82E-03	1.04E-03
3:Del:R:2	0.00E+00	7.39E-08	2.91E-04	1.77E-04	1.27E-04	2.34E-03	1.01E-03	2.19E-04	1.04E-04	6.36E-04	3.37E-03	3.40E-03	2.49E-04	2.72E-03	1.11E-03	4.68E-08
3:Del:R:3	6.99E-08	4.34E-08	1.64E-07	1.06E-07	1.11E-07	2.71E-04	3.08E-04	2.56E-06	2.14E-04	7.55E-04	1.56E-04	9.13E-08	1.33E-07	2.43E-04	5.36E-07	1.77E-08
3:Del:R:4	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
3:Del:R:5	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
4:Del:R:0	1.05E-03	9.01E-09	3.12E-08	9.14E-05	1.32E-04	2.39E-04	4.11E-03	2.49E-03	2.77E-03	4.79E-04	3.90E-03	5.49E-04	1.63E-03	1.35E-02	1.47E-07	5.99E-04
4:Del:R:1	0.00E+00	1.04E-04	5.06E-04	2.91E-07	1.97E-04	8.21E-04	2.60E-03	2.76E-04	6.20E-04	5.78E-03	8.30E-04	6.46E-03	9.68E-08	0.00E+00	7.05E-04	8.70E-04
4:Del:R:2	5.05E-08	8.14E-08	1.24E-04	2.41E-08	2.59E-04	1.78E-04	1.65E-04	3.42E-04	1.53E-07	1.39E-03	1.39E-03	3.38E-04	1.19E-04	3.93E-04	1.08E-03	2.77E-07
4:Del:R:3	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
4:Del:R:4	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
4:Del:R:5	1.74E-07	5.27E-07	3.87E-08	7.41E-04	2.06E-04	9.40E-08	2.38E-07	9.86E-07	1.94E-07	8.64E-08	1.86E-04	7.99E-07	2.14E-04	1.65E-07	1.24E-03	3.41E-07
5:Del:R:0	3.25E-07	1.90E-08	1.96E-06	8.76E-07	1.84E-02	1.53E-03	1.91E-02	1.80E-02	1.35E-02	1.87E-03	3.70E-02	3.48E-03	4.64E-02	3.13E-02	3.03E-03	2.95E-03
5:Del:R:1	0.00E+00	1.71E-08	2.97E-04	8.47E-04	7.89E-05	1.37E-03	6.00E-04	1.32E-03	2.18E-04	9.50E-05	3.31E-04	2.75E-04	1.69E-04	9.30E-05	6.24E-03	1.44E-03
5:Del:R:2	2.23E-08	2.86E-04	1.00E-04	1.42E-07	1.59E-03	1.98E-07	2.43E-07	3.60E-07	7.10E-08	1.01E-03	1.04E-03	1.63E-07	1.72E-04	1.25E-03	9.83E-04	8.34E-08
5:Del:R:3	6.72E-08	4.06E-07	4.68E-08	4.81E-08	7.72E-08	1.08E-07	1.59E-07	3.33E-08	5.66E-08	5.46E-05	1.64E-07	1.21E-07	1.78E-07	1.67E-07	6.52E-05	2.70E-04
5:Del:R:4	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
5:Del:R:5	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
2:Ins:R:0	4.76E-04	2.44E-05	1.39E-04	1.01E-04	2.42E-03	1.32E-03	1.07E-03	1.90E-03	6.47E-04	2.15E-04	2.97E-03	1.23E-03	8.44E-04	1.88E-03	1.47E-03	1.25E-03
2:Ins:R:1	2.15E-02	6.11E-07	6.31E-08	2.47E-08	7.21E-08	1.17E-06	2.13E-07	3.77E-46	1.12E-08	5.31E-07	4.40E-03	1.13E-01	6.14E-02	1.30E-07	4.11E-03	1.51E-03
2:Ins:R:2	4.77E-08	5.36E-05	2.94E-08	2.92E-08	1.78E-03	4.17E-04	1.18E-04	7.72E-07	7.13E-05	1.72E-07	2.75E-03	2.10E-04	1.04E-03	6.26E-07	6.24E-04	1.01E-03
2:Ins:R:3	7.70E-08	8.35E-05	2.83E-06	8.89E-08	1.04E-03	1.24E-07	2.60E-04	1.82E-04	8.56E-08	2.30E-03	1.01E-03	3.13E-07	1.00E-04	1.59E-04	9.40E-04	5.26E-04
2:Ins:R:4	1.60E-03	2.65E-07	3.93E-04	0.00E+00	2.91E-08	2.04E-03	2.79E-04	4.00E-04	1.37E-04	1.40E-46	6.23E-08	5.10E-04	3.75E-08	3.30E-03	6.36E-07	2.65E-03
2:Ins:R:5	4.71E-05	3.60E-03	3.19E-03	4.10E-04	2.11E-03	2.62E-04	0.00E+00	1.24E-03	5.58E-04	3.25E-06	1.50E-03	1.72E-02	5.74E-04	1.37E-02	2.23E-02	1.11E-02
3:Ins:R:0	1.61E-07	1.25E-07	1.17E-07	3.74E-08	1.01E-03	3.35E-07	3.25E-04	2.77E-04	1.69E-07	2.39E-04	9.70E-04	5.02E-04	1.15E-03	1.03E-03	2.04E-03	1.56E-04
3:Ins:R:1	0.00E+00	2.29E-04	1.49E-07	4.41E-04	1.07E-03	2.37E-04	1.08E-04	1.17E-04	5.96E-04	2.54E-04	2.22E-04	1.25E-03	6.33E-04	7.88E-04	1.24E-03	7.11E-04
3:Ins:R:2	3.37E-08	5.57E-05	4.49E-08	2.89E-08	8.10E-08	4.31E-04	5.35E-04	5.08E-05	3.79E-07	2.23E-03	1.71E-07	7.53E-04	2.12E-04	1.83E-07	8.09E-04	8.74E-04
3:Ins:R:3	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
3:Ins:R:4	5.55E-05	4.77E-08	4.27E-08	6.44E-08	1.01E-07	1.04E-07	1.87E-06	5.06E-05	1.23E-04	1.03E-07	4.93E-04	1.30E-07	5.43E-04	1.74E-07	9.88E-08	1.26E-07
3:Ins:R:5	1.19E-04	4.46E-04	2.22E-04	3.44E-04	1.34E-04	0.00E+00	1.31E-04	4.49E-08	0.00E+00	1.64E-03	4.78E-09	3.60E-08	8.28E-04	1.57E-03	2.67E-03	5.32E-03
4:Ins:R:0	3.55E-07	7.97E-08	9.64E-08	6.87E-02	3.94E-02	7.72E-07	3.99E-07	1.95E-07	2.29E-05	1.37E-03	4.53E-03	7.42E-02	6.88E-03	1.55E-07	4.06E-02	3.52E-08
4:Ins:R:1	3.48E-04	1.06E-04	2.17E-04	4.78E-04	5.04E-08	1.17E-03	1.52E-04	8.50E-04	2.28E-08	3.72E-03	5.04E-03	2.47E-07	6.78E-04	8.09E-04	2.41E-03	1.97E-03
4:Ins:R:2	4.54E-08	1.24E-04	1.22E-04	9.70E-09	5.42E-06	2.96E-07	7.82E-04	4.79E-05	6.52E-08	6.44E-05	1.22E-04	7.23E-08	1.15E-07	3.49E-07	2.27E-04	1.20E-03
4:Ins:R:3	1.65E-07	3.21E-05	7.37E-08	3.30E-08	1.01E-07	5.12E-04	2.81E-07	5.02E-08	6.88E-08	1.91E-04	2.96E-07	1.78E-04	1.54E-07	2.12E-07	1.92E-07	5.77E-08
4:Ins:R:4	3.15E-05	1.39E-04	2.41E-08	7.48E-05	1.67E-04	9.38E-04	0.00E+00	0.00E+00	1.83E-08	0.00E+00	8.01E-04	3.39E-04	1.13E-04	0.00E+00	9.27E-06	8.78E-04
4:Ins:R:5	3.71E-05	2.99E-04	5.40E-04	2.46E-08	4.85E-03	3.22E-03	1.03E-03	2.28E-04	2.93E-04	3.23E-04	8.37E-08	1.66E-03	2.44E-04	2.54E-03	2.23E-03	9.11E-04
5:Ins:R:0	7.25E-08	1.28E-07	5.68E-08	6.75E-08	1.84E-07	1.09E-07	8.14E-08	1.17E-07	2.21E-04	4.77E-07	1.65E-07	1.32E-07	3.67E-07	6.96E-08	2.01E-04	1.22E-07
5:Ins:R:1	2.22E-02	3.70E-04	5.56E-08	3.84E-07	3.97E-08	9.40E-03	2.85E-07	3.33E-03	2.04E-03	1.03E-03	4.92E-03	7.90E-03	1.03E-01	7.01E-08	4.54E-04	1.36E-02
5:Ins:R:2	3.70E-08	1.22E-05	1.20E-07	1.72E-03	2.56E-03	9.79E-08	6.83E-09	4.37E-04	3.20E-08	1.70E-03	2.20E-03	0.00E+00	1.07E-03	3.82E-05	1.79E-03	0.00E+00
5:Ins:R:3	3.72E-08	1.63E-04	1.13E-08	1.62E-07	8.90E-04	7.69E-04	7.82E-09	1.08E-04	6.22E-08	3.33E-07	4.87E-07	1.48E-04	1.93E-04	4.40E-04	6.48E-04	4.35E-04
5:Ins:R:4	4.03E-08	8.71E-05	4.69E-08	9.28E-05	7.67E-08	2.93E-08	3.44E-08	2.89E-08	7.50E-08	8.62E-04	7.93E-08	2.02E-04	1.40E-07	2.01E-07	1.70E-04	5.88E-08
5:Ins:R:5	6.10E-08	1.67E-08	2.01E-08	8.27E-08	1.20E-07	9.45E-08	6.24E-08	4.85E-08	3.36E-08	2.29E-07	1.54E-07	1.22E-07	1.52E-07	1.55E-07	1.65E-07	1.17E-07
2:Del:M:1	3.39E-08	2.26E-04	0.00E+00	3.23E-04	9.50E-04	5.60E-04	3.84E-03	8.91E-04	7.40E-08	2.20E-02	1.51E-03	4.57E-03	7.99E-04	9.06E-04	2.09E-03	8.40E-04
3:Del:M:1	5.88E-08	3.02E-04	8.50E-04	1.16E-03	0.00E+00	2.09E-03	6.40E-04	1.73E-03	2.61E-03	1.97E-03	1.96E-03	6.21E-03	2.35E-03	5.63E-04	8.36E-03	2.39E-03
3:Del:M:2	1.02E-03	2.75E-04	2.49E-04	4.50E-03	4.45E-03	1.51E-03	1.44E-03	2.23E-03	5.83E-04	2.28E-08	2.38E-03	5.14E-04	3.83E-03	5.55E-04	5.57E-03	0.00E+00
4:Del:M:1	1.10E-07	3.84E-08	1.07E-07	7.22E-02	1.05E-01	2.99E-46	4.22E-06	8.41E-03	5.85E-07	1.70E-02	4.67E-03	1.20E-02	6.08E-07	1.98E-02	7.19E-03	2.95E-03
4:Del:M:2	4.41E-04	1.71E-04	0.00E+00	1.35E-03	1.36E-03	2.20E-03	9.63E-04	4.18E-04	4.33E-08	2.20E-03	3.99E-03	2.40E-03	2.19E-03	5.40E-03	2.19E-04	3.23E-04
4:Del:M:3	0.00E+00	1.58E-08	2.46E-04	6.87E-04	2.04E-03	1.04E-04	2.40E-04	8.71E-04	8.73E-04	9.95E-04	1.34E-03	7.43E-03	6.41E-04	3.59E-06	3.27E-03	9.38E-04
5:Del:M:1	2.42E-04	3.00E-08	4.20E-46	9.77E-07	1.34E-02	5.34E-07	1.95E-06	1.39E-02	3.40E-02	2.34E-07	2.11E-02	8.46E-03	2.73E-02	3.54E-02	5.97E-03	2.68E-02
5:Del:M:2	1.51E-02	0.00E+00	0.00E+00	5.16E-02	6.55E-03	8.35E-04	1.64E-03	2.06E-02	1.57E-02	9.41E-04	3.20E-02	2.36E-02	5.54E-02	8.43E-03	4.44E-03	2.68E-02
5:Del:M:3	2.12E-04	0.00E+00	1.10E-07	2.82E-07	3.53E-03	8.67E-04	2.14E-03	1.14E-02	9.73E-03	1.42E-03	1.79E-02	1.06E-03	7.56E-03	2.29E-07	2.57E-04	6.87E-03
5:Del:M:4	4.20E-04	2.00E-08	5.54E-08	2.69E-07	7.36E-04	7.16E-04	3.00E-03	3.71E-03	1.97E-03	6.40E-04	1.10E-02	1.30E-03	1.06E-02	2.31E-04	5.93E-04	8.59E-03
5:Del:M:5	3.37E-04	2.39E-04	1.32E-04	7.27E-05	5.27E-03	1.08E-03	0.00E+00	3.43E-03	2.27E-03	7.03E-04	6.77E-03	1.31E-04	3.28E-03	4.54E-03	8.92E-04	2.31E-03
