Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.92,0.9,NO,N/A,50.26%,61.54%,166.17%,49.38%,99.24,0.4189,1.9305,0.154,0.732,0.833,0.228
3,0.79,0.58,NO,N/A,37.08%,52.51%,127.02%,39.37%,76.66,0.3409,1.0218,0.098,0.342,0.894,0.648
4,0.93,0.79,NO,N/A,25.64%,40.44%,100.34%,23.26%,75.51,0.2445,0.7665,0.046,0.29,0.95,0.673
5,0.98,0.94,NO,N/A,16.51%,28.1%,83.51%,16.5%,72.01,0.1711,0.6729,0.025,0.258,0.972,0.708
6*,1.0,0.98,YES,Most Stab Sigs,10.97%,21.74%,44.94%,11.88%,31.93,0.1211,0.3628,0.011,0.052,0.988,0.94
7,0.77,-0.38,NO,N/A,9.94%,20.0%,44.58%,11.16%,32.57,0.1197,0.368,0.01,0.054,0.989,0.938
8,0.65,-0.55,NO,N/A,9.57%,19.2%,42.55%,10.7%,31.97,0.1158,0.3677,0.009,0.05,0.99,0.947
9,0.53,-0.83,NO,N/A,9.03%,19.37%,41.64%,10.63%,31.1,0.1169,0.3794,0.008,0.048,0.991,0.948
10,0.44,-0.7,NO,N/A,8.62%,18.56%,55.1%,10.42%,42.66,0.1174,0.347,0.008,0.079,0.992,0.919
11,0.47,-0.64,NO,N/A,8.5%,18.75%,82.47%,9.62%,46.45,0.122,0.5173,0.006,0.043,0.993,0.955
12,0.39,-0.6,NO,N/A,7.39%,17.54%,45.88%,8.99%,28.25,0.1117,0.3484,0.005,0.04,0.995,0.953
13,0.33,-0.62,NO,N/A,7.75%,17.5%,77.58%,8.72%,42.9,0.1155,0.4834,0.005,0.04,0.994,0.952
14,0.3,-0.56,NO,N/A,6.1%,15.67%,36.88%,7.36%,23.0,0.1011,0.3365,0.004,0.026,0.996,0.97
15,0.39,-0.7,NO,N/A,5.53%,14.55%,33.14%,7.11%,25.54,0.0957,0.311,0.003,0.032,0.996,0.962
16,0.28,-0.65,NO,N/A,7.89%,16.16%,41.49%,7.9%,27.0,0.109,0.3275,0.004,0.037,0.996,0.956
17,0.38,-0.61,NO,N/A,4.83%,13.09%,32.34%,6.45%,17.98,0.0918,0.3125,0.003,0.016,0.997,0.981
18,0.38,-0.73,NO,N/A,5.06%,12.98%,34.2%,6.09%,19.24,0.0939,0.311,0.002,0.017,0.997,0.981
19,0.27,-0.86,NO,N/A,4.63%,12.41%,28.83%,6.3%,16.36,0.0867,0.3058,0.002,0.013,0.998,0.985
20,0.36,-0.8,NO,N/A,4.18%,11.83%,29.66%,5.35%,16.34,0.084,0.2763,0.002,0.013,0.998,0.985
