NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	58.465	20.003	14.079	12.405	0.113	0.989	110000.0
2	52.686	18.491	12.159	11.236	0.107	0.991	40000.0
3	52.528	18.239	11.558	10.565	0.104	0.993	40000.0
4	53.196	18.608	12.378	11.459	0.109	0.991	50000.0
5	52.711	18.526	11.942	10.944	0.108	0.992	70000.0
6	54.919	19.175	12.75	11.818	0.112	0.99	60000.0
7	51.11	18.158	11.625	11.075	0.111	0.991	70000.0
8	51.879	17.852	11.813	10.372	0.105	0.993	30000.0
9	52.387	18.321	11.723	10.496	0.108	0.993	50000.0
10	51.475	17.692	11.715	10.58	0.105	0.992	60000.0
