Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	77	23	79	29	35	49	71	14	0	0	42	13	0	0
V2	49	74	3	129	8	0	35	0	36	0	0	0	0	0
V3	2	0	32	0	0	85	146	13	2	52	0	0	0	0
V4	28	0	26	58	0	156	0	58	19	0	0	0	0	25
V5	123	2	4	32	0	42	0	22	0	48	5	0	0	0
V6	75	31	75	118	0	387	188	90	43	104	0	0	0	8
V7	2	3	5	0	38	0	9	0	0	5	0	0	27	3
V8	42	22	34	134	29	0	0	22	111	7	0	0	0	0
V9	114	0	32	19	0	15	20	7	0	0	0	0	0	0
V10	5	7	0	0	57	49	53	0	45	21	0	1	10	0
V11	35	2	28	63	1	0	0	8	4	0	0	0	1	0
V12	16	71	0	204	57	112	0	47	0	3	0	2	0	9
V13	71	42	244	1	0	45	168	0	5	16	0	29	3	10
V14	186	2	130	2	6	0	5	0	45	0	0	0	0	8
V15	91	16	0	0	53	30	0	29	45	8	0	13	11	11
V16	164	4	204	0	6	0	0	0	0	0	0	0	0	19
V17	0	43	84	11	63	2	0	12	0	18	63	0	0	0
V18	80	222	0	48	99	9	16	16	0	0	5	0	24	0
V19	231	80	1	43	0	0	0	0	41	0	0	0	30	0
V20	236	8	25	8	5	12	173	12	0	0	0	0	0	15
V21	27	98	10	0	0	45	5	7	8	0	0	0	1	0
V22	0	23	5	0	0	113	0	29	0	10	6	0	0	0
V23	31	39	139	10	0	0	0	1	0	0	0	0	0	8
V24	1	31	52	25	12	85	97	98	25	20	0	0	0	7
V25	0	120	25	63	0	63	0	21	0	7	22	22	65	0
V26	16	355	4	43	0	15	0	0	0	0	0	0	22	0
V27	199	34	0	49	19	0	0	0	0	0	16	0	0	0
V28	22	11	21	0	19	3	0	10	0	0	9	0	2	3
V29	66	2	124	6	14	0	61	0	0	4	0	0	0	0
V30	141	32	205	38	0	0	0	0	0	0	24	0	16	0
V31	95	28	30	0	20	0	0	3	3	0	25	2	7	10
V32	264	31	53	0	0	44	0	4	0	1	0	0	41	15
V33	38	57	13	0	0	14	0	7	0	3	41	0	24	0
V34	1	0	0	25	0	23	0	0	2	4	1	7	8	7
V35	17	59	136	21	30	0	0	1	0	0	0	12	0	0
V36	1	128	12	9	148	0	0	20	0	22	0	0	0	0
V37	3	42	2	3	12	0	0	6	0	17	0	0	0	1
V38	14	107	138	229	100	34	0	21	0	24	18	0	23	0
V39	1	52	0	86	22	0	0	0	0	4	0	4	0	0
V40	1	87	149	0	12	114	0	76	0	7	106	1	0	0
V41	18	8	6	188	0	31	0	0	6	10	16	0	0	4
V42	0	28	1	25	6	7	4	6	0	0	0	2	0	0
V43	66	111	0	93	50	9	70	6	0	10	55	5	0	0
V44	16	105	0	0	0	21	2	0	0	46	0	0	7	1
V45	257	50	0	25	81	4	92	9	0	66	0	43	0	0
V46	65	25	0	132	19	0	0	23	19	17	0	0	0	0
V47	240	5	35	24	6	0	0	6	8	0	0	0	0	24
V48	53	22	6	11	135	21	0	14	0	0	34	0	10	0
V49	8	172	95	4	0	19	8	23	0	13	0	0	0	0
V50	13	41	54	193	25	11	0	0	0	11	16	0	0	1
V51	160	3	8	0	5	11	0	14	0	11	0	0	0	2
V52	24	56	0	1	0	3	0	13	0	0	0	0	0	18
V53	244	6	0	32	2	143	0	0	0	5	0	3	0	4
V54	0	0	3	17	0	10	0	21	1	16	0	0	3	1
V55	38	38	0	73	33	113	41	14	0	54	0	22	0	0
V56	9	30	0	156	2	0	0	9	11	0	3	0	0	0
V57	136	70	0	0	0	0	41	0	22	0	0	0	0	0
V58	0	12	0	115	180	63	4	39	28	8	32	0	44	7
V59	31	62	241	85	66	0	0	11	35	0	43	0	0	0
V60	5	143	0	3	81	0	0	37	0	4	0	34	20	0
V61	1	38	302	1	0	0	60	0	0	0	0	0	0	0
V62	5	42	7	39	0	50	0	0	0	32	34	0	11	0
V63	16	83	190	35	218	0	0	8	3	0	20	28	0	4
V64	4	268	221	0	83	0	81	0	12	0	0	17	49	0
V65	0	27	135	60	0	10	0	0	0	1	0	0	0	0
V66	190	72	6	1	5	3	0	17	0	8	0	0	0	23
V67	5	20	11	23	0	0	0	1	60	0	0	0	8	1
V68	119	31	76	154	112	6	0	2	87	0	30	41	0	4
V69	0	33	28	105	0	0	0	0	15	4	0	16	0	0
V70	76	33	0	102	0	0	62	5	21	5	0	10	44	0
V71	0	77	20	4	90	155	2	34	0	0	0	0	0	4
V72	72	15	55	2	0	0	16	0	0	0	0	0	0	0
V73	23	1	0	0	6	10	54	7	0	7	0	0	0	1
V74	17	77	60	11	28	190	15	16	17	50	0	58	17	8
V75	1	22	21	0	0	0	18	0	0	0	0	0	16	0
V76	40	297	7	135	16	5	0	101	202	18	0	0	0	15
V77	155	10	5	5	0	0	0	12	0	9	0	0	0	30
V78	47	35	18	4	94	5	0	24	0	0	2	49	0	1
V79	15	60	36	1	0	14	54	33	0	33	0	0	5	0
V80	74	32	267	13	22	20	0	21	14	24	8	0	0	0
V81	45	35	125	0	0	5	6	12	0	4	0	0	15	0
V82	0	36	0	8	0	16	3	1	69	1	0	0	0	3
V83	58	6	0	6	21	47	37	8	8	27	0	25	0	0
V84	0	360	0	31	5	0	0	6	0	0	0	0	27	0
V85	27	128	0	102	121	39	3	19	0	0	0	0	0	9
V86	48	24	0	12	23	73	49	34	0	24	0	0	0	0
V87	90	53	113	39	200	0	0	18	0	0	29	36	0	6
V88	0	12	71	1	19	0	32	17	1	0	5	0	0	6
V89	70	16	25	48	16	4	48	30	0	0	55	38	0	0
V90	213	37	193	21	133	1	0	39	0	0	16	0	0	0
V91	3	82	0	51	55	15	0	0	0	0	12	27	0	0
V92	225	0	36	12	2	0	0	0	0	0	0	0	0	18
V93	101	0	55	0	0	35	0	0	0	12	0	0	5	7
V94	2	95	236	35	3	0	11	51	17	0	45	25	3	6
V95	26	97	0	44	7	0	0	33	35	1	0	34	0	0
V96	1	44	51	0	107	13	46	9	6	13	25	5	4	2
V97	202	99	177	19	0	9	0	0	14	0	0	2	0	0
V98	57	0	144	15	0	2	64	51	0	6	0	0	0	0
V99	149	8	0	4	6	0	1	36	0	48	0	0	0	0
V100	8	29	36	0	0	0	288	92	4	44	0	0	0	0
