NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	46.78	22.137	11.029	13.784	0.12	0.984	40000.0
2	48.627	23.01	11.596	14.386	0.123	0.985	50000.0
3	47.735	22.391	11.522	14.125	0.12	0.986	20000.0
4	46.966	22.615	11.172	14.699	0.13	0.983	60000.0
5	47.663	22.627	11.383	14.8	0.127	0.983	50000.0
6	47.647	22.623	11.367	14.155	0.122	0.984	60000.0
7	50.168	23.571	11.886	14.73	0.128	0.985	50000.0
8	50.649	24.184	12.077	15.418	0.13	0.982	60000.0
9	49.2	22.777	11.672	14.808	0.121	0.983	40000.0
10	47.554	22.705	11.236	14.056	0.124	0.985	50000.0
