Samples	ID83A	ID83B
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	1.22E+02	1.22E+02
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	1.24E+01	1.24E+01
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	3.57E+01	3.57E+01
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	5.10E+01	5.10E+01
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	1.78E+01	1.78E+01
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	3.13E+01	3.13E+01
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	4.49E+01	4.49E+01
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	6.46E+01	6.46E+01
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	3.33E+01	3.33E+01
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	3.32E+01	3.32E+01
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	5.29E+01	5.29E+01
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	6.99E+01	6.99E+01
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	3.83E+01	3.83E+01
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	1.96E+01	1.96E+01
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	2.71E+01	2.71E+01
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	1.32E+01	1.32E+01
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	7.98E+01	7.98E+01
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	4.18E+01	4.18E+01
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	3.31E+01	3.31E+01
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	2.17E+01	2.17E+01
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	4.01E+01	4.01E+01
