Samples	ID83A	ID83B
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	2164	185
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	206	28
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	475	101
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	829	677
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	262	113
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	243	297
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	559	0
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	684	199
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	408	209
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	418	293
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	579	232
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	325	1113
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	483	161
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	363	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	397	137
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	252	51
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	1114	55
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	516	59
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	402	239
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	259	128
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	381	249
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	451	315
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	242	67
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	681	794
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	383	119
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	541	762
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	496	46
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	252	328
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	305	150
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	151	170
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	853	12
X1f81a1b0.8089.44ef.87b5.b3359a407ad2..Panc.AdenoCA..DO33128	180	29
X20d1b88b.3ff6.4201.a748.6a993500c652..Panc.AdenoCA..DO32972	161	56
X2102558b.87b0.447b.bb9a.e4ae9df8b75e..Panc.AdenoCA..DO33032	291	553
X21b1a37f.e91e.4ce1.83cf.bb89b8d0fb35..Panc.AdenoCA..DO33028	362	41
X228fb827.c05e.494c.8a21.e1d925e100cb..Panc.AdenoCA..DO51537	358	302
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	53	1
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	509	351
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	663	424
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	207	133
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	209	174
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	512	0
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	284	249
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	297	140
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	168	120
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	524	273
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	536	49
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	224	20
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	267	287
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	253	144
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	549	371
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	558	231
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	282	91
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	222	241
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	146	17
X368e592d.260c.4f58.81c4.a9f1e6177a4b..Panc.AdenoCA..DO51549	338	171
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	390	131
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	967	256
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	350	136
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	1170	205
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	430	144
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	262	130
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	290	83
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	487	89
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	120	13
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	644	151
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	490	249
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	340	105
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	268	336
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	497	299
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	175	278
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	18	0
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	488	104
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	655	527
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	365	137
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	505	204
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	351	303
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	419	67
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	187	218
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	1564	332
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	244	247
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	270	116
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	1539	581
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	0	7751
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	585	14
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	1523	11
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	684	58
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	309	68
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	76	18
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	495	345
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	912	210
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	342	185
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	349	77
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	406	60
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	499	138
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	406	124
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	299	102
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	317	162
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	388	32
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	205	717
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	177	81
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	416	87
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	388	325
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	439	67
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	475	133
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	336	43
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	892	574
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	321	174
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	311	122
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	99	535
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	527	323
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	918	516
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	262	60
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	549	195
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	234	74
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	256	42
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	308	104
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	440	40
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	590	232
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	9936	12098
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	5469	0
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	249	62
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	184	291
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	391	2107
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	456	113
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	1332	93
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	222	293
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	123	6
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	252	43
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	265	359
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	438	100
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	177	89
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	1560	208
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	1612	307
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	654	439
