Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	0.00E+00	4.95E+00	4.49E+00	2.08E+00	1.00E-01	5.64E+00	6.14E+00	2.40E+00
V2	3.90E+00	8.79E-01	1.35E+00	4.75E+00	2.12E+00	8.95E-01	3.40E+00	5.08E+00
V3	1.78E+00	2.94E+00	4.28E-01	5.25E+00	2.42E+00	6.05E+00	3.92E+00	4.89E+00
V4	4.36E+01	7.86E-01	1.42E+00	0.00E+00	1.14E+00	7.48E-01	4.46E+01	7.00E-01
V5	2.34E+01	2.73E+00	6.63E-01	1.97E+00	1.29E+00	1.28E+01	1.98E+01	2.92E+00
V6	2.30E+00	1.13E+00	2.75E+00	0.00E+00	4.27E-01	7.82E+00	7.27E+00	3.00E-01
V7	9.07E-01	3.37E+00	2.23E+00	4.73E-01	1.43E+00	5.39E+00	5.96E+00	4.45E+00
V8	3.00E-01	2.55E+00	5.39E-01	1.68E+01	5.10E+00	0.00E+00	1.47E+00	1.58E+01
V9	2.97E+00	1.52E+00	1.45E+00	2.25E+00	3.29E+00	3.94E+00	3.84E+00	2.07E+00
V10	4.61E+00	4.71E-01	2.84E+00	0.00E+00	1.38E+00	6.43E+00	3.95E+00	3.13E+00
V11	1.59E+00	9.68E-01	1.48E+00	5.42E-01	0.00E+00	3.41E+01	3.06E+01	9.02E+00
V12	0.00E+00	7.00E-01	1.31E+00	1.37E+01	1.93E+00	6.20E+00	4.42E+00	1.13E+01
V13	5.85E+00	4.31E+00	8.84E-01	2.67E-01	4.42E-01	1.08E+00	6.12E+00	4.00E-01
V14	1.95E+00	1.42E+00	3.27E-01	6.46E+00	6.95E+00	1.85E+00	2.03E+00	4.82E+00
V15	0.00E+00	6.70E-01	3.00E-01	1.15E+00	0.00E+00	2.75E+00	2.81E+00	1.43E+00
V16	1.85E+00	0.00E+00	5.78E-01	3.96E+00	0.00E+00	4.06E+00	4.02E+00	3.74E+00
V17	9.45E-01	6.96E-01	1.98E+00	4.33E+00	1.11E+01	3.04E+00	2.68E+00	1.01E+01
V18	3.33E-01	0.00E+00	0.00E+00	0.00E+00	3.70E+00	1.60E+00	1.24E+00	4.64E+00
V19	1.68E+00	4.07E-01	2.51E+00	2.59E+00	1.48E+00	7.52E-01	9.52E-01	2.24E+00
V20	6.57E-01	2.11E+00	3.54E+00	8.73E+00	3.72E+00	3.21E+00	1.12E+00	6.96E+00
V21	0.00E+00	3.52E+00	1.19E+00	7.88E+00	4.92E+00	2.39E+00	3.35E+00	6.83E+00
V22	9.05E+00	2.74E+00	2.11E+00	1.16E+00	2.51E+00	1.49E+01	1.06E+01	1.50E+00
V23	2.20E+00	6.67E-01	4.35E+00	7.16E+00	3.86E+00	6.01E-01	2.94E+00	5.38E+00
V24	7.18E-01	3.17E+00	1.22E+00	8.17E-01	0.00E+00	5.58E+00	4.62E+00	1.97E+00
V25	1.03E+00	3.13E+00	3.24E+00	1.14E+01	2.61E+00	7.96E+00	7.27E+00	9.45E+00
V26	2.59E+00	4.47E+00	3.61E+00	3.53E+00	3.04E+00	6.08E+00	3.60E+00	4.45E+00
V27	4.82E+00	3.11E+00	4.27E-01	4.97E+00	0.00E+00	1.33E-01	6.51E+00	4.93E+00
V28	2.27E+00	4.67E-01	1.63E+00	1.29E+00	0.00E+00	0.00E+00	4.00E-01	5.82E-01
V29	3.35E-01	5.47E-01	2.69E+00	7.37E+00	3.90E+00	1.57E+01	1.33E+01	1.30E+01
V30	9.80E-01	2.56E+00	1.54E+00	6.07E+01	2.97E+00	2.94E+00	2.25E+00	5.91E+01
V31	3.54E+00	1.02E+00	9.12E-01	1.82E+00	0.00E+00	4.23E-01	3.30E+00	1.74E+00
V32	7.00E-01	0.00E+00	2.50E+00	5.16E-01	0.00E+00	6.94E+00	8.38E+00	1.10E+00
V33	5.60E+00	1.72E+00	1.92E+00	4.45E+00	3.81E+00	1.67E+00	3.89E+00	3.52E+00
V34	8.51E+00	4.01E+00	0.00E+00	1.07E+01	1.43E+00	4.90E-01	8.49E+00	9.95E+00
V35	1.72E+01	2.85E+00	1.51E+00	7.45E+00	8.31E+00	4.48E+00	1.57E+01	6.02E+00
V36	0.00E+00	1.63E-01	1.10E+00	9.78E-01	1.32E+00	2.31E+00	2.39E+00	1.90E+00
V37	0.00E+00	5.97E+00	5.45E+00	1.48E+00	8.42E+00	5.68E+00	4.93E+00	1.07E+01
V38	3.67E-01	5.01E+00	2.77E-01	1.14E+00	7.52E-01	7.81E+00	8.22E+00	2.00E-01
V39	4.27E-01	0.00E+00	2.69E+00	7.06E-01	2.77E+00	1.92E+00	9.80E-01	2.99E+00
V40	9.33E-01	2.74E+00	1.11E+00	0.00E+00	3.29E+00	7.71E+00	4.87E+00	5.12E+00
V41	3.34E+01	1.60E+00	1.84E+00	5.43E+00	3.08E+00	4.48E-01	3.58E+01	3.62E+00
V42	1.22E+00	7.75E-01	1.72E+00	0.00E+00	5.81E-01	1.06E+01	8.33E+00	3.86E+00
V43	3.65E-01	8.19E-01	1.33E+00	3.59E-01	3.44E+00	3.10E+00	3.62E+00	4.14E+00
V44	1.59E+00	1.28E+00	2.85E+00	5.20E+00	3.12E+00	7.00E+00	5.19E+00	3.97E+00
V45	5.34E+00	3.91E+00	8.03E-01	8.19E-01	5.73E+00	3.18E+00	6.70E+00	4.01E+00
V46	1.79E+00	7.61E-01	1.37E+00	2.90E+00	9.16E+00	1.19E+00	1.63E+00	7.40E+00
V47	9.28E+00	0.00E+00	2.16E+00	0.00E+00	8.53E+00	8.86E+00	7.53E+00	1.32E+01
V48	6.57E+00	2.13E-01	2.05E+00	5.24E+00	8.88E+00	1.43E+00	6.04E+00	7.89E+00
V49	4.81E+00	0.00E+00	5.16E+00	2.46E+00	1.09E+00	2.21E+01	2.06E+01	7.65E+00
V50	6.21E+00	2.74E+00	2.69E+00	4.67E-01	1.14E+01	9.88E+00	6.25E+00	1.34E+01
V51	0.00E+00	3.67E+00	1.03E+00	1.12E+00	2.17E+00	1.76E+01	1.87E+01	3.24E+00
V52	2.65E+00	5.10E+00	1.36E+00	2.70E+00	1.00E-01	6.95E+00	6.14E+00	4.15E+00
V53	3.66E+00	1.06E+00	7.48E-01	2.67E-01	2.64E+00	6.90E-01	3.36E+00	2.76E+00
V54	1.00E+00	4.28E-01	1.91E+00	3.51E+00	8.70E-01	1.73E+00	8.75E-01	2.97E+00
V55	2.78E+00	9.09E+00	6.87E-01	4.52E+00	7.52E-01	1.73E+00	8.00E+00	4.04E+00
V56	1.65E+01	8.87E+00	7.52E-01	6.86E+00	8.16E-01	1.18E+01	7.28E+00	6.57E+00
V57	1.62E+00	1.22E+00	0.00E+00	4.96E+00	2.56E+00	2.67E-01	9.92E-01	3.52E+00
V58	2.89E+00	7.00E+00	2.38E+00	1.37E+01	8.19E-01	1.50E+00	6.22E+00	1.24E+01
