De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID12 (100.00%), 141.31,  57.37, 1.515, 0.82, 0.83
Signature 83-B, Signature ID1 (100.00%), 6.73,  1.29, 0.105, 1.00, 1.00
Signature 83-C, Signature ID2 (100.00%), 9.94,  1.67, 0.105, 1.00, 1.00
Signature 83-D, Signature ID8 (100.00%), 25.37,  11.08, 0.081, 0.99, 0.99
Signature 83-E, Signature ID9 (100.00%), 11.22,  5.44, 0.125, 1.00, 1.00
Signature 83-F, Signature 83-F, 0, 0, 0, 1, 1
