NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	132.552	23.91	27.013	14.714	0.102	0.984	100000.0
2	133.663	24.353	27.249	15.046	0.104	0.983	60000.0
3	133.192	24.331	27.642	15.294	0.102	0.983	80000.0
4	136.262	24.968	28.28	15.726	0.105	0.982	90000.0
5	132.203	23.966	27.176	14.809	0.102	0.984	50000.0
6	134.257	24.671	27.863	15.448	0.105	0.982	40000.0
7	132.168	24.066	27.029	14.917	0.103	0.984	110000.0
8	131.781	24.094	26.712	14.906	0.104	0.983	60000.0
9	132.61	24.277	27.203	15.087	0.105	0.983	60000.0
10	133.604	24.07	27.468	14.781	0.103	0.984	60000.0
