NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	48.809	18.703	12.568	12.204	0.107	0.99	60000.0
2	53.379	20.67	13.79	13.727	0.113	0.987	40000.0
3	53.64	20.942	14.002	14.071	0.114	0.986	50000.0
4	54.12	20.975	14.37	14.177	0.112	0.986	60000.0
5	49.891	19.26	13.41	13.086	0.11	0.987	30000.0
6	53.939	21.054	13.88	13.779	0.116	0.987	70000.0
7	51.492	20.191	13.483	13.424	0.111	0.988	50000.0
8	46.762	17.977	11.681	11.718	0.106	0.99	30000.0
9	57.137	22.127	14.773	14.816	0.123	0.985	40000.0
10	51.366	20.267	13.423	13.711	0.114	0.987	60000.0
