NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	65.458	25.409	16.253	16.728	0.147	0.978	40000.0
2	62.843	24.501	15.429	15.947	0.134	0.981	30000.0
3	65.601	25.117	16.261	16.39	0.139	0.982	20000.0
4	65.799	24.737	16.074	16.101	0.139	0.983	20000.0
5	65.995	25.881	16.053	16.734	0.147	0.98	20000.0
6	64.14	24.665	15.554	16.052	0.14	0.981	50000.0
7	64.251	25.405	15.539	16.788	0.145	0.979	40000.0
8	66.508	25.565	16.418	16.543	0.146	0.98	40000.0
9	67.035	26.216	16.4	16.992	0.149	0.979	20000.0
10	66.233	25.638	16.153	16.513	0.146	0.981	20000.0
