MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	2.46E-04	1.94E-04	4.66E-03	5.16E-03	2.86E-03	1.06E-03	2.25E-02	2.30E-02	5.64E-03	5.11E-02	2.16E-02	7.28E-03	2.27E-02	1.39E-07	2.06E-04	2.53E-02	2.14E-46	3.96E-02	2.06E-02
1:Del:C:1	1.03E-04	0.00E+00	1.02E-03	2.70E-03	4.71E-03	2.12E-02	3.42E-02	1.75E-02	7.59E-03	4.96E-03	5.86E-03	6.65E-03	2.37E-02	9.76E-04	2.12E-03	3.12E-02	5.67E-03	1.65E-02	1.43E-02
1:Del:C:2	1.35E-08	0.00E+00	1.39E-02	3.42E-08	7.04E-04	4.50E-04	6.12E-03	0.00E+00	2.16E-03	1.15E-03	6.22E-07	2.68E-03	6.55E-04	1.26E-08	1.33E-03	4.44E-03	2.41E-03	2.49E-04	2.51E-03
1:Del:C:3	2.22E-08	2.60E-04	5.28E-07	9.14E-08	7.26E-08	7.29E-04	8.83E-03	2.37E-03	4.17E-03	1.25E-02	3.71E-03	1.64E-03	1.47E-02	1.59E-03	3.80E-03	3.49E-03	2.04E-03	8.67E-03	2.26E-02
1:Del:C:4	1.07E-07	3.42E-07	1.46E-02	1.74E-03	1.15E-02	1.88E-08	2.46E-07	1.38E-03	9.57E-04	1.26E-02	2.03E-03	0.00E+00	6.66E-03	6.20E-03	2.40E-03	2.05E-03	1.29E-06	7.38E-02	4.60E-03
1:Del:C:5	2.44E-04	2.15E-03	1.57E-08	2.20E-07	2.23E-08	8.88E-03	0.00E+00	3.24E-08	0.00E+00	7.29E-09	1.19E-03	3.41E-04	3.46E-08	9.05E-03	2.37E-02	1.20E-03	2.04E-03	1.38E-07	1.20E-02
1:Del:T:0	0.00E+00	0.00E+00	3.06E-03	7.24E-03	4.50E-03	9.13E-03	7.82E-03	3.96E-02	6.90E-03	2.34E-02	1.96E-02	7.58E-03	2.11E-02	1.81E-02	3.22E-02	4.76E-03	7.25E-02	1.82E-02	9.01E-03
1:Del:T:1	2.88E-04	0.00E+00	4.26E-03	3.69E-05	0.00E+00	9.75E-46	1.51E-02	7.72E-03	5.60E-03	8.45E-03	3.09E-03	3.66E-03	2.75E-02	3.34E-04	2.59E-02	1.54E-02	3.45E-03	9.53E-03	4.09E-03
1:Del:T:2	0.00E+00	1.57E-03	1.23E-02	3.38E-05	1.87E-46	7.06E-03	1.54E-02	1.87E-02	4.16E-03	1.99E-02	8.49E-03	8.15E-03	1.84E-02	3.08E-03	1.69E-02	3.79E-03	2.46E-03	1.00E-02	1.46E-02
1:Del:T:3	9.30E-05	3.46E-03	2.49E-04	6.74E-04	1.43E-04	1.40E-02	2.26E-02	2.47E-02	0.00E+00	2.37E-02	5.92E-04	2.14E-46	1.72E-02	7.79E-03	7.29E-04	7.09E-03	1.33E-02	8.67E-03	2.11E-02
1:Del:T:4	0.00E+00	5.76E-03	1.52E-03	4.39E-03	2.18E-03	1.06E-02	2.34E-02	1.36E-02	2.97E-03	2.64E-02	1.24E-02	3.76E-03	2.81E-02	7.62E-03	3.34E-02	3.66E-02	4.92E-02	2.67E-02	2.70E-02
1:Del:T:5	9.68E-09	9.52E-03	5.75E-07	1.67E-06	5.53E-07	1.28E-02	4.00E-06	7.94E-07	9.56E-07	5.91E-07	1.58E-02	1.14E-03	9.63E-07	1.07E-01	4.49E-06	1.30E-02	5.88E-07	3.81E-03	7.49E-02
1:Ins:C:0	4.14E-08	3.56E-08	4.05E-04	5.74E-08	4.05E-08	1.27E-07	2.45E-07	8.34E-08	1.62E-03	1.16E-06	8.05E-04	1.84E-03	5.40E-07	7.46E-08	2.41E-07	7.64E-04	4.85E-07	2.84E-06	1.17E-03
1:Ins:C:1	5.59E-08	0.00E+00	1.92E-03	3.44E-05	1.13E-06	6.53E-07	6.52E-08	3.78E-08	1.06E-03	2.28E-07	1.72E-03	4.28E-04	1.33E-07	3.89E-08	6.00E-04	4.02E-04	1.34E-03	3.05E-04	6.80E-04
1:Ins:C:2	2.79E-08	9.81E-08	7.14E-04	4.09E-08	5.44E-08	1.45E-04	2.91E-08	1.00E-04	4.31E-04	1.95E-07	1.01E-03	2.18E-04	4.31E-08	1.02E-04	4.33E-07	1.26E-04	1.39E-03	1.74E-03	2.11E-04
