Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	5	0	121	8	129	33	107	97	0
V2	17	117	17	0	18	3	13	29	34
V3	26	12	45	11	146	0	16	4	93
V4	11	2	129	16	316	22	11	76	179
V5	34	170	51	161	0	33	10	12	0
V6	46	67	45	9	0	2	0	6	1
V7	186	10	24	83	76	15	67	99	37
V8	127	30	95	32	12	179	145	0	14
V9	15	49	24	107	0	42	140	0	0
V10	1	10	0	0	1	2	0	3	0
V11	20	85	10	45	102	0	0	146	63
V12	68	0	4	161	22	12	22	7	8
V13	70	29	23	82	69	78	61	2	0
V14	16	0	0	0	50	9	12	46	47
V15	26	13	57	30	33	0	16	16	0
V16	21	28	5	5	25	32	63	0	35
V17	7	17	65	288	137	43	15	12	13
V18	0	102	16	4	9	29	46	0	0
V19	91	10	26	10	64	49	52	29	17
V20	146	136	32	4	4	43	83	0	0
V21	8	37	4	74	0	11	21	0	0
V22	36	9	88	63	11	22	18	11	37
V23	26	65	0	22	14	0	1	11	6
V24	12	56	1	9	61	7	0	152	18
V25	184	14	2	32	18	24	46	19	30
V26	0	64	90	1	41	13	61	17	20
V27	113	27	0	102	9	196	0	0	19
V28	8	103	18	5	24	40	17	31	48
V29	0	22	119	20	40	42	63	25	100
V30	75	11	4	0	216	0	0	272	135
V31	115	31	0	5	152	21	29	194	56
V32	7	45	0	14	0	49	47	8	0
V33	1	78	92	5	0	61	0	57	0
V34	43	109	48	133	104	21	44	0	24
V35	46	158	130	5	5	111	20	0	12
V36	6	4	10	5	1	9	19	0	0
V37	79	84	1	9	17	1	0	51	6
V38	10	72	214	28	5	6	26	0	6
V39	33	0	0	4	2	13	0	9	3
V40	10	14	0	27	74	144	0	11	20
V41	0	21	18	31	34	127	104	40	5
V42	43	39	96	139	0	195	346	0	0
V43	0	216	9	9	94	60	30	3	58
V44	0	26	114	59	8	43	30	12	9
V45	66	10	30	26	1	6	4	0	5
V46	2	28	7	456	6	0	0	22	0
V47	33	29	34	0	18	354	106	0	15
V48	172	44	1	37	32	141	33	6	28
V49	64	4	0	12	145	7	13	17	21
V50	46	11	36	2	0	0	15	0	0
V51	91	15	51	23	66	0	0	69	76
V52	98	32	55	35	127	0	20	88	74
V53	5	26	49	0	62	0	4	44	31
V54	0	63	0	7	1	11	36	0	1
V55	34	101	11	20	20	4	44	0	9
V56	6	12	0	39	1	2	2	0	1
V57	92	0	8	0	148	2	3	197	231
V58	126	5	99	26	52	6	10	3	0
V59	43	29	43	4	11	9	0	8	0
V60	3	0	43	43	69	82	26	28	41
V61	3	11	84	15	13	123	0	0	5
V62	13	6	368	137	29	14	40	14	15
V63	152	39	0	0	104	303	422	0	0
V64	15	100	0	3	12	29	0	14	0
V65	53	248	49	2	0	12	10	8	0
V66	47	22	11	55	0	27	70	0	8
V67	40	87	53	0	16	1	0	26	61
V68	123	37	7	109	87	15	0	104	37
V69	36	2	0	0	23	0	0	22	38
V70	10	35	89	0	0	7	13	5	0
V71	10	55	2	99	35	1	0	31	13
V72	0	0	155	0	167	0	0	194	112
V73	0	24	107	2	30	44	20	25	45
V74	85	15	9	154	45	10	0	0	3
V75	353	24	9	63	12	37	100	2	0
V76	72	10	0	15	6	25	19	0	0
V77	3	0	29	7	3	1	0	0	2
V78	181	2	12	21	7	0	0	5	14
V79	168	0	68	0	39	3	0	1	36
V80	883	17	15	8	28	21	43	55	0
V81	7	7	31	0	79	11	5	56	0
V82	1	58	2	1	30	24	6	1	7
V83	9	0	3	0	6	9	43	10	15
V84	0	108	0	28	4	0	0	0	6
V85	1	24	0	38	0	0	3	3	5
V86	69	1	4	2	5	8	25	1	0
V87	19	0	12	0	9	20	6	18	7
V88	21	13	1	189	62	14	0	3	42
V89	56	2	18	2	0	28	32	0	0
V90	33	520	6	21	13	12	35	0	3
V91	0	64	72	0	6	18	23	11	0
V92	7	239	8	63	0	0	0	15	0
V93	45	171	32	76	1	41	11	4	11
V94	45	10	18	19	7	62	7	43	58
V95	1	15	343	0	4	75	16	6	5
V96	1	11	28	6	19	14	13	0	2
V97	1	15	342	15	1	9	9	0	0
V98	46	43	64	60	4	0	2	2	0
V99	25	81	4	17	34	16	54	29	5
V100	63	22	4	39	0	1	0	5	6
