Samples	ID83A	ID83B	ID83C
V1	9.11E+00	1.07E+01	1.40E+01
V2	2.14E+01	2.26E+01	1.07E+01
V3	7.79E+00	3.62E+00	8.26E+00
V4	1.62E+01	1.58E+01	1.06E+01
V5	3.66E+01	3.82E+01	3.30E+01
V6	4.77E+00	5.33E+00	3.82E+00
V7	9.19E+00	8.35E+00	3.27E+00
V8	5.24E+00	1.33E+01	1.36E+01
V9	2.04E+01	1.76E+01	3.56E+00
V10	9.12E+00	6.95E+00	6.15E+00
V11	2.71E+01	3.34E+01	3.00E+01
V12	1.98E+01	1.13E+01	1.02E+01
V13	1.65E+01	2.21E+00	1.48E+01
V14	2.83E+00	3.46E+00	3.30E+00
V15	2.04E+01	2.90E+01	2.48E+01
V16	1.47E+01	1.01E+01	5.99E+00
V17	1.18E+01	2.04E+01	2.33E+01
V18	1.40E+01	1.74E+01	7.02E+00
V19	1.68E+01	1.42E+01	1.41E+01
V20	3.97E+00	9.16E+00	9.33E+00
V21	3.82E+01	3.04E+01	3.23E+01
V22	5.97E+00	6.47E+00	7.58E+00
V23	2.75E+01	2.57E+01	3.21E+01
V24	1.41E+01	1.18E+01	6.20E+00
V25	1.91E+01	2.14E+01	1.82E+01
V26	4.32E+01	3.92E+01	1.22E+01
V27	1.48E+01	1.19E+01	1.04E+01
V28	1.44E+01	1.13E+01	9.56E+00
V29	6.06E+00	1.68E+01	1.98E+01
V30	1.14E+01	1.83E+01	1.90E+01
V31	2.26E+01	2.49E+01	7.40E+00
V32	2.55E+01	3.04E+01	3.01E+01
V33	1.95E+01	2.05E+01	5.77E+00
V34	8.39E+00	7.73E+00	6.53E+00
V35	1.59E+00	1.76E+00	1.63E+00
V36	2.80E+00	4.77E+00	5.53E+00
V37	3.15E+01	1.53E+01	2.31E+01
V38	1.89E+01	1.53E+01	2.23E+01
V39	3.51E+00	4.33E+00	6.40E+00
V40	4.92E+00	5.01E+00	5.31E+00
V41	8.01E+01	9.09E+01	9.65E+01
V42	7.86E+00	8.89E+00	1.29E+01
V43	1.49E+01	1.14E+01	6.05E+00
V44	1.48E+01	2.19E+01	1.45E+01
V45	3.92E+01	2.67E+01	1.72E+01
V46	1.18E+01	4.79E+00	1.05E+01
V47	2.96E+01	2.11E+01	9.85E+00
V48	9.32E+00	6.38E+00	5.11E+00
V49	3.26E+00	2.61E+00	1.58E+00
V50	5.67E+01	2.86E+01	7.51E+01
V51	1.33E+01	1.56E+01	1.43E+01
V52	6.34E+00	5.56E+00	5.16E+00
V53	4.72E+01	3.46E+01	3.79E+01
V54	1.46E+01	8.32E+00	8.45E+00
V55	1.33E+01	1.16E+01	2.42E+00
V56	8.53E+00	7.38E+00	3.40E+00
V57	6.52E+00	3.21E+00	5.52E+00
V58	6.44E+00	1.01E+01	9.70E+00
V59	4.27E+01	2.61E+01	2.04E+01
V60	6.43E+00	3.66E+00	6.54E+00
V61	2.59E+01	3.04E+01	2.44E+01
V62	7.03E+00	6.75E+00	1.47E+00
V63	2.33E+01	3.52E+01	3.11E+01
V64	7.20E+00	1.23E+01	7.39E+00
V65	3.11E+01	4.70E+00	3.07E+01
V66	1.09E+01	1.05E+01	9.93E+00
V67	7.77E-01	6.22E+00	6.04E+00
V68	2.23E+01	1.12E+01	1.28E+01
V69	6.21E+00	6.07E+00	4.81E+00
V70	3.77E+01	3.75E+01	7.98E+00
V71	2.45E+01	1.92E+01	1.85E+01
V72	2.80E+01	2.63E+01	4.68E+01
V73	1.82E+01	1.29E+01	1.31E+01
V74	5.88E+00	3.18E+00	6.84E+00
V75	1.07E+01	1.45E+01	1.68E+01
V76	4.76E+01	2.39E+01	2.97E+01
V77	2.14E+01	1.45E+01	9.83E+00
V78	1.07E+01	7.64E+00	3.57E+00
V79	3.41E+01	2.48E+01	2.85E+01
V80	2.35E+01	2.46E+01	5.51E+00
V81	4.07E+00	1.01E+00	4.00E+00
V82	2.19E+00	2.79E+00	2.75E+00
V83	6.52E+00	8.40E+00	1.01E+01
V84	9.90E+00	1.71E+01	1.60E+01
V85	3.46E+01	3.43E+01	3.27E+00
V86	3.31E+00	3.54E+00	2.72E+00
V87	7.11E+00	2.75E+00	6.56E+00
V88	2.53E+01	1.89E+01	1.83E+01
V89	1.45E+01	1.16E+01	3.78E+00
V90	2.14E+01	1.83E+01	2.15E+01
V91	1.79E+01	1.53E+01	1.55E+01
V92	1.40E+01	1.22E+01	1.68E+01
V93	1.98E+01	1.83E+01	9.82E+00
V94	3.47E+00	4.50E+00	5.59E+00
V95	6.10E+00	6.45E+00	5.77E+00
V96	1.10E+01	1.17E+01	1.44E+01
V97	1.33E+01	1.31E+01	2.95E+00
V98	1.33E+01	1.36E+01	1.43E+01
V99	5.41E+00	4.25E+00	5.31E+00
V100	1.37E+01	1.42E+01	1.77E+01
