Samples	ID83A	ID83B	ID83C
V1	1.79E+01	2.32E+01	1.05E+01
V2	2.84E+00	6.24E+00	4.95E+00
V3	2.54E+01	2.77E+01	5.64E+00
V4	1.13E+01	1.11E+01	1.44E+00
V5	1.96E+01	1.82E+01	1.09E+01
V6	6.30E+00	5.39E+00	2.34E+00
V7	3.52E+01	3.71E+01	1.11E+01
V8	2.48E+00	1.20E+01	1.04E+01
V9	1.77E+00	2.14E+00	1.83E+00
V10	3.38E+01	3.38E+01	0.00E+00
V11	2.52E+01	2.31E+01	1.74E+01
V12	8.47E+00	9.91E+00	1.78E+00
V13	2.11E+00	2.25E+00	1.35E+00
V14	5.69E+01	5.67E+01	6.23E-01
V15	4.11E+00	4.92E+00	2.01E+00
V16	1.36E+01	1.71E+01	8.43E+00
V17	4.13E+00	4.69E+00	2.62E+00
V18	8.17E+00	8.67E+00	2.09E+00
V19	2.63E+01	2.65E+01	8.69E-01
V20	1.86E+01	2.37E+01	1.48E+01
V21	6.47E+01	6.57E+01	2.89E+00
V22	2.30E+01	2.53E+01	5.35E+00
V23	6.25E+00	8.42E+00	4.57E+00
V24	2.06E+01	2.46E+01	2.14E+01
V25	1.81E+01	1.83E+01	4.46E+00
V26	8.02E+00	8.53E+00	4.72E+00
V27	7.87E+00	7.60E+00	2.09E+00
V28	2.90E+00	6.52E+00	4.27E+00
V29	3.55E+01	3.55E+01	0.00E+00
V30	3.77E+01	3.70E+01	2.22E+00
V31	1.28E+01	1.47E+01	3.07E+00
V32	8.06E+00	1.02E+01	6.71E+00
V33	2.66E+01	2.66E+01	0.00E+00
V34	1.88E+01	2.07E+01	5.44E+00
V35	1.69E+01	1.51E+01	8.55E+00
V36	9.30E+00	1.08E+01	4.49E+00
V37	1.41E+01	1.36E+01	5.15E+00
V38	8.74E+00	1.99E+01	1.18E+01
V39	8.81E+00	8.92E+00	7.67E-01
V40	1.18E+01	1.04E+01	5.05E+00
V41	1.09E+01	1.08E+01	9.55E-01
V42	1.17E+01	1.00E+01	9.31E+00
V43	2.72E+00	5.53E+00	4.75E+00
V44	8.03E+00	8.53E+00	1.39E+00
V45	2.97E+01	2.92E+01	2.02E+00
V46	3.46E+01	3.45E+01	8.72E-01
V47	1.89E+00	1.98E+00	1.69E+00
V48	1.22E+01	1.20E+01	5.64E+00
V49	8.35E+00	8.11E+00	1.84E+00
V50	4.02E+01	4.05E+01	1.88E+00
V51	1.17E+01	1.09E+01	3.43E+00
V52	9.69E+00	8.83E+00	4.88E+00
V53	9.40E+00	8.78E+00	4.10E+00
V54	2.09E+01	2.25E+01	4.86E+00
V55	9.63E+00	1.33E+01	8.60E+00
V56	6.74E+00	6.17E+00	1.72E+00
V57	7.16E+01	7.63E+01	5.15E+01
V58	1.30E+01	1.44E+01	5.26E+00
V59	4.23E+00	7.50E+00	5.23E+00
V60	2.48E+01	2.64E+01	1.44E+01
V61	1.34E+01	1.28E+01	5.88E+00
V62	3.41E+01	3.98E+01	3.61E+01
V63	7.73E+00	1.40E+01	1.29E+01
V64	7.06E+00	6.57E+00	4.48E+00
V65	1.45E+01	1.34E+01	4.84E+00
V66	1.54E+01	1.67E+01	1.46E+01
V67	1.12E+01	1.22E+01	9.37E+00
V68	7.33E-01	8.52E+00	8.31E+00
V69	3.33E+00	1.97E+01	2.00E+01
V70	0.00E+00	8.00E-01	8.00E-01
V71	5.57E+00	6.64E+00	4.01E+00
V72	1.80E+01	1.81E+01	6.34E+00
V73	4.36E+01	4.38E+01	1.11E+00
V74	2.01E+01	1.98E+01	5.24E+00
V75	8.21E+00	1.09E+01	8.03E+00
V76	5.46E+00	5.29E+00	4.93E+00
V77	1.08E+02	9.52E+01	5.85E+01
V78	1.78E+01	1.87E+01	6.47E+00
V79	1.28E+01	1.45E+01	3.68E+00
V80	4.76E+00	4.25E+00	3.99E+00
V81	3.25E+01	3.28E+01	6.25E+00
V82	4.74E+00	1.49E+01	1.13E+01
V83	1.20E+01	1.21E+01	1.88E+00
V84	1.64E+00	1.33E+00	1.02E+00
V85	1.03E+01	1.18E+01	4.11E+00
V86	1.94E+01	1.94E+01	0.00E+00
V87	1.29E+01	1.57E+01	1.02E+01
V88	2.26E+01	2.19E+01	1.15E+01
V89	1.97E+01	1.89E+01	3.59E+00
V90	7.40E+00	7.62E+00	2.63E+00
V91	7.17E+01	6.32E+01	3.04E+01
V92	9.25E+00	8.78E+00	6.21E+00
V93	1.51E+01	1.55E+01	1.25E+01
V94	3.06E+01	2.67E+01	1.27E+01
V95	1.74E+01	2.46E+01	1.01E+01
V96	2.03E+01	1.90E+01	3.00E+00
V97	2.34E+01	2.34E+01	0.00E+00
V98	1.31E+01	2.05E+01	1.25E+01
V99	2.76E+01	2.76E+01	0.00E+00
V100	4.21E+01	4.18E+01	6.11E-01
