Samples	ID83A	ID83B	ID83C
V1	0	335	233
V2	0	0	373
V3	42	152	155
V4	25	262	3
V5	220	6	135
V6	77	0	28
V7	385	0	250
V8	0	152	7
V9	23	0	49
V10	287	2	0
V11	277	75	5
V12	0	103	39
V13	42	0	51
V14	336	152	0
V15	66	0	60
V16	0	291	50
V17	73	0	56
V18	117	0	43
V19	239	15	3
V20	0	396	63
V21	501	0	63
V22	94	142	65
V23	61	29	106
V24	10	89	280
V25	235	0	103
V26	21	68	3
V27	117	23	51
V28	0	45	110
V29	235	7	0
V30	121	293	43
V31	57	102	20
V32	46	141	63
V33	248	124	0
V34	177	101	72
V35	149	0	9
V36	128	93	65
V37	92	0	128
V38	0	258	3
V39	115	33	10
V40	23	222	6
V41	15	133	6
V42	87	14	29
V43	0	97	24
V44	27	93	6
V45	120	166	0
V46	233	248	1
V47	0	38	45
V48	137	82	67
V49	0	137	14
V50	278	18	22
V51	88	0	56
V52	74	0	113
V53	132	0	139
V54	179	66	166
V55	0	214	126
V56	0	63	24
V57	441	337	6
V58	62	133	105
V59	0	137	7
V60	268	45	181
V61	110	2	36
V62	0	427	16
V63	0	145	169
V64	57	4	10
V65	142	50	36
V66	33	100	21
V67	53	35	32
V68	0	88	305
V69	0	265	17
V70	0	0	125
V71	0	62	1
V72	0	256	9
V73	423	22	17
V74	58	94	220
V75	0	312	15
V76	26	0	114
V77	759	53	78
V78	120	0	522
V79	107	0	103
V80	0	100	4
V81	209	139	11
V82	0	167	19
V83	151	20	26
V84	7	0	36
V85	77	0	147
V86	44	236	0
V87	56	0	487
V88	197	18	35
V89	139	79	0
V90	89	64	90
V91	630	0	74
V92	1	211	113
V93	38	121	111
V94	212	0	347
V95	45	259	243
V96	226	48	57
V97	159	141	3
V98	0	400	72
V99	295	0	0
V100	319	154	0
