MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	1.13E-02	4.98E-04	2.76E-08	1.32E-02
1:Del:C:1	3.14E-03	9.69E-04	6.10E-04	3.91E-03
1:Del:C:2	2.43E-04	7.61E-05	2.28E-05	1.77E-04
1:Del:C:3	2.70E-04	2.08E-04	3.08E-04	6.31E-04
1:Del:C:4	5.30E-04	2.30E-04	2.00E-04	3.72E-04
1:Del:C:5	2.29E-04	3.14E-04	1.96E-04	8.90E-04
1:Del:T:0	2.58E-03	1.12E-03	4.36E-04	3.81E-03
1:Del:T:1	1.59E-03	5.56E-05	2.52E-04	1.66E-03
1:Del:T:2	3.42E-03	3.83E-08	3.41E-04	3.27E-03
1:Del:T:3	3.49E-03	5.34E-04	6.71E-04	3.28E-03
1:Del:T:4	3.77E-03	0.00E+00	6.40E-04	2.00E-03
1:Del:T:5	6.03E-07	6.47E-04	2.02E-07	3.06E-02
1:Ins:C:0	1.50E-04	1.59E-04	8.60E-05	0.00E+00
1:Ins:C:1	7.06E-03	5.74E-03	8.93E-04	8.71E-04
1:Ins:C:2	2.13E-04	1.54E-04	3.02E-05	8.27E-05
1:Ins:C:3	1.10E-03	9.03E-04	3.47E-04	5.92E-04
1:Ins:C:4	2.47E-04	1.59E-04	0.00E+00	3.04E-04
1:Ins:C:5	2.34E-04	1.77E-04	4.13E-04	5.03E-04
1:Ins:T:0	5.47E-04	1.20E-04	1.33E-04	5.74E-04
1:Ins:T:1	3.98E-04	1.12E-04	1.25E-04	4.31E-04
1:Ins:T:2	2.33E-04	2.68E-08	9.12E-05	1.84E-04
1:Ins:T:3	8.29E-05	6.95E-05	3.15E-04	3.64E-04
1:Ins:T:4	4.69E-04	3.27E-04	8.13E-04	2.85E-04
1:Ins:T:5	3.00E-07	2.40E-08	8.69E-03	9.79E-08
2:Del:R:0	6.07E-04	2.28E-03	2.11E-04	5.64E-04
2:Del:R:1	1.11E-03	4.21E-04	6.17E-04	3.14E-04
2:Del:R:2	1.99E-04	9.53E-05	9.36E-05	1.98E-04
2:Del:R:3	2.44E-05	2.95E-08	1.33E-04	1.64E-04
2:Del:R:4	5.50E-05	1.29E-04	1.34E-04	1.70E-04
2:Del:R:5	6.80E-05	3.30E-05	8.27E-05	4.20E-05
3:Del:R:0	7.63E-04	7.21E-04	3.17E-04	4.28E-04
3:Del:R:1	3.53E-04	0.00E+00	3.10E-04	5.03E-04
3:Del:R:2	6.05E-03	5.49E-03	8.73E-04	1.89E-03
3:Del:R:3	4.73E-08	8.63E-05	3.01E-08	5.39E-08
3:Del:R:4	1.05E-08	7.65E-09	2.01E-05	5.83E-09
3:Del:R:5	4.72E-09	1.17E-08	4.23E-05	1.64E-08
4:Del:R:0	4.09E-04	3.45E-04	2.68E-04	1.76E-04
4:Del:R:1	2.08E-04	6.49E-05	3.18E-04	3.14E-04
4:Del:R:2	7.33E-05	7.27E-09	9.72E-05	7.35E-05
4:Del:R:3	4.17E-09	6.06E-09	2.42E-09	5.41E-09
4:Del:R:4	5.18E-08	4.69E-05	3.58E-08	4.82E-08
4:Del:R:5	4.17E-09	6.06E-09	2.42E-09	5.41E-09
5:Del:R:0	1.57E-02	1.03E-02	2.99E-03	2.05E-03
5:Del:R:1	1.05E-04	1.59E-08	4.27E-05	2.60E-04
5:Del:R:2	1.57E-04	1.27E-04	7.59E-05	1.27E-04
5:Del:R:3	4.17E-09	6.06E-09	2.42E-09	5.41E-09
5:Del:R:4	4.17E-09	6.06E-09	2.42E-09	5.41E-09
5:Del:R:5	4.93E-08	2.88E-05	3.35E-08	5.49E-08
2:Ins:R:0	3.02E-04	4.09E-04	0.00E+00	2.94E-04
2:Ins:R:1	3.08E-04	1.61E-04	6.96E-06	1.78E-04
2:Ins:R:2	9.28E-05	9.82E-05	4.44E-05	1.82E-04
2:Ins:R:3	9.95E-05	8.76E-05	1.02E-04	1.21E-04
2:Ins:R:4	2.34E-09	4.33E-08	1.22E-04	2.14E-04
2:Ins:R:5	2.25E-04	2.50E-04	7.37E-04	8.92E-04
3:Ins:R:0	1.14E-04	2.98E-08	5.20E-05	7.78E-05
3:Ins:R:1	1.38E-04	3.57E-05	4.97E-06	1.51E-04
3:Ins:R:2	2.66E-05	5.80E-08	2.81E-08	6.57E-05
3:Ins:R:3	5.52E-08	6.99E-08	3.48E-08	4.24E-05
3:Ins:R:4	1.16E-03	1.41E-03	3.37E-04	3.14E-04
3:Ins:R:5	4.04E-05	1.02E-04	1.87E-04	4.06E-05
4:Ins:R:0	4.05E-05	1.06E-04	1.71E-09	2.97E-05
4:Ins:R:1	3.96E-05	1.38E-05	2.09E-04	1.74E-04
4:Ins:R:2	1.95E-03	1.72E-03	5.47E-04	3.47E-04
4:Ins:R:3	4.58E-08	5.51E-08	2.83E-08	6.93E-05
4:Ins:R:4	0.00E+00	8.90E-05	3.63E-05	1.15E-04
4:Ins:R:5	1.25E-04	1.50E-04	1.54E-04	2.31E-04
5:Ins:R:0	8.10E-05	7.41E-05	1.50E-05	4.10E-05
5:Ins:R:1	4.78E-04	3.47E-04	3.78E-04	7.96E-05
5:Ins:R:2	4.93E-08	4.51E-05	4.18E-05	6.08E-08
5:Ins:R:3	9.38E-06	2.17E-08	7.61E-05	9.99E-05
5:Ins:R:4	1.63E-02	1.45E-02	1.03E-03	2.60E-03
5:Ins:R:5	4.92E-05	5.27E-05	1.48E-05	3.69E-08
2:Del:M:1	4.03E-04	2.25E-04	2.68E-04	3.87E-04
3:Del:M:1	6.84E-08	7.35E-03	2.76E-04	8.98E-04
3:Del:M:2	2.87E-04	2.60E-04	1.97E-04	5.22E-04
4:Del:M:1	3.98E-04	2.18E-04	2.51E-04	9.70E-05
4:Del:M:2	2.21E-04	1.27E-04	1.18E-04	2.93E-04
4:Del:M:3	9.42E-05	1.27E-04	4.51E-05	1.95E-04
5:Del:M:1	1.73E-02	1.33E-02	3.47E-03	2.36E-03
