Samples	ID83A	ID83B	ID83C	ID83D
V1	1.43E+01	1.41E+01	0.00E+00	3.01E+00
V2	2.26E+00	4.97E+00	2.63E+00	4.72E+00
V3	1.05E+01	6.16E+00	1.69E+00	6.34E+00
V4	4.35E+00	1.00E-01	4.52E+00	7.57E-01
V5	7.31E+00	7.47E+00	8.03E+00	9.64E+00
V6	1.29E+01	1.31E+01	1.48E+00	1.27E+00
V7	7.68E+00	7.56E+00	9.87E-01	6.79E+00
V8	6.15E+00	1.66E+01	4.07E-01	1.63E+01
V9	9.65E+00	7.49E+00	2.45E+00	3.74E+00
V10	8.30E+00	7.94E+00	1.94E+00	2.21E-01
V11	3.11E+01	2.41E+01	2.02E+00	2.31E+01
V12	4.87E+00	1.04E+01	0.00E+00	1.44E+01
V13	2.08E+00	1.00E-01	2.31E+00	1.88E+00
V14	6.91E+00	5.91E+00	2.16E+00	6.32E+00
V15	4.78E+00	3.28E+00	0.00E+00	3.00E+00
V16	3.66E+00	2.50E+00	1.93E+00	5.54E+00
V17	1.86E+01	1.45E+01	1.11E+00	7.27E+00
V18	5.51E+00	4.69E+00	3.40E-01	1.60E+00
V19	5.94E+00	7.54E+00	1.67E+00	4.34E+00
V20	1.31E+01	1.91E+01	9.09E-01	1.71E+01
V21	2.06E+01	1.63E+01	2.00E-01	6.17E+00
V22	1.13E+01	9.86E+00	4.40E+00	6.62E+00
V23	2.43E+01	2.98E+01	1.73E+00	2.14E+01
V24	7.48E+00	5.71E+00	8.17E-01	6.57E+00
V25	1.83E+01	5.70E+00	1.14E+00	1.35E+01
V26	1.40E+01	9.73E+00	1.39E+00	7.56E+00
V27	4.27E-01	9.05E+00	2.17E+00	8.56E+00
V28	4.67E+00	5.45E+00	2.52E+00	2.76E+00
V29	3.86E+01	3.01E+01	7.30E-01	9.14E+00
V30	6.40E+00	3.10E+01	9.00E-01	3.65E+01
V31	1.02E+00	2.73E+00	1.72E+00	2.05E+00
V32	9.67E+00	9.72E+00	8.49E-01	2.00E-01
V33	4.65E+00	5.85E+00	4.01E+00	6.26E+00
V34	0.00E+00	1.57E+01	3.17E+00	1.43E+01
