Samples	ID1	ID2	ID8	ID9	ID83B	ID83C
V1	139	30	119	64	80	0
V2	33	166	0	0	51	84
V3	172	0	0	160	0	0
V4	30	80	0	224	36	0
V5	0	37	0	101	140	0
V6	250	162	0	577	83	47
V7	12	0	80	0	0	0
V8	32	225	100	0	44	0
V9	48	20	0	24	115	0
V10	49	33	100	66	0	0
V11	29	75	0	0	38	0
V12	0	243	0	186	0	92
V13	414	0	0	84	81	55
V14	141	39	0	0	204	0
V15	0	34	110	65	98	0
V16	215	0	0	0	182	0
V17	93	0	169	0	0	34
V18	0	52	162	0	85	220
V19	0	78	0	0	239	109
V20	206	0	0	0	288	0
V21	15	0	0	53	28	105
V22	0	0	0	158	0	28
V23	140	12	0	0	34	42
V24	141	46	0	226	0	40
V25	34	74	0	110	0	190
V26	0	49	0	0	0	406
V27	0	56	0	0	215	46
V28	20	0	37	12	23	8
V29	201	0	0	0	76	0
V30	211	43	0	0	149	53
V31	31	0	56	0	105	31
V32	55	0	0	57	280	61
V33	14	0	36	25	41	81
V34	0	37	0	33	0	8
V35	135	22	50	0	17	52
V36	0	0	245	0	0	95
V37	0	0	32	0	0	54
V38	145	263	200	0	0	100
V39	0	90	33	0	0	46
V40	151	0	105	201	0	96
V41	0	287	0	0	0	0
V42	0	29	0	16	0	34
V43	62	103	129	0	71	110
V44	0	0	0	50	18	130
V45	99	0	224	0	304	0
V46	0	183	0	0	78	39
V47	38	41	0	0	269	0
V48	0	0	243	0	63	0
V49	104	0	0	53	0	185
V50	62	241	0	0	0	62
V51	0	0	0	0	214	0
V52	0	0	0	20	32	63
V53	0	36	0	147	256	0
V54	0	21	0	51	0	0
V55	44	81	60	164	43	34
V56	0	183	0	0	0	37
V57	36	16	0	0	141	76
V58	0	146	283	103	0	0
V59	236	115	142	0	33	48
V60	0	0	169	0	0	158
V61	361	0	0	0	0	41
V62	0	54	0	86	0	80
V63	187	35	383	0	0	0
V64	298	0	147	0	0	290
V65	137	67	0	0	0	29
V66	0	0	0	0	235	90
V67	13	79	0	0	0	37
V68	82	226	227	0	127	0
V69	33	128	0	0	0	40
V70	61	137	0	0	86	74
V71	22	0	129	182	0	53
V72	69	0	0	0	74	17
V73	51	0	0	32	26	0
V74	96	26	69	256	26	91
V75	41	0	0	0	0	37
V76	0	305	0	137	48	346
V77	0	0	0	0	226	0
V78	28	0	171	28	52	0
V79	86	0	0	78	16	71
V80	342	0	0	0	99	54
V81	144	0	0	0	51	52
V82	0	66	0	22	0	49
V83	40	13	48	78	64	0
V84	0	33	0	0	0	396
V85	0	116	201	0	32	99
V86	49	0	0	149	55	34
V87	117	40	329	0	98	0
V88	108	0	56	0	0	0
V89	76	52	81	46	76	19
V90	196	0	227	0	230	0
V91	0	58	111	0	0	76
V92	39	0	0	0	254	0
V93	59	0	0	44	112	0
V94	270	55	0	73	0	131
V95	0	78	0	48	32	119
V96	95	0	231	0	0	0
V97	176	31	0	0	209	106
V98	203	0	0	75	61	0
V99	0	0	0	77	175	0
V100	291	0	0	172	0	38
