MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	1.04E-03	2.57E-05	3.59E-03	1.80E-03	4.40E-04	3.82E-02	6.70E-03	4.12E-03	3.76E-02	5.84E-02	1.74E-02	1.60E-03
1:Del:C:1	1.59E-08	2.72E-04	1.95E-03	0.00E+00	8.84E-04	1.70E-02	5.39E-03	5.70E-03	3.86E-02	9.22E-03	2.92E-03	1.88E-03
1:Del:C:2	0.00E+00	3.41E-04	8.46E-04	0.00E+00	3.65E-04	7.47E-04	3.04E-04	2.52E-03	2.00E-03	9.77E-05	1.38E-03	7.54E-05
1:Del:C:3	1.03E-04	6.97E-04	0.00E+00	4.69E-08	2.24E-04	2.45E-03	1.59E-03	3.45E-03	6.70E-03	2.47E-30	1.82E-03	0.00E+00
1:Del:C:4	2.18E-04	2.69E-04	0.00E+00	5.21E-04	6.05E-04	2.96E-03	1.36E-03	1.37E-03	4.03E-03	1.54E-03	1.94E-03	1.99E-03
1:Del:C:5	7.52E-05	1.79E-04	1.84E-05	2.13E-03	0.00E+00	1.00E-03	1.81E-04	8.84E-04	3.19E-04	3.37E-03	4.62E-03	3.10E-04
1:Del:T:0	5.44E-08	5.72E-08	3.72E-03	1.47E-03	5.34E-04	1.78E-02	3.64E-03	5.85E-03	1.62E-02	4.39E-02	2.46E-02	1.12E-02
1:Del:T:1	3.33E-04	8.04E-04	1.40E-03	5.96E-04	8.82E-04	9.25E-03	9.35E-04	3.93E-03	1.41E-02	3.87E-03	6.97E-03	5.91E-03
1:Del:T:2	5.67E-04	9.52E-04	6.34E-04	2.94E-03	5.81E-04	1.54E-02	5.32E-04	1.14E-03	1.37E-02	2.43E-02	3.96E-02	3.63E-04
1:Del:T:3	3.41E-08	2.50E-04	1.40E-46	2.31E-03	1.15E-03	1.41E-02	2.94E-03	2.55E-07	3.34E-02	4.48E-02	7.41E-03	9.71E-04
1:Del:T:4	7.78E-04	0.00E+00	0.00E+00	6.35E-03	0.00E+00	1.68E-02	5.02E-04	3.39E-03	1.74E-02	1.39E-02	1.96E-02	9.81E-46
1:Del:T:5	7.16E-08	1.43E-07	4.23E-06	1.40E-02	1.36E-08	3.70E-04	1.13E-03	6.81E-07	1.14E-03	8.27E-02	6.28E-02	9.23E-07
1:Ins:C:0	2.42E-04	0.00E+00	9.01E-04	1.67E-08	4.78E-04	0.00E+00	3.52E-04	3.91E-04	0.00E+00	0.00E+00	3.57E-04	3.98E-04
1:Ins:C:1	3.97E-08	2.24E-07	4.89E-04	3.59E-07	1.32E-02	4.90E-04	1.80E-03	3.72E-03	4.90E-07	2.68E-07	5.48E-02	2.64E-02
1:Ins:C:2	8.60E-08	2.03E-07	8.78E-04	4.08E-07	4.04E-02	1.87E-07	1.65E-07	1.29E-03	2.91E-07	3.83E-04	6.25E-02	8.00E-02
1:Ins:C:3	2.71E-08	1.29E-04	2.53E-04	5.26E-05	4.84E-07	2.74E-07	0.00E+00	1.68E-03	3.14E-08	2.16E-04	8.68E-05	8.04E-05
1:Ins:C:4	0.00E+00	7.51E-04	0.00E+00	6.47E-04	5.67E-04	6.08E-04	2.48E-04	5.56E-03	3.16E-05	2.25E-04	5.82E-04	1.71E-03
