MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	9.78E-05	6.22E-03	1.36E-03	6.03E-03	4.22E-03	1.37E-03	4.59E-02
1:Del:C:1	1.21E-04	1.84E-03	2.72E-04	3.50E-03	1.31E-03	7.59E-05	1.58E-02
1:Del:C:2	1.34E-04	3.22E-04	7.79E-05	6.56E-04	0.00E+00	1.65E-04	2.35E-03
1:Del:C:3	1.56E-04	1.15E-03	4.62E-04	9.50E-04	1.40E-04	4.11E-04	4.09E-03
1:Del:C:4	2.45E-04	1.11E-03	6.26E-04	1.24E-04	5.76E-04	2.96E-04	6.71E-03
1:Del:C:5	0.00E+00	2.41E-04	4.97E-04	4.38E-04	2.80E-04	6.27E-04	2.66E-03
1:Del:T:0	1.26E-04	2.61E-03	0.00E+00	1.42E-03	9.93E-04	9.82E-04	1.26E-02
1:Del:T:1	0.00E+00	1.95E-03	4.81E-08	1.12E-03	1.15E-04	1.72E-04	1.96E-03
1:Del:T:2	1.09E-08	1.42E-03	3.87E-04	1.05E-03	2.85E-04	1.48E-03	1.17E-02
1:Del:T:3	4.84E-04	1.83E-03	1.09E-03	1.77E-03	8.95E-04	1.71E-03	1.29E-02
1:Del:T:4	6.07E-04	3.57E-03	1.23E-03	0.00E+00	1.25E-03	1.65E-03	6.13E-03
1:Del:T:5	2.00E-04	3.90E-08	8.21E-08	3.75E-06	3.57E-07	3.49E-03	1.43E-03
1:Ins:C:0	7.90E-09	9.17E-05	2.54E-08	6.15E-04	1.82E-07	8.27E-07	1.08E-03
1:Ins:C:1	3.63E-05	7.82E-08	1.92E-08	3.85E-04	1.74E-08	5.43E-08	1.70E-04
1:Ins:C:2	1.63E-08	1.22E-04	3.61E-05	1.08E-04	4.68E-08	5.47E-08	6.67E-04
1:Ins:C:3	1.39E-04	8.84E-04	5.32E-08	2.50E-07	1.87E-02	2.90E-04	3.17E-02
1:Ins:C:4	8.78E-05	5.79E-09	3.81E-04	1.68E-04	1.68E-04	2.27E-04	1.99E-04
1:Ins:C:5	2.47E-04	1.20E-04	1.22E-03	0.00E+00	8.63E-05	4.12E-04	1.74E-03
1:Ins:T:0	1.19E-04	1.63E-03	5.04E-04	6.61E-04	5.34E-04	1.82E-04	4.56E-03
