Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
V1	2.01E+00	3.91E+00	2.77E+00	3.62E+00	5.28E+00	4.23E-01	1.18E+00	3.57E+00	6.06E+00	5.19E+00	8.72E-01	2.19E+00
V2	1.90E+00	2.49E-01	2.32E+00	0.00E+00	5.71E+00	3.81E+00	3.91E+00	0.00E+00	3.33E+00	5.10E+00	3.28E+00	2.14E+00
V3	2.15E+00	3.04E+00	5.84E+00	4.01E-01	4.25E+00	4.31E+00	6.66E+00	9.98E-01	3.59E+00	5.65E+00	4.57E+00	5.60E+00
V4	2.49E-01	0.00E+00	3.35E-01	1.61E+00	0.00E+00	3.29E+00	3.56E+00	2.00E+00	0.00E+00	2.46E+00	1.20E+00	0.00E+00
V5	4.44E+00	1.33E-01	3.44E+00	8.75E+00	2.99E+00	4.08E+00	4.57E+00	7.80E+00	2.27E+00	1.14E+01	2.92E+00	8.09E+00
V6	9.60E-01	3.89E+00	3.75E+00	4.01E-01	1.30E+01	2.49E+00	1.40E+00	2.13E-01	1.21E+01	1.42E+00	7.70E+00	3.30E+00
V7	4.83E+00	0.00E+00	3.09E+00	7.34E-01	9.83E+00	9.00E-01	5.63E-01	6.83E-01	7.45E+00	1.33E+01	1.39E+00	3.83E+00
V8	1.28E+00	1.31E+00	7.12E-01	9.47E+00	1.48E+00	8.03E-01	3.96E-01	1.07E+01	2.09E+00	1.70E+00	1.63E+00	5.33E-01
V9	3.40E-01	1.33E+00	1.83E+00	7.57E-01	1.59E+00	2.10E+00	2.74E+00	9.09E-01	1.56E+00	1.31E+00	8.49E-01	1.65E+00
V10	1.98E+00	6.73E+00	3.17E+00	1.53E-01	1.13E+00	0.00E+00	4.42E-01	2.13E-01	6.39E+00	1.20E+00	3.06E-01	2.75E+00
V11	1.92E+00	2.60E+00	1.15E+00	2.67E-01	2.64E+00	1.24E+01	1.40E+01	2.13E-01	3.34E+00	3.64E+00	6.41E+00	1.01E+00
V12	3.33E-01	2.07E+00	2.62E+00	4.86E+00	8.44E-01	0.00E+00	7.92E-01	3.44E+00	2.20E+00	4.28E+00	0.00E+00	2.49E+00
V13	3.14E-01	1.40E+00	1.25E+00	1.04E+01	0.00E+00	3.00E-01	2.28E+00	1.11E+01	5.17E-01	2.40E+00	1.70E+00	1.67E+00
V14	2.48E+00	7.22E-01	4.82E-01	9.57E+00	2.00E-01	1.47E+00	1.43E+00	1.26E+01	3.94E-01	9.31E+00	1.40E+00	1.94E+00
V15	1.48E+00	1.39E+00	1.89E+00	1.99E+00	3.08E+00	0.00E+00	0.00E+00	4.43E+00	2.97E+00	2.63E+00	1.39E+00	3.75E+00
V16	2.54E+00	8.72E-01	1.97E+00	7.56E+00	0.00E+00	4.68E+00	4.24E+00	7.65E+00	6.00E-01	4.93E+00	2.30E+00	1.33E+00
V17	1.17E+00	1.97E+00	6.57E-01	2.24E-01	4.76E-01	1.62E+00	2.53E+00	1.00E-01	1.50E+00	1.03E+00	0.00E+00	3.00E-01
V18	8.31E-01	8.67E-01	2.32E+00	5.09E+00	1.06E+00	3.26E+00	3.08E+00	3.68E+00	1.04E+00	2.08E+00	2.00E-01	4.01E-01
V19	2.60E+00	0.00E+00	5.41E+00	1.23E+01	0.00E+00	0.00E+00	0.00E+00	1.19E+01	0.00E+00	1.01E+00	3.42E-01	6.35E+00
V20	2.21E+00	1.33E-01	1.20E+01	5.72E+00	2.49E+00	5.96E-01	0.00E+00	6.53E+00	1.09E+00	6.22E+00	6.63E-01	1.25E+01
V21	9.75E-01	6.67E-01	2.08E+00	1.46E+00	0.00E+00	5.41E+00	8.04E+00	1.03E+00	4.73E-01	2.87E+00	3.26E+00	1.61E+00
V22	1.98E+00	4.63E+00	2.11E+00	0.00E+00	3.06E-01	1.20E+01	1.04E+01	0.00E+00	2.25E+00	5.38E+00	1.25E+00	3.37E+00
V23	1.64E+00	7.52E+00	5.99E+00	2.26E+01	5.90E+00	7.18E+00	9.38E+00	1.95E+01	8.27E+00	1.73E+01	7.80E+00	4.90E+00
V24	1.60E+00	5.04E-01	7.18E-01	1.56E+01	1.29E+00	1.14E+00	1.02E+00	1.58E+01	1.13E+00	4.03E+00	1.29E+00	1.14E+00
