Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	61	0	82	11	10	15	38	11	0	14	0	42	4
V2	4	45	0	7	0	37	0	63	5	86	3	0	3
V3	21	42	31	2	0	0	70	62	0	19	8	0	0
V4	0	0	14	79	22	68	10	101	48	5	11	7	5
V5	29	0	127	27	13	17	59	0	0	0	0	0	0
V6	0	24	19	0	0	0	18	0	0	1	0	0	2
V7	17	55	0	18	59	8	0	6	0	0	72	14	0
V8	160	76	15	3	7	7	4	1	1	2	0	1	5
V9	12	129	9	6	5	0	57	0	0	0	0	0	9
V10	9	0	143	1	8	2	32	36	0	5	0	0	4
V11	2	1	21	26	4	53	36	6	69	8	0	47	19
V12	0	61	129	41	18	70	4	14	40	10	72	38	2
V13	105	15	4	26	6	7	0	17	14	5	0	19	0
V14	74	0	76	241	1	149	35	0	1	0	0	0	0
V15	18	73	1	1	71	3	3	13	7	13	0	2	1
V16	113	0	13	45	30	45	9	11	0	0	98	21	8
V17	20	0	33	42	0	69	41	8	0	137	0	0	40
V18	18	38	6	35	0	83	0	0	0	0	0	70	0
V19	28	22	3	42	1	47	5	4	27	12	0	64	0
V20	63	169	0	10	75	5	0	0	37	0	0	10	0
V21	4	0	68	38	12	25	38	78	5	79	0	0	0
V22	152	2	27	10	8	12	41	2	23	0	0	8	5
V23	3	4	1	86	17	60	12	3	0	3	0	0	10
V24	15	2	7	0	0	3	3	23	0	12	0	1	9
V25	37	80	10	9	2	4	2	0	7	9	30	7	0
V26	176	0	111	0	0	6	32	4	0	0	0	35	0
V27	0	10	3	0	69	5	0	8	40	11	0	2	0
V28	9	0	55	71	38	22	59	14	0	3	0	88	0
V29	3	0	0	62	20	112	0	18	1	59	0	8	37
V30	0	7	0	4	2	4	1	18	0	9	0	0	4
V31	17	193	25	4	378	18	22	14	0	5	0	0	0
V32	0	3	4	127	0	275	0	24	22	3	11	0	13
V33	63	0	4	1	4	12	22	25	0	64	0	0	5
V34	200	2	12	11	8	7	30	0	0	0	0	0	0
V35	6	252	7	41	10	8	3	82	16	19	0	0	77
V36	16	151	1	1	48	4	3	4	84	0	0	0	0
V37	0	3	3	0	131	1	2	35	143	9	18	0	0
V38	25	40	8	30	8	29	0	12	0	0	7	17	19
V39	32	72	19	39	0	30	0	63	0	110	10	28	6
V40	11	21	7	19	0	9	0	8	0	11	23	1	0
V41	35	57	0	1	5	15	2	78	20	38	4	0	60
V42	67	121	10	11	39	5	33	69	114	5	131	4	0
V43	42	0	79	20	3	46	12	47	0	38	0	0	44
V44	135	87	88	11	0	0	55	28	0	36	19	0	33
V45	0	83	0	55	40	33	0	0	58	23	0	7	21
V46	14	0	99	1	5	0	28	2	4	2	0	0	0
V47	82	10	2	191	0	101	2	2	0	9	0	44	1
V48	49	188	9	10	0	29	21	10	24	14	0	0	24
V49	24	0	126	4	0	12	36	45	33	77	4	43	0
V50	2	23	40	4	27	8	40	7	39	2	0	17	0
V51	2	18	0	73	1	159	0	2	0	4	0	27	4
V52	37	0	4	165	24	59	0	6	0	7	0	26	0
V53	0	525	12	0	0	0	13	19	0	15	0	13	108
V54	2	40	72	78	1	29	20	7	0	4	0	58	0
V55	289	38	4	19	0	20	6	2	0	14	0	29	0
V56	10	0	194	27	155	0	341	41	0	6	0	0	0
V57	11	0	0	5	149	2	0	15	39	7	29	16	3
V58	18	1	10	8	29	4	0	2	65	0	0	5	0
V59	16	0	217	12	0	4	312	0	0	0	0	0	0
V60	46	0	22	0	7	0	2	8	0	2	14	0	0
V61	11	18	4	14	7	0	5	2	48	1	86	12	0
