MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	0.01611126260831952	0.007388363010250032	0.25118023008108137	0.3407420814037323	0.007786143256817013	0.0004908984526991844
1:Del:C:1	0.0219442343339324	0.0	0.005909630045061931	0.09219850003719329	6.475522008031476e-06	0.0029077028542019434
1:Del:C:2	0.001851119070488494	0.00010792486573336646	0.0001254832130033634	0.0035372331156395377	5.155858536056712e-05	0.00028138824248884474
1:Del:C:3	0.004215557384304703	0.0023155598319135606	0.00026602059369906783	0.011748782498762012	0.0	0.0015865552239120006
1:Del:C:4	5.99594961386174e-05	0.002985595667269081	0.001237974656024221	0.011711075808852911	0.00016994860488921403	0.0
1:Del:C:5	0.0	0.012832386046648025	0.000378485534301376	0.0	0.00025188691161872614	0.005554326111450791
1:Del:T:0	0.032779302634298804	0.01091865049675107	0.0001272654626518488	0.10025739893317223	0.0010917399660684169	0.00145028360420838
1:Del:T:1	0.012997935432940722	0.0	0.0019172976142726838	0.039233690872788426	0.00029958143500721237	0.00013099763010089306
1:Del:T:2	0.0011228668037801981	0.011042310623452067	0.000691427179879156	0.08723624944686889	0.000827558501623571	0.0011558058147784322
1:Del:T:3	0.01414788831025362	0.021627503167837858	0.0	0.11358026787638664	8.751587857886989e-05	0.00017771434504538776
1:Del:T:4	7.102602467057295e-05	0.046016693115234375	0.0017513509839773179	0.101909239590168	1.4012984643248171e-46	0.004963224072707817
1:Del:T:5	2.2568872282135998e-08	0.8208367586135864	9.21081181104455e-08	0.0007220378207605904	0.0018412996908409695	8.559174773381528e-08
1:Ins:C:0	0.0037811422953382134	2.4310643105707188e-06	3.155832430934424e-08	3.4670988924290216e-08	8.302818486072283e-08	1.038313360623988e-07
1:Ins:C:1	0.002194206847343594	4.5362943765780985e-07	0.00014928824898454706	4.215290342415301e-05	5.547270656158787e-08	3.6773008105228654e-08
1:Ins:C:2	0.0017659925273619593	2.8162545717691502e-08	0.0001496035140220897	0.00045341402062319957	2.660249138752846e-08	1.5214470371915922e-05
1:Ins:C:3	6.248381190232521e-09	5.3517814990300394e-05	2.33191629561702e-08	0.0006640839830769352	2.5710646411880588e-08	0.00032633270154809325
1:Ins:C:4	0.0009034478091052734	0.0010769331398478243	0.0013859334692824631	0.0009074017783859744	0.00014929748576832935	0.0013887712499126791
1:Ins:C:5	0.001425991696305573	0.008831543428823353	0.0007310325367143377	0.0001229291781783104	0.0014815074857324362	0.018476393539458513
1:Ins:T:0	0.0037001859513111413	0.0004193954985993287	0.00044179726392030717	0.016851062420755625	0.0008260157400471257	0.000592606705322396
1:Ins:T:1	0.00621721544303	0.0002453653230190866	0.0008061876316787675	0.007427574461326003	0.00021866155414613787	0.0
1:Ins:T:2	0.00012227605329826475	0.0008523392833410526	5.6739841689790185e-05	0.001955614786129445	2.1482105694303755e-08	0.00014688733192471659
1:Ins:T:3	0.00030185523501131685	0.0011133698139019544	0.0004105762862309348	0.0010206623424892313	0.0013796746730804442	0.004471772606484592
1:Ins:T:4	0.000851590019010473	0.003920673415996135	0.0	0.0007353767810855061	0.00026405325625091793	0.017684110905975103
1:Ins:T:5	0.011845599161460996	3.504524670461251e-07	0.0005953257903456687	0.0019968780057922687	0.0002717679787167526	0.8915523231029511
2:Del:R:0	0.007179572526365518	0.00017674933187663555	0.00031468173838220535	0.014806371182203293	0.0008669445815030485	0.0012510143630379388
2:Del:R:1	0.009673283901065588	0.002381732955109328	0.00024363221600651742	0.003288168553262949	0.0015048306551761926	0.002027759190959103
