MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	7.77E-05	7.27E-04	9.31E-05	3.90E-04
1:Del:C:1	6.76E-05	4.41E-04	6.44E-05	4.01E-04
1:Del:C:2	4.92E-05	2.92E-04	1.08E-04	2.09E-04
1:Del:C:3	8.39E-05	1.64E-04	6.99E-10	1.48E-04
1:Del:C:4	1.17E-04	1.26E-04	1.26E-09	1.75E-04
1:Del:C:5	2.95E-04	1.76E-04	8.47E-05	1.63E-04
1:Del:T:0	8.28E-05	5.26E-04	6.79E-05	3.97E-04
1:Del:T:1	8.18E-05	3.63E-04	7.53E-05	2.70E-04
1:Del:T:2	8.89E-05	4.34E-04	5.96E-05	4.09E-04
1:Del:T:3	2.83E-04	3.92E-04	6.90E-05	4.35E-04
1:Del:T:4	4.59E-04	3.10E-04	1.57E-04	4.65E-04
1:Del:T:5	4.43E-03	2.26E-03	4.17E-04	2.41E-03
1:Ins:C:0	1.10E-03	5.05E-04	5.47E-03	6.89E-04
1:Ins:C:1	1.76E-04	0.00E+00	1.14E-03	2.68E-04
1:Ins:C:2	8.14E-05	1.58E-04	4.76E-04	7.68E-05
1:Ins:C:3	3.46E-05	4.24E-05	9.74E-05	1.74E-05
1:Ins:C:4	2.03E-05	1.08E-05	1.54E-04	2.12E-05
1:Ins:C:5	4.37E-05	2.44E-05	6.59E-05	0.00E+00
1:Ins:T:0	2.62E-03	3.51E-03	2.90E-03	2.92E-03
1:Ins:T:1	9.77E-04	1.35E-03	1.60E-03	1.26E-03
1:Ins:T:2	3.20E-04	6.64E-04	7.54E-04	9.78E-05
1:Ins:T:3	2.39E-04	2.58E-04	5.16E-04	2.03E-04
1:Ins:T:4	2.11E-04	3.45E-04	6.91E-04	2.21E-04
1:Ins:T:5	1.43E-04	3.86E-04	6.69E-04	3.02E-04
2:Del:R:0	7.62E-05	2.47E-04	3.38E-10	2.58E-04
2:Del:R:1	8.38E-05	2.26E-04	8.20E-05	3.49E-04
2:Del:R:2	9.42E-05	1.38E-04	2.50E-05	1.31E-04
2:Del:R:3	9.08E-05	5.76E-05	1.18E-09	9.46E-05
2:Del:R:4	6.04E-05	2.93E-05	9.59E-10	4.10E-05
2:Del:R:5	6.69E-05	1.29E-04	7.47E-10	1.57E-04
3:Del:R:0	2.90E-05	1.61E-04	3.89E-05	2.49E-04
3:Del:R:1	1.11E-04	3.19E-04	5.36E-05	3.00E-04
3:Del:R:2	2.46E-05	1.35E-04	1.80E-05	1.22E-04
3:Del:R:3	3.27E-05	4.88E-05	3.80E-05	3.58E-05
3:Del:R:4	6.91E-06	6.44E-05	3.36E-10	7.70E-05
3:Del:R:5	3.21E-05	8.78E-05	1.77E-09	5.71E-05
4:Del:R:0	2.32E-06	1.16E-04	8.77E-10	2.47E-04
4:Del:R:1	5.24E-05	2.41E-04	5.02E-05	1.63E-04
4:Del:R:2	1.30E-05	7.63E-05	3.49E-10	9.79E-05
4:Del:R:3	1.68E-05	5.08E-05	4.03E-09	5.33E-05
4:Del:R:4	1.36E-05	4.96E-05	7.61E-10	6.90E-05
4:Del:R:5	2.20E-05	5.03E-05	2.94E-09	5.14E-05
5:Del:R:0	4.09E-05	4.90E-04	1.34E-04	8.67E-04
