NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	67.376	27.319	15.922	17.573	0.155	0.978	20000.0
2	68.487	28.052	16.265	18.23	0.157	0.977	30000.0
3	66.705	27.411	15.711	17.86	0.148	0.979	20000.0
4	66.99	27.549	15.75	17.938	0.152	0.978	30000.0
5	69.758	27.888	16.247	18.056	0.157	0.978	20000.0
6	66.544	27.347	15.36	17.643	0.153	0.978	20000.0
7	67.007	27.05	15.667	17.379	0.15	0.979	20000.0
8	66.54	27.291	15.503	17.594	0.153	0.979	30000.0
9	67.788	27.753	16.014	17.97	0.159	0.978	20000.0
10	69.921	28.066	16.873	18.437	0.153	0.978	20000.0
