NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	101.742	39.231	32.278	30.544	0.225	0.932	30000.0
2	94.606	34.961	24.964	24.158	0.204	0.953	20000.0
3	105.814	41.206	35.757	32.136	0.24	0.925	30000.0
4	107.67	40.768	38.933	33.012	0.226	0.922	20000.0
5	104.297	40.267	35.588	32.037	0.234	0.925	40000.0
6	107.804	40.199	38.266	31.801	0.225	0.924	20000.0
7	99.829	38.608	31.406	29.899	0.218	0.936	30000.0
8	99.826	38.46	31.542	29.945	0.225	0.934	20000.0
9	109.553	40.754	36.554	32.701	0.234	0.924	30000.0
10	105.635	40.079	35.533	31.416	0.232	0.928	20000.0
