MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	4.17E-04	3.27E-08	2.27E-15	7.32E-05	3.25E-02	4.55E-03	7.37E-03	5.44E-03
1:Del:C:1	0.00E+00	7.94E-04	4.41E-04	4.95E-04	6.68E-03	5.61E-03	4.73E-03	3.16E-02
1:Del:C:2	5.41E-08	3.71E-08	6.29E-05	7.66E-09	4.95E-04	1.54E-04	2.39E-04	6.87E-04
1:Del:C:3	6.50E-04	2.62E-04	1.54E-04	2.75E-04	1.45E-03	1.46E-03	1.85E-03	3.46E-03
1:Del:C:4	1.30E-05	1.62E-04	1.58E-04	0.00E+00	1.18E-03	4.45E-04	1.07E-03	1.72E-03
1:Del:C:5	6.47E-04	5.13E-04	9.39E-04	1.26E-04	6.69E-05	1.04E-04	3.11E-04	4.15E-03
1:Del:T:0	6.62E-05	2.69E-04	1.76E-03	6.83E-04	9.40E-03	5.53E-03	7.69E-03	2.66E-02
1:Del:T:1	1.40E-04	2.10E-08	1.09E-04	1.97E-04	3.64E-03	2.15E-03	1.45E-07	1.26E-02
1:Del:T:2	2.41E-04	2.63E-08	2.68E-04	1.12E-03	2.13E-03	1.25E-03	1.89E-04	1.73E-02
1:Del:T:3	2.31E-05	7.30E-04	2.00E-03	9.38E-05	1.17E-02	1.23E-03	1.03E-03	3.68E-02
1:Del:T:4	2.04E-03	4.51E-04	1.37E-03	5.60E-04	4.55E-03	8.78E-04	1.07E-03	1.82E-02
1:Del:T:5	7.63E-08	5.97E-08	5.31E-03	5.55E-03	1.22E-07	5.50E-04	4.02E-03	8.55E-06
1:Ins:C:0	4.01E-07	3.78E-07	0.00E+00	1.42E-08	4.01E-08	3.72E-04	3.35E-04	3.34E-04
1:Ins:C:1	2.21E-04	1.07E-08	1.54E-04	2.64E-05	3.27E-08	4.68E-04	5.25E-04	1.95E-04
1:Ins:C:2	3.54E-08	3.08E-08	0.00E+00	3.27E-08	6.24E-05	5.73E-05	1.76E-04	1.63E-04
1:Ins:C:3	1.88E-04	1.00E-04	1.10E-04	0.00E+00	1.05E-08	9.63E-05	4.76E-04	2.94E-04
1:Ins:C:4	1.67E-04	4.77E-04	3.35E-04	7.21E-04	3.43E-04	1.86E-04	1.59E-03	9.41E-04
1:Ins:C:5	3.96E-04	7.70E-04	6.54E-04	6.34E-05	2.04E-04	1.24E-04	1.14E-03	2.48E-03
1:Ins:T:0	3.13E-04	3.86E-04	9.65E-05	3.76E-04	1.64E-03	5.63E-04	1.39E-03	2.43E-03
1:Ins:T:1	3.88E-04	1.31E-04	6.89E-06	1.82E-04	1.20E-03	5.56E-04	6.68E-04	7.31E-04
1:Ins:T:2	4.48E-08	1.38E-08	5.68E-05	6.55E-09	5.13E-04	0.00E+00	7.97E-04	2.71E-07
1:Ins:T:3	2.12E-04	4.76E-04	3.16E-04	2.25E-04	4.64E-04	1.61E-04	0.00E+00	5.66E-04
1:Ins:T:4	1.32E-03	9.97E-04	5.78E-04	2.25E-08	8.28E-04	1.90E-04	2.04E-04	2.59E-03
1:Ins:T:5	9.06E-08	2.88E-03	3.25E-08	2.77E-08	9.33E-07	2.53E-06	6.05E-04	3.71E-07
2:Del:R:0	4.70E-05	3.31E-04	0.00E+00	8.73E-05	1.76E-03	1.96E-03	1.46E-03	5.28E-03
2:Del:R:1	6.52E-05	5.28E-04	7.09E-04	3.35E-04	4.26E-04	1.20E-03	1.81E-03	6.32E-03
2:Del:R:2	1.48E-04	2.10E-04	3.29E-04	1.04E-04	4.91E-04	1.99E-04	3.48E-04	1.81E-03
2:Del:R:3	0.00E+00	1.07E-04	5.54E-05	7.79E-05	1.24E-08	0.00E+00	6.21E-07	0.00E+00
2:Del:R:4	1.33E-04	1.59E-04	1.56E-04	1.08E-07	5.61E-05	0.00E+00	1.19E-08	5.90E-04
2:Del:R:5	3.25E-08	1.36E-08	2.73E-08	1.81E-04	3.16E-08	5.96E-04	8.28E-05	7.58E-05
3:Del:R:0	8.26E-05	6.75E-05	2.14E-04	5.49E-04	8.19E-04	2.52E-03	6.11E-04	4.15E-03
3:Del:R:1	6.95E-03	5.87E-04	6.97E-04	3.67E-04	0.00E+00	1.79E-03	7.91E-04	1.31E-02
3:Del:R:2	5.69E-05	3.25E-04	3.59E-04	2.02E-04	0.00E+00	1.81E-04	2.57E-04	1.77E-05
3:Del:R:3	9.62E-05	1.17E-04	5.03E-05	6.15E-09	1.05E-04	2.95E-08	0.00E+00	2.20E-04
3:Del:R:4	2.56E-08	3.91E-09	1.14E-08	3.72E-08	2.71E-08	3.14E-08	8.91E-08	1.32E-07
3:Del:R:5	2.56E-08	3.91E-09	1.14E-08	3.72E-08	2.71E-08	3.14E-08	8.91E-08	1.32E-07
4:Del:R:0	0.00E+00	1.48E-04	1.09E-04	3.13E-04	6.84E-04	8.38E-04	7.81E-04	1.77E-03
4:Del:R:1	0.00E+00	2.72E-04	3.16E-04	2.25E-04	6.39E-04	4.52E-04	1.61E-04	1.07E-03
4:Del:R:2	8.71E-05	1.40E-04	1.54E-04	6.50E-05	6.25E-05	5.33E-04	2.81E-04	2.39E-04
4:Del:R:3	2.06E-02	4.77E-08	1.02E-07	7.86E-08	2.03E-07	1.23E-07	5.42E-03	9.81E-02
4:Del:R:4	4.45E-07	3.94E-08	3.38E-04	4.98E-02	5.37E-04	6.41E-08	1.34E-01	1.70E-03
4:Del:R:5	2.56E-08	3.91E-09	1.14E-08	3.72E-08	2.71E-08	3.14E-08	8.91E-08	1.32E-07
5:Del:R:0	3.47E-04	1.62E-08	7.81E-04	5.91E-04	6.86E-08	3.85E-02	6.33E-02	4.50E-02
5:Del:R:1	2.05E-07	8.40E-05	2.88E-04	6.54E-05	2.80E-04	0.00E+00	3.96E-04	7.78E-04
5:Del:R:2	8.75E-05	1.08E-08	8.13E-05	6.17E-09	1.41E-04	3.55E-09	1.28E-04	6.96E-05
5:Del:R:3	2.56E-08	3.91E-09	1.14E-08	3.72E-08	2.71E-08	3.14E-08	8.91E-08	1.32E-07
5:Del:R:4	2.56E-08	3.91E-09	1.14E-08	3.72E-08	2.71E-08	3.14E-08	8.91E-08	1.32E-07
5:Del:R:5	9.89E-05	4.58E-08	4.54E-08	9.52E-08	8.89E-08	3.68E-08	9.07E-05	3.12E-05
2:Ins:R:0	2.10E-02	8.43E-05	1.99E-04	8.50E-07	1.20E-07	1.57E-03	6.74E-03	4.96E-02
2:Ins:R:1	1.37E-04	2.60E-04	1.67E-04	0.00E+00	5.97E-04	2.77E-04	4.85E-04	9.26E-04
2:Ins:R:2	3.22E-05	1.67E-04	8.73E-05	2.33E-04	2.14E-08	1.06E-04	5.03E-04	1.78E-04
2:Ins:R:3	3.14E-08	8.94E-05	1.56E-04	1.09E-08	6.15E-05	1.47E-04	2.88E-05	7.88E-04
2:Ins:R:4	6.68E-05	3.10E-04	8.21E-05	4.72E-05	1.92E-04	0.00E+00	7.26E-04	2.06E-04
2:Ins:R:5	2.19E-04	9.98E-04	7.33E-04	0.00E+00	0.00E+00	1.33E-03	2.23E-03	1.60E-03
3:Ins:R:0	3.58E-05	3.87E-08	4.05E-08	1.06E-05	6.25E-08	1.76E-04	7.28E-08	3.85E-07
3:Ins:R:1	1.26E-04	6.28E-05	2.30E-04	3.23E-09	2.39E-04	0.00E+00	0.00E+00	3.50E-04
3:Ins:R:2	2.44E-04	4.39E-05	3.00E-05	3.25E-08	4.84E-08	1.25E-08	7.43E-07	1.36E-07
3:Ins:R:3	4.84E-08	3.14E-08	4.43E-08	3.31E-08	6.73E-08	8.44E-05	1.06E-07	8.22E-07
3:Ins:R:4	1.24E-04	4.29E-05	7.35E-09	2.67E-08	4.08E-08	2.24E-08	6.50E-08	2.48E-05
3:Ins:R:5	2.10E-03	1.30E-04	1.28E-04	4.69E-05	1.89E-04	2.07E-08	1.68E-04	7.97E-04
4:Ins:R:0	3.74E-08	2.91E-08	0.00E+00	3.53E-04	4.59E-05	2.23E-04	2.16E-04	2.78E-08
4:Ins:R:1	2.69E-05	2.90E-04	1.29E-04	3.14E-04	2.10E-04	1.92E-04	1.08E-03	3.13E-04
4:Ins:R:2	2.56E-08	3.91E-09	1.14E-08	3.72E-08	2.71E-08	3.14E-08	8.91E-08	1.32E-07
4:Ins:R:3	5.60E-08	3.80E-08	2.42E-05	2.02E-08	1.86E-04	3.40E-08	8.62E-08	2.80E-04
4:Ins:R:4	5.01E-08	4.97E-08	1.01E-04	3.60E-08	4.97E-08	4.10E-08	1.13E-07	1.50E-07
4:Ins:R:5	1.13E-04	1.92E-06	2.76E-04	1.33E-04	2.34E-04	1.07E-04	6.50E-04	1.52E-03
5:Ins:R:0	4.43E-08	1.77E-07	5.66E-08	4.77E-02	8.54E-05	1.66E-07	1.00E-02	3.46E-07
5:Ins:R:1	3.75E-04	3.44E-04	2.54E-04	0.00E+00	5.59E-04	2.11E-03	1.08E-03	1.24E-03
5:Ins:R:2	1.66E-05	2.05E-08	1.38E-08	5.89E-09	1.60E-04	1.65E-04	2.21E-04	7.84E-04
5:Ins:R:3	2.00E-04	1.41E-04	2.83E-05	1.01E-04	2.96E-04	1.34E-09	0.00E+00	5.30E-04
5:Ins:R:4	2.56E-08	3.91E-09	1.14E-08	3.72E-08	2.71E-08	3.14E-08	8.91E-08	1.32E-07
5:Ins:R:5	1.52E-04	2.69E-08	1.53E-08	9.97E-09	3.19E-08	1.86E-04	5.05E-08	3.30E-04
2:Del:M:1	2.44E-05	1.27E-04	3.26E-04	3.42E-04	6.42E-04	1.38E-03	6.99E-04	1.41E-03
3:Del:M:1	4.74E-04	8.01E-05	0.00E+00	1.34E-05	5.82E-04	1.30E-03	2.07E-03	1.14E-03
3:Del:M:2	1.24E-04	3.27E-04	4.21E-04	0.00E+00	1.84E-04	1.31E-03	2.01E-03	2.65E-03
4:Del:M:1	2.20E-04	8.25E-06	7.23E-06	7.60E-06	1.54E-04	1.79E-03	9.89E-04	8.14E-04
4:Del:M:2	2.22E-04	4.20E-09	2.14E-04	2.63E-05	4.96E-04	2.53E-04	1.71E-04	1.44E-04
4:Del:M:3	1.73E-03	1.09E-04	0.00E+00	1.24E-08	2.69E-04	6.79E-05	2.33E-05	2.20E-03
5:Del:M:1	1.05E-03	1.44E-07	1.40E-46	5.48E-07	7.89E-08	3.44E-02	2.22E-02	1.01E-02
5:Del:M:2	9.10E-08	1.09E-04	4.24E-04	1.78E-08	2.37E-08	8.43E-03	2.38E-02	1.34E-02
5:Del:M:3	1.87E-05	6.31E-08	1.43E-04	2.25E-04	1.69E-04	3.34E-03	7.89E-03	6.74E-03
