NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	46.955	18.672	11.5	12.381	0.099	0.989	20000.0
2	53.185	20.477	13.164	13.106	0.101	0.989	20000.0
3	49.3	19.5	11.778	12.277	0.102	0.99	20000.0
4	48.109	19.147	11.706	12.25	0.098	0.99	40000.0
5	48.566	19.253	11.758	12.469	0.101	0.989	70000.0
6	49.247	19.024	12.111	12.272	0.098	0.99	60000.0
7	47.624	18.74	11.918	12.705	0.1	0.988	30000.0
8	50.229	19.637	11.858	12.189	0.105	0.99	30000.0
9	45.645	17.642	11.15	11.489	0.098	0.991	40000.0
10	49.35	19.496	12.224	12.858	0.099	0.988	50000.0
