MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	0.00157405	0.00068984	0.08471483	0.03751359	0.00183220
1:Del:C:1	0.00039538	0.00232974	0.04919919	0.01639639	0.00076369
1:Del:C:2	0.00093748	0.00141941	0.02291626	0.01133606	0.00045629
1:Del:C:3	0.00348016	0.00067651	0.01459156	0.00561665	0.00000000
1:Del:C:4	0.01031547	0.00049267	0.00393152	0.00437007	0.00000001
1:Del:C:5	0.02830624	0.00171527	0.00284648	0.00200658	0.00048850
1:Del:T:0	0.00198612	0.00186640	0.06100446	0.01723302	0.00100024
1:Del:T:1	0.00207145	0.00305208	0.03759310	0.00706256	0.00040673
1:Del:T:2	0.00342857	0.00181281	0.04145903	0.01497790	0.00057496
1:Del:T:3	0.01862179	0.00393334	0.03534336	0.01975079	0.00063808
1:Del:T:4	0.05277733	0.00258580	0.02560438	0.01809613	0.00267479
1:Del:T:5	0.69282960	0.04470487	0.00000027	0.01799359	0.01180847
1:Ins:C:0	0.00239753	0.00000000	0.00887564	0.01237030	0.32958649
1:Ins:C:1	0.00100651	0.00092555	0.00000000	0.00190792	0.05773286
1:Ins:C:2	0.00094250	0.00241218	0.00013798	0.00014728	0.01432216
1:Ins:C:3	0.00022501	0.00039134	0.00019342	0.00002133	0.00442023
1:Ins:C:4	0.00016204	0.00014630	0.00000000	0.00013643	0.00269436
1:Ins:C:5	0.00026650	0.00028863	0.00039457	0.00000000	0.00029340
1:Ins:T:0	0.07708236	0.47794387	0.09929586	0.02309458	0.36963862
1:Ins:T:1	0.02807883	0.20305310	0.05923701	0.00671683	0.11864816
1:Ins:T:2	0.00954472	0.06176269	0.01418525	0.00013920	0.03601334
1:Ins:T:3	0.00473579	0.03916755	0.00873970	0.00167976	0.01883739
1:Ins:T:4	0.00507544	0.02697362	0.00074540	0.00239925	0.00841309
1:Ins:T:5	0.00693737	0.03694014	0.00323938	0.00224918	0.00545339
