Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	32	46	0	32	9	17	35	15	0	0	38
V2	24	3	0	0	16	76	91	46	0	61	0
V3	78	0	89	0	0	11	0	0	166	0	0
V4	4	0	0	5	48	90	33	56	0	35	0
V5	0	17	66	62	9	0	0	25	0	17	0
V6	211	57	0	49	264	80	85	0	0	20	29
V7	0	16	48	42	42	0	36	0	46	77	13
V8	0	109	10	0	95	29	32	0	8	7	0
V9	0	69	0	74	37	16	31	9	2	26	0
V10	100	97	128	82	0	7	4	31	35	0	26
V11	110	56	129	0	0	50	12	63	125	0	0
V12	0	4	15	0	155	4	0	6	0	0	11
V13	64	3	6	0	0	205	406	0	0	0	0
V14	38	25	0	0	0	45	42	85	38	0	0
V15	95	84	358	44	0	34	31	0	0	54	0
V16	53	87	11	0	46	123	113	12	33	94	0
V17	142	21	1	49	10	5	9	10	30	0	4
V18	35	76	12	0	4	0	6	0	4	0	36
V19	7	2	9	0	2	0	10	17	0	5	0
V20	8	7	0	18	2	2	0	0	0	1	9
V21	0	11	161	209	0	19	28	73	0	13	0
V22	112	190	141	0	6	20	4	0	191	0	0
V23	39	26	93	0	0	68	70	0	0	2	0
V24	114	26	94	18	0	33	29	68	47	0	40
V25	40	41	490	133	41	0	13	0	39	0	0
V26	54	22	6	13	53	0	0	0	0	12	16
V27	198	20	24	14	30	0	5	0	0	27	12
V28	0	72	0	21	49	5	2	48	0	3	11
V29	129	6	10	0	3	87	26	0	11	15	0
V30	7	0	0	0	49	208	243	0	9	15	0
V31	94	0	63	80	0	1	8	3	15	43	0
V32	10	10	99	223	5	13	1	109	45	0	0
V33	10	60	14	0	0	118	144	26	2	0	58
V34	22	80	0	123	0	0	7	42	10	0	0
V35	2	31	206	0	38	70	38	86	23	11	0
V36	31	13	49	0	16	5	30	7	15	5	0
V37	26	27	25	0	7	3	1	0	13	0	40
V38	3	189	125	76	0	38	17	20	4	32	3
V39	19	5	12	9	60	23	27	2	0	51	22
V40	172	9	91	0	0	98	86	107	52	0	0
V41	0	114	19	21	9	0	0	0	82	0	56
V42	38	76	64	254	0	113	120	106	15	21	0
V43	100	0	9	0	2	2	0	0	0	0	0
V44	0	113	3	0	0	4	20	50	0	0	0
V45	90	0	0	13	8	2	0	22	30	0	10
V46	7	233	68	0	13	0	0	6	7	45	0
V47	13	171	0	7	12	0	0	20	0	0	25
V48	100	9	0	0	195	3	9	0	4	71	0
V49	436	47	0	0	0	0	32	3	2	18	0
V50	0	19	0	49	96	120	55	3	1	7	1
V51	100	10	0	4	68	1	0	0	0	30	0
V52	50	44	68	0	124	29	13	51	0	70	0
V53	125	45	167	0	3	10	19	35	0	0	0
V54	24	0	97	1	9	0	1	8	80	8	17
V55	64	92	3	0	27	9	1	4	0	0	0
V56	0	0	0	20	17	15	33	0	0	16	4
V57	312	8	0	76	0	117	39	24	0	35	110
V58	6	0	45	65	50	0	0	0	10	0	2
V59	40	69	61	0	13	82	23	0	30	0	34
V60	70	105	67	0	96	76	27	14	28	36	0
V61	0	20	43	46	0	71	43	13	0	0	0
V62	72	151	7	0	1	12	0	42	10	5	0
V63	5	15	0	58	2	32	5	103	0	0	0
V64	0	71	64	34	53	39	52	80	0	0	31
V65	1	34	0	0	0	37	65	16	2	13	0
V66	0	151	0	114	29	62	59	29	0	14	18
V67	0	104	26	4	0	73	48	0	60	0	39
V68	4	4	0	75	0	64	71	54	3	0	0
V69	31	0	20	177	214	0	0	169	0	36	0
V70	11	67	135	0	130	29	0	0	172	0	0
V71	7	0	6	75	6	25	0	0	0	8	6
V72	181	0	15	133	4	2	1	0	0	8	0
V73	47	0	0	36	0	39	24	0	3	0	0
V74	3	0	111	0	56	69	98	0	67	40	0
V75	0	190	7	76	2	3	0	0	85	2	0
V76	22	52	3	5	0	0	0	3	1	0	3
V77	51	48	0	31	0	3	1	57	0	2	0
V78	0	80	0	173	2	0	0	81	0	0	23
V79	78	39	0	172	14	0	10	142	0	0	67
V80	10	0	61	0	0	76	32	0	56	0	3
V81	18	0	41	0	5	49	115	0	51	0	0
V82	16	0	0	34	0	11	0	0	2	12	2
V83	50	13	0	0	0	73	82	0	0	0	0
V84	0	24	52	39	136	0	0	24	65	24	19
V85	0	64	0	0	19	68	31	30	9	2	35
V86	17	0	211	81	63	16	0	5	2	0	12
V87	0	152	3	0	5	17	29	16	5	0	18
V88	24	56	26	0	40	158	118	0	7	0	0
V89	36	28	11	47	0	6	20	28	0	17	40
V90	112	37	0	0	108	4	7	0	0	34	0
V91	30	14	0	4	76	10	2	0	0	23	0
V92	0	0	0	0	92	15	8	53	79	0	2
V93	456	7	0	129	46	0	0	0	0	28	5
V94	4	30	0	37	9	0	0	0	2	0	0
V95	22	28	40	72	0	61	40	6	27	20	0
V96	7	22	0	0	65	0	0	5	0	0	0
V97	15	42	28	1	41	3	0	10	0	0	0
V98	5	164	0	138	280	0	0	32	0	37	0
V99	28	54	23	210	133	6	11	110	41	8	0
V100	20	17	0	0	28	0	1	0	0	27	0
