Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	217	1	7	46	0	1	10	2	0	60	13	8	21	0	18
V2	87	671	191	1	4	45	28	15	7	0	20	81	57	14	24
V3	56	14	23	0	0	41	0	39	0	0	5	0	3	0	0
V4	106	23	4	31	57	21	3	56	6	0	21	0	11	0	0
V5	21	33	50	0	1	2	6	4	0	0	0	12	25	0	15
V6	22	3	21	79	11	18	91	14	33	0	64	19	13	64	4
V7	4	5	3	36	0	0	41	0	0	0	0	26	0	0	3
V8	5	61	45	9	85	21	30	27	14	0	38	33	1	0	48
V9	8	2	1	125	0	2	0	0	0	0	2	0	0	0	0
V10	14	8	0	20	44	1	39	0	14	0	16	12	10	0	0
V11	96	38	30	6	67	6	1	3	54	0	1	4	1	14	4
V12	87	0	1	0	0	7	1	17	0	0	0	0	1	0	0
V13	8	55	8	4	139	36	12	29	136	0	0	63	0	23	8
V14	72	7	5	41	20	3	169	0	5	0	60	85	34	0	0
V15	98	27	29	0	64	23	2	45	14	0	0	14	3	19	26
V16	185	26	15	22	4	9	1	6	5	2	1	2	6	0	8
V17	1	75	260	0	6	5	8	0	2	0	15	5	0	2	0
V18	46	8	5	5	67	33	10	58	21	0	8	13	0	0	0
V19	0	0	2	71	15	0	1	0	11	70	12	0	1	17	0
V20	196	0	1	6	0	1	0	0	0	93	20	0	0	0	0
V21	89	58	30	86	15	7	10	3	24	0	0	0	0	7	11
V22	21	54	14	28	1	8	36	1	28	18	4	18	13	7	0
V23	678	205	132	8	0	29	0	40	2	104	58	0	37	0	0
V24	27	175	78	2	25	9	43	12	0	0	9	4	11	0	0
V25	0	34	68	157	34	47	10	62	18	8	1	3	0	0	18
V26	10	12	6	12	122	3	12	9	6	8	0	1	0	27	0
V27	82	11	2	6	4	23	13	10	9	71	12	22	33	15	0
V28	79	12	2	26	37	17	0	5	16	64	16	0	24	0	0
V29	6	8	28	0	26	0	98	2	16	69	22	17	22	35	9
V30	8	17	58	4	15	222	24	163	6	0	0	48	19	19	24
V31	14	15	51	226	4	6	2	1	19	0	0	0	1	29	0
V32	100	8	2	0	44	51	6	25	46	0	2	11	0	0	6
V33	41	35	38	59	31	79	13	127	37	0	0	3	3	5	25
V34	0	1	8	44	0	8	0	4	0	0	0	0	0	0	2
V35	4	37	88	231	0	53	67	30	6	0	23	21	6	0	0
V36	4	119	190	81	18	0	64	0	0	0	91	53	12	0	0
V37	73	37	12	1	17	15	6	12	6	8	5	0	0	0	0
V38	209	5	8	177	20	0	5	3	11	28	0	0	14	17	0
V39	45	4	0	9	12	136	14	47	4	28	2	13	18	0	0
V40	0	0	0	8	0	4	2	2	3	0	0	4	0	0	0
V41	20	1	9	22	1	9	0	4	0	0	13	3	17	0	0
V42	0	32	16	5	39	2	26	2	48	0	2	8	7	5	0
V43	49	126	119	40	0	5	6	2	0	0	6	0	4	0	23
V44	40	0	9	16	0	0	54	0	14	0	44	44	18	58	53
V45	173	5	0	8	2	2	0	2	2	35	0	0	11	0	0
V46	79	19	5	9	1	37	4	29	1	0	9	0	0	0	14
V47	190	93	225	67	34	40	0	13	2	42	12	0	5	0	0
V48	0	89	46	0	106	74	5	78	12	0	29	14	14	22	0
V49	122	64	76	19	29	149	12	61	12	41	0	0	19	42	0
V50	18	0	1	0	11	25	41	7	0	0	22	23	2	1	4
V51	7	0	0	96	3	23	0	18	0	54	0	4	0	0	0
V52	19	23	163	36	657	22	16	38	226	0	12	32	4	0	0
V53	54	33	42	2	198	14	43	7	132	0	10	1	6	18	0
V54	17	58	50	4	6	3	0	0	8	0	0	1	0	4	0
V55	157	51	71	105	13	10	29	5	0	48	9	38	27	0	0
V56	181	33	3	58	133	1	12	0	100	23	35	0	0	0	0
V57	75	2	0	0	2	40	25	76	6	13	2	14	5	0	27
V58	4	45	58	12	19	48	95	30	5	0	10	0	18	11	11
V59	0	31	15	140	14	28	18	38	0	12	18	0	0	12	1
V60	0	10	2	1	0	2	70	0	0	0	48	51	8	0	0
V61	9	96	73	13	11	82	138	54	28	0	21	18	16	27	0
V62	0	84	70	2	0	2	7	0	13	0	0	15	8	14	2
V63	43	30	39	0	2	235	25	44	4	0	25	13	16	25	0
V64	197	0	1	104	19	8	24	19	4	65	54	31	20	0	23
V65	0	34	73	30	0	10	22	30	0	0	11	8	0	0	0
V66	112	34	3	30	85	11	0	4	70	0	8	0	5	7	40
V67	87	56	63	31	3	9	38	4	4	0	0	25	36	0	0
V68	11	12	25	30	30	62	18	39	26	1	3	1	4	0	1
V69	197	27	40	10	36	1	35	7	18	0	0	11	9	54	0
V70	34	6	4	15	7	51	12	35	40	0	0	6	2	0	0
V71	9	8	32	9	0	38	0	20	2	30	10	0	29	0	0
V72	3	83	43	4	15	2	0	3	27	0	0	7	0	2	0
V73	21	11	10	0	38	11	63	0	1	6	31	16	3	46	7
V74	0	131	20	8	0	0	12	0	0	9	1	3	4	1	2
V75	307	32	17	36	4	2	177	8	3	0	9	61	150	0	131
V76	138	80	54	43	3	0	1	1	9	0	18	11	12	0	13
V77	6	153	57	51	11	13	175	19	25	0	119	58	38	16	63
V78	1	125	65	13	1	69	1	62	0	0	0	0	0	0	0
V79	55	48	19	3	53	6	3	13	93	45	0	0	10	0	0
V80	69	21	0	8	28	8	22	14	72	0	0	6	25	137	0
V81	77	51	33	14	19	71	1	21	0	0	1	0	3	8	0
V82	98	20	13	10	14	5	10	3	5	2	28	0	3	6	23
V83	120	24	105	32	6	7	0	7	9	54	0	7	21	12	0
V84	78	38	26	3	9	45	3	17	4	0	0	6	0	9	1
V85	7	7	1	50	20	3	4	21	9	0	0	5	0	13	0
V86	37	21	6	6	32	1	28	12	116	0	46	15	10	0	0
V87	23	76	32	19	3	2	4	5	0	0	27	3	3	0	0
V88	8	31	20	38	1	13	14	35	1	9	0	5	10	0	0
V89	47	4	0	87	0	150	0	60	7	5	1	0	4	0	0
V90	7	7	17	3	0	0	0	0	0	4	0	0	0	6	0
V91	21	101	85	5	85	0	73	0	69	0	20	73	66	80	0
V92	32	5	5	0	0	17	17	19	1	8	23	8	9	6	25
V93	0	0	16	0	0	17	28	18	0	0	15	21	13	14	27
V94	18	17	9	8	34	8	12	6	21	0	0	7	0	12	0
V95	0	1	0	0	10	50	16	41	0	7	3	4	0	4	24
V96	77	63	70	260	118	4	16	0	21	293	19	16	15	27	0
V97	47	0	7	0	0	22	12	20	3	27	0	8	6	13	3
V98	26	46	38	39	3	8	0	4	0	5	1	0	12	0	0
V99	67	85	109	64	8	8	29	7	8	0	0	0	8	0	16
V100	2	20	35	1	2	0	15	0	0	0	0	7	4	11	1
