Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	0	0	0	8	78	33	0	0	0	1	0	4	0	25	0	3	14	0	0
V2	34	10	0	16	21	0	88	46	39	1	0	26	5	23	4	0	0	11	0
V3	0	38	7	9	51	40	3	19	13	5	0	0	2	0	22	0	13	1	9
V4	75	38	35	130	9	3	9	0	15	27	0	0	0	0	8	4	0	15	1
V5	197	2	126	20	0	0	0	2	4	8	6	0	36	0	0	38	0	0	7
V6	0	6	41	3	55	123	0	0	0	6	0	1	0	14	0	4	0	0	2
V7	0	102	32	2	0	0	0	2	0	1	5	0	8	0	0	21	9	0	2
V8	7	6	3	33	32	32	27	71	0	13	0	4	0	25	3	3	0	0	0
V9	57	2	4	25	38	20	26	3	0	10	4	12	11	0	0	0	0	3	0
V10	13	15	19	1	35	11	16	27	37	0	0	24	4	0	0	26	4	0	0
V11	25	6	14	141	4	4	2	0	0	42	22	2	3	0	0	0	10	0	0
V12	8	25	0	46	23	5	27	65	21	16	8	0	0	0	5	0	0	8	0
V13	91	38	72	75	8	10	134	99	0	44	47	2	35	0	0	0	0	0	0
V14	0	26	94	1	12	17	15	15	6	1	0	19	0	7	0	0	0	0	8
V15	2	6	0	5	0	1	50	59	0	0	4	4	0	10	0	0	0	0	0
V16	7	0	0	32	0	11	0	0	0	19	0	0	0	0	6	0	0	26	0
V17	2	0	54	16	4	23	17	0	0	1	0	4	2	6	0	0	0	0	0
V18	0	21	5	49	43	87	0	0	5	17	11	0	0	5	0	11	0	4	0
V19	6	12	39	1	0	0	0	0	0	2	0	0	1	3	0	2	0	0	0
V20	58	113	4	3	0	2	9	14	8	0	15	0	13	0	1	0	0	0	0
V21	34	18	1	10	0	0	27	58	31	6	0	5	13	5	4	0	0	0	0
V22	524	0	5	4	0	0	4	4	2	1	87	0	24	0	0	0	0	0	0
V23	185	0	1	119	14	8	0	0	0	29	26	0	29	0	9	0	0	0	0
V24	9	0	0	0	0	1	5	6	6	0	18	5	7	0	0	0	0	0	0
V25	0	6	4	16	58	16	0	24	40	3	0	0	0	12	16	0	0	2	0
V26	343	0	0	28	0	0	25	0	13	15	0	0	57	0	0	18	0	0	0
V27	0	11	15	0	0	15	41	32	44	0	0	11	0	12	0	0	0	1	12
V28	76	84	5	28	0	25	0	0	0	8	1	0	21	6	0	4	0	0	18
V29	64	82	18	3	1	10	0	0	0	3	19	10	18	5	0	0	11	0	3
V30	6	89	21	0	17	12	45	97	0	1	0	25	0	0	0	17	26	3	0
V31	2	2	2	0	2	0	3	42	4	0	0	0	0	8	0	0	4	1	0
V32	0	63	53	0	48	95	53	41	36	0	4	57	0	19	0	5	9	1	0
V33	33	21	2	6	1	0	17	3	5	0	20	3	2	6	0	1	0	1	0
V34	0	381	0	29	0	19	0	0	0	7	0	0	0	0	4	0	41	30	3
V35	32	2	32	12	0	8	0	0	0	13	0	1	0	0	6	0	0	1	0
V36	27	46	10	10	21	30	0	22	2	7	0	0	6	13	11	5	8	30	2
V37	13	1	0	4	0	2	7	0	0	10	0	0	0	4	0	6	0	0	0
V38	13	13	23	7	0	0	2	3	0	4	3	0	9	0	0	7	0	0	0
V39	34	4	4	54	0	0	80	14	26	14	0	0	0	0	47	6	0	0	0
