NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	45.372	17.313	10.543	10.024	0.103	0.993	30000.0
2	47.116	17.894	11.135	10.484	0.108	0.992	40000.0
3	44.478	16.893	10.632	9.584	0.103	0.994	20000.0
4	45.968	17.738	10.804	10.407	0.108	0.992	50000.0
5	47.427	17.877	11.345	10.614	0.108	0.992	30000.0
6	50.648	18.695	13.38	12.098	0.106	0.988	20000.0
7	47.641	18.093	11.454	10.65	0.106	0.992	20000.0
8	50.109	19.002	11.97	11.141	0.113	0.992	60000.0
9	47.213	17.757	11.383	10.663	0.106	0.992	30000.0
10	46.753	17.519	10.937	9.885	0.107	0.993	30000.0
