MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Ins:T:4	1.90E-03	0.00E+00	1.20E-04	9.96E-04	1.03E-03	4.19E-04	1.16E-03	0.00E+00	1.32E-03	1.55E-02	2.61E-04	2.06E-03	0.00E+00	9.22E-04	3.06E-03	3.39E-03	1.99E-03	2.91E-02
1:Ins:T:5	5.36E-03	2.89E-07	3.31E-07	4.24E-08	4.31E-46	2.14E-03	1.93E-05	2.53E-07	1.20E-02	1.26E-06	2.20E-03	3.84E-03	7.62E-03	6.28E-06	1.06E-02	1.56E-06	1.11E-01	4.42E-02
2:Del:R:0	1.71E-08	3.02E-03	0.00E+00	1.13E-03	4.52E-03	1.62E-03	2.73E-03	1.31E-03	1.73E-03	2.09E-03	7.93E-03	7.56E-04	1.83E-03	8.87E-03	3.80E-03	6.65E-03	2.21E-02	1.09E-02
2:Del:R:1	2.08E-08	0.00E+00	0.00E+00	8.42E-04	2.59E-04	3.24E-03	3.83E-04	6.15E-04	5.02E-04	1.94E-03	4.57E-03	1.63E-04	0.00E+00	4.22E-03	1.34E-03	8.96E-03	2.00E-02	5.07E-03
2:Del:R:2	0.00E+00	3.07E-04	0.00E+00	7.24E-04	3.82E-04	0.00E+00	1.13E-03	1.75E-04	1.35E-03	3.81E-04	1.30E-04	4.82E-04	3.57E-04	3.68E-04	2.18E-03	7.79E-04	2.09E-04	6.00E-03
2:Del:R:3	3.06E-08	3.25E-07	2.41E-08	6.58E-08	1.16E-07	3.35E-08	0.00E+00	1.73E-07	9.95E-07	1.63E-04	5.62E-08	1.51E-03	1.56E-07	7.60E-05	2.57E-04	1.04E-06	2.78E-04	7.03E-04
2:Del:R:4	6.95E-05	6.90E-05	3.25E-08	4.36E-04	7.02E-08	1.00E-03	5.13E-04	1.59E-04	2.40E-05	1.74E-03	0.00E+00	5.92E-08	8.66E-08	0.00E+00	1.16E-07	2.10E-03	6.03E-04	1.23E-03
2:Del:R:5	0.00E+00	1.17E-03	1.40E-07	3.92E-08	4.49E-07	1.46E-07	1.11E-04	4.10E-08	1.39E-02	3.02E-03	3.18E-03	2.07E-02	4.47E-08	3.04E-08	3.58E-02	8.59E-04	3.32E-03	4.69E-07
3:Del:R:0	7.63E-05	0.00E+00	6.61E-08	1.45E-03	2.71E-04	2.70E-03	2.13E-03	5.02E-08	6.25E-07	1.15E-03	2.48E-03	4.19E-03	9.73E-04	5.37E-03	4.18E-03	2.99E-03	6.00E-04	9.11E-04
3:Del:R:1	6.51E-04	8.33E-09	2.54E-04	9.19E-04	4.17E-04	0.00E+00	0.00E+00	1.36E-03	2.20E-03	2.80E-03	1.65E-03	9.43E-03	2.98E-03	8.46E-04	9.57E-03	7.24E-04	2.58E-02	2.26E-03
3:Del:R:2	1.02E-04	5.41E-08	2.24E-04	4.03E-04	2.92E-04	2.21E-08	0.00E+00	0.00E+00	1.41E-03	3.19E-05	1.22E-07	6.28E-03	4.44E-04	1.08E-04	8.47E-03	3.21E-03	1.98E-03	5.90E-03
3:Del:R:3	9.67E-05	1.97E-08	1.40E-08	3.65E-08	3.28E-04	5.05E-05	0.00E+00	5.70E-08	5.15E-04	5.57E-05	0.00E+00	9.06E-05	8.08E-04	1.53E-07	3.71E-03	1.17E-21	8.45E-04	4.56E-04
3:Del:R:4	9.88E-09	1.42E-08	1.40E-08	2.32E-08	5.36E-08	3.54E-08	9.09E-09	5.00E-08	1.22E-07	5.55E-08	4.31E-08	1.89E-07	1.40E-07	9.50E-08	2.57E-07	1.02E-07	1.89E-07	2.15E-07
3:Del:R:5	9.88E-09	1.42E-08	1.40E-08	2.32E-08	5.36E-08	3.54E-08	9.09E-09	5.00E-08	1.22E-07	5.55E-08	4.31E-08	1.89E-07	1.40E-07	9.50E-08	2.57E-07	1.02E-07	1.89E-07	2.15E-07
4:Del:R:0	3.45E-08	1.42E-04	2.62E-08	0.00E+00	2.05E-03	1.31E-03	1.57E-03	0.00E+00	5.35E-03	3.40E-08	1.57E-03	3.13E-03	5.58E-08	1.22E-07	1.84E-03	2.97E-03	1.32E-07	8.49E-08
4:Del:R:1	1.97E-04	2.84E-04	0.00E+00	4.54E-04	1.05E-03	6.23E-04	2.93E-04	9.60E-04	1.13E-07	1.17E-03	1.95E-03	3.42E-04	1.00E-03	2.70E-03	1.52E-07	4.49E-03	6.05E-03	2.82E-03
4:Del:R:2	9.34E-05	4.76E-09	1.82E-04	3.24E-08	7.66E-04	0.00E+00	3.19E-04	8.47E-04	2.57E-03	1.38E-04	1.71E-06	1.35E-03	1.53E-04	4.62E-04	1.98E-03	6.37E-04	0.00E+00	1.41E-07
4:Del:R:3	5.99E-07	1.11E-02	2.80E-08	1.09E-07	2.72E-07	1.61E-08	4.28E-04	1.11E-07	7.83E-02	7.70E-07	1.89E-07	7.74E-02	3.23E-07	4.65E-07	1.08E-02	1.10E-06	1.32E-06	2.26E-06
4:Del:R:4	9.88E-09	1.42E-08	1.40E-08	2.32E-08	5.36E-08	3.54E-08	9.09E-09	5.00E-08	1.22E-07	5.55E-08	4.31E-08	1.89E-07	1.40E-07	9.50E-08	2.57E-07	1.02E-07	1.89E-07	2.15E-07
4:Del:R:5	2.36E-08	4.35E-08	4.33E-08	2.20E-04	1.09E-07	6.83E-08	1.68E-07	5.76E-08	6.59E-05	6.65E-08	6.37E-08	7.55E-04	1.05E-07	1.11E-07	3.93E-04	1.01E-07	1.34E-06	7.59E-04
5:Del:R:0	2.74E-08	2.02E-07	5.24E-08	1.26E-07	1.10E-07	2.03E-02	3.57E-02	2.27E-07	5.93E-07	2.62E-07	4.00E-02	1.49E-02	2.90E-05	3.91E-07	7.02E-07	3.96E-02	9.99E-07	3.48E-06
5:Del:R:1	7.59E-09	0.00E+00	0.00E+00	3.58E-04	6.65E-04	4.09E-08	8.56E-04	3.84E-07	6.77E-04	3.63E-03	4.83E-04	4.18E-03	1.16E-06	3.10E-04	1.30E-03	1.93E-03	5.78E-03	1.29E-03
5:Del:R:2	4.48E-05	7.18E-09	3.91E-08	2.87E-05	1.74E-07	7.91E-08	2.68E-04	1.01E-07	5.99E-08	8.72E-05	0.00E+00	1.76E-06	2.02E-08	2.55E-07	1.65E-07	3.35E-04	7.80E-04	9.37E-04
5:Del:R:3	9.88E-09	1.42E-08	1.40E-08	2.32E-08	5.36E-08	3.54E-08	9.09E-09	5.00E-08	1.22E-07	5.55E-08	4.31E-08	1.89E-07	1.40E-07	9.50E-08	2.57E-07	1.02E-07	1.89E-07	2.15E-07
